Time,CPU Usage
43493.594969,20.9
43493.595016,4.5
43493.595062,2.8
43493.595108,4.1
43493.595155,4.2
43493.595201,42.3
43493.595247,69.8
43493.595294,54.4
43493.595340,21.4
43493.595386,28.1
43493.595432,23.6
43493.595479,22.5
43493.595525,22.4
43493.595571,20.9
43493.595618,19.4
43493.595664,21.4
43493.595710,43.3
43493.595757,32.3
43493.595803,27.7
43493.595849,27.8
43493.595895,27.4
43493.595942,24.1
43493.595988,23.5
43493.596034,23.9
43493.596081,23.5
43493.596127,23.4
43493.596173,23.3
43493.596220,22.7
43493.596266,23.2
43493.596312,21.7
43493.596358,22.6
43493.596405,22.1
43493.596451,22.5
43493.596497,22.3
43493.596544,24.3
43493.596590,22.2
43493.596636,21.6
43493.596682,21.8
43493.596729,21.9
43493.596775,22.0
43493.596821,22.2
43493.596868,21.8
43493.596914,21.8
43493.596960,21.6
43493.597007,22.1
43493.597053,22.4
43493.597099,22.1
43493.597145,22.1
43493.597192,21.6
43493.597238,21.5
43493.597284,21.6
43493.597331,21.9
43493.597377,21.3
43493.597423,21.9
43493.597470,21.6
43493.597516,21.9
43493.597562,21.6
43493.597608,21.9
43493.597655,22.4
43493.597701,21.9
43493.597747,21.3
43493.597794,21.6
43493.597840,21.6
43493.597886,23.0
43493.597933,21.6
43493.597979,21.7
43493.598025,21.8
43493.598071,21.6
43493.598118,21.8
43493.598164,21.6
43493.598210,21.7
43493.598257,21.4
43493.598303,21.8
43493.598349,21.7
43493.598395,23.1
43493.598442,21.8
43493.598488,22.1
43493.598534,21.7
43493.598581,21.7
43493.598627,21.6
43493.598673,21.6
43493.598720,21.6
43493.598766,21.8
43493.598812,21.4
43493.598858,21.5
43493.598905,21.6
43493.598951,21.6
43493.598997,21.5
43493.599044,21.4
43493.599090,21.6
43493.599136,21.7
43493.599183,21.6
43493.599229,21.5
43493.599275,21.6
43493.599321,21.6
43493.599368,21.7
43493.599414,21.7
43493.599460,21.7
43493.599507,22.5
43493.599553,25.9
43493.599599,23.6
43493.599646,21.7
43493.599692,21.7
43493.599738,21.2
43493.599784,21.6
43493.599831,21.5
43493.599877,23.1
43493.599923,21.9
43493.599970,21.7
43493.600016,23.0
43493.600062,21.5
43493.600108,21.9
43493.600155,21.4
43493.600201,21.4
43493.600247,21.5
43493.600294,21.6
43493.600340,21.5
43493.600386,21.5
43493.600433,21.7
43493.600479,21.4
43493.600525,21.6
43493.600571,21.7
43493.600618,21.7
43493.600664,21.4
43493.600710,21.6
43493.600757,21.7
43493.600803,21.5
43493.600849,21.8
43493.600896,21.8
43493.600942,21.6
43493.600988,21.6
43493.601034,21.6
43493.601081,21.7
43493.601127,21.9
43493.601173,21.4
43493.601220,21.6
43493.601266,21.5
43493.601312,21.4
43493.601359,21.5
43493.601405,21.5
43493.601451,21.5
43493.601497,21.6
43493.601544,21.8
43493.601590,21.5
43493.601636,21.3
43493.601683,21.7
43493.601729,21.4
43493.601775,21.3
43493.601821,21.7
43493.601868,21.5
43493.601914,21.3
43493.601960,21.4
43493.602007,21.6
43493.602053,21.6
43493.602099,21.4
43493.602146,21.5
43493.602192,21.5
43493.602238,21.7
43493.602284,21.4
43493.602331,21.5
43493.602377,22.3
43493.602423,21.6
43493.602470,21.2
43493.602516,21.6
43493.602562,21.5
43493.602609,21.5
43493.602655,21.6
43493.602701,21.4
43493.602747,22.2
43493.602794,21.6
43493.602840,21.6
43493.602886,21.8
43493.602933,21.9
43493.602979,21.7
43493.603025,21.8
43493.603071,22.1
43493.603118,21.7
43493.603164,21.5
43493.603210,21.6
43493.603257,21.6
43493.603303,21.6
43493.603349,21.3
43493.603396,21.7
43493.603442,21.6
43493.603488,21.5
43493.603535,21.4
43493.603581,21.6
43493.603627,21.5
43493.603673,21.6
43493.603720,21.7
43493.603766,25.5
43493.603812,21.8
43493.603859,21.7
43493.603905,21.8
43493.603951,23.5
43493.603997,23.6
43493.604044,23.8
43493.604090,23.9
43493.604136,29.2
43493.604183,25.6
43493.604229,26.0
43493.604275,23.6
43493.604321,23.4
43493.604368,23.6
43493.604414,23.6
43493.604460,23.5
43493.604507,24.1
43493.604553,26.0
43493.604599,23.6
43493.604646,23.8
43493.604692,23.8
43493.604738,23.4
43493.604784,25.6
43493.604831,23.6
43493.604877,23.8
43493.604923,23.6
43493.604970,23.4
43493.605016,25.7
43493.605062,23.6
43493.605109,23.8
43493.605155,24.0
43493.605201,25.9
43493.605247,23.6
43493.605294,23.7
43493.605340,23.6
43493.605386,26.1
43493.605433,23.8
43493.605479,23.7
43493.605525,25.9
43493.605572,25.3
43493.605618,25.3
43493.605664,25.9
43493.605710,27.8
43493.605757,25.1
43493.605803,25.7
43493.605849,26.4
43493.605896,25.3
43493.605942,27.4
43493.605988,27.2
43493.606034,24.3
43493.606081,26.0
43493.606127,23.9
43493.606173,23.8
43493.606220,26.1
43493.606266,24.0
43493.606312,26.3
43493.606359,24.1
43493.606405,24.6
43493.606451,25.8
43493.606497,23.9
43493.606544,26.3
43493.606590,23.7
43493.606636,26.3
43493.606683,23.9
43493.606729,26.3
43493.606775,23.9
43493.606822,25.9
43493.606868,24.2
43493.606914,26.2
43493.606960,23.9
43493.607007,26.4
43493.607053,23.6
43493.607099,26.4
43493.607146,23.8
43493.607192,26.3
43493.607238,23.8
43493.607285,26.7
43493.607331,26.4
43493.607377,24.2
43493.607423,26.6
43493.607470,24.1
43493.607516,26.9
43493.607562,26.7
43493.607609,24.3
43493.607655,26.7
43493.607701,26.5
43493.607748,24.1
43493.607794,26.9
43493.607840,27.3
43493.607886,25.8
43493.607933,25.3
43493.607979,26.6
43493.608025,26.9
43493.608072,40.2
43493.608119,60.9
43493.608164,27.6
43493.608210,14.7
43493.608257,14.9
43493.608303,14.9
43493.608349,14.3
43493.608396,14.8
43493.608442,14.6
43493.608488,14.3
43493.608535,14.6
43493.608581,14.3
43493.608627,14.6
43493.608673,14.5
43493.608720,14.2
43493.608766,14.8
43493.608812,14.7
43493.608859,14.3
43493.608905,14.7
43493.608951,14.6
43493.608998,14.1
43493.609044,14.8
43493.609090,14.3
43493.609136,14.9
43493.609183,14.7
43493.609229,14.2
43493.609275,14.9
43493.609322,14.8
43493.609368,14.3
43493.609414,14.4
43493.609460,14.2
43493.609507,15.3
43493.609553,17.7
43493.609599,15.1
43493.609646,14.4
43493.609692,14.4
43493.609738,14.4
43493.609785,14.3
43493.609831,14.4
43493.609877,14.5
43493.609923,14.2
43493.609970,14.6
43493.610016,14.3
43493.610062,14.2
43493.610109,14.6
43493.610155,14.5
43493.610201,14.5
43493.610248,14.3
43493.610294,14.4
43493.610340,14.3
43493.610386,14.7
43493.610433,14.7
43493.610479,14.8
43493.610525,14.5
43493.610572,14.6
43493.610618,14.6
43493.610664,14.3
43493.610711,14.4
43493.610757,14.4
43493.610803,14.4
43493.610849,14.5
43493.610896,14.4
43493.610942,14.7
43493.610988,14.6
43493.611035,14.4
43493.611081,14.4
43493.611127,14.5
43493.611173,14.6
43493.611220,14.4
43493.611266,14.5
43493.611312,14.4
43493.611359,14.2
43493.611405,14.3
43493.611451,14.6
43493.611498,14.6
43493.611544,14.6
43493.611590,14.3
43493.611636,14.6
43493.611683,14.6
43493.611729,14.4
43493.611775,14.7
43493.611822,14.5
43493.611868,14.4
43493.611914,14.3
43493.611961,14.4
43493.612007,14.5
43493.612053,14.2
43493.612099,14.4
43493.612146,14.3
43493.612192,14.4
43493.612238,14.7
43493.612285,14.3
43493.612331,14.4
43493.612377,14.6
43493.612423,14.3
43493.612470,14.4
43493.612516,14.4
43493.612562,14.5
43493.612609,14.4
43493.612655,14.3
43493.612701,14.5
43493.612748,14.5
43493.612794,14.6
43493.612840,14.3
43493.612886,14.4
43493.612933,14.3
43493.612979,14.2
43493.613025,14.3
43493.613072,17.1
43493.613118,15.6
43493.613164,14.6
43493.613211,14.4
43493.613257,14.6
43493.613303,14.4
43493.613349,14.2
43493.613396,14.3
43493.613442,14.3
43493.613488,14.4
43493.613535,14.3
43493.613581,14.2
43493.613627,14.8
43493.613673,15.4
43493.613720,14.4
43493.613766,15.9
43493.613812,15.5
43493.613859,15.2
43493.613905,15.4
