Time,Used
43493.594924,228342992
43493.594969,65077760
43493.595016,70320640
43493.595062,74514944
43493.595108,78709248
43493.595155,82903552
43493.595201,105081856
43493.595247,150170624
43493.595293,157414280
43493.595340,163647624
43493.595386,167828512
43493.595432,174470912
43493.595479,179360128
43493.595525,184603848
43493.595571,190202400
43493.595618,194042568
43493.595664,197546688
43493.595710,115408560
43493.595756,239823872
43493.595803,153697280
43493.595849,271529536
43493.595895,171744432
43493.595942,77909504
43493.595988,198754040
43493.596034,106292224
43493.596081,228525232
43493.596127,140007880
43493.596173,262358520
43493.596219,173117808
43493.596266,84949760
43493.596312,207708512
43493.596358,118671456
43493.596405,242808448
43493.596451,153478688
43493.596497,277621408
43493.596544,188006192
43493.596590,99686032
43493.596636,223842944
43493.596682,134521648
43493.596729,258043392
43493.596775,166878616
43493.596821,78852304
43493.596868,204022720
43493.596914,113931672
43493.596960,237438384
43493.597007,149438864
43493.597053,272208936
43493.597099,184216432
43493.597145,95869296
43493.597192,219687368
43493.597238,129575920
43493.597284,253700528
43493.597331,164019344
43493.597377,288453488
43493.597423,200130608
43493.597469,110759504
43493.597516,234571424
43493.597562,145824264
43493.597608,269655712
43493.597655,179953272
43493.597701,91185600
43493.597747,215755256
43493.597794,126696176
43493.597840,250820240
43493.597886,162790664
43493.597932,285573312
43493.597979,196202880
43493.598025,107860608
43493.598071,233344528
43493.598118,144725856
43493.598164,268849248
43493.598210,180840208
43493.598257,304672192
43493.598303,215314112
43493.598349,126241664
43493.598395,249738256
43493.598442,161000352
43493.598488,285131784
43493.598534,195735912
43493.598581,107396312
43493.598627,231201840
43493.598673,142895712
43493.598719,267024432
43493.598766,177943016
43493.598812,302076968
43493.598858,212444320
43493.598905,123047376
43493.598951,247174304
43493.598997,158513296
43493.599044,283265536
43493.599090,193874360
43493.599136,317687136
43493.599182,229377872
43493.599229,141341048
43493.599275,265180272
43493.599321,176102640
43493.599368,299918448
43493.599414,210848888
43493.599460,121454864
43493.599507,245600384
43493.599553,156942608
43493.599599,283477392
43493.599645,199331376
43493.599692,114863472
43493.599738,242133264
43493.599784,162513376
43493.599831,291338056
43493.599877,213487344
43493.599923,137438208
43493.599970,267110296
43493.600016,193428440
43493.600062,121563648
43493.600108,253645968
43493.600155,183896136
43493.600201,318076320
43493.600247,246956160
43493.600294,179260928
43493.600340,312821248
43493.600386,244408832
43493.600432,179407040
43493.600479,316868096
43493.600525,253659648
43493.600571,191784720
43493.600618,135164688
43493.600664,277552128
43493.600710,218547200
43493.600757,162671616
43493.600803,303553536
43493.600849,248724992
43493.600895,196298392
43493.600942,146240208
43493.600988,290266232
43493.601034,241904128
43493.601081,194417664
43493.601127,148839168
43493.601173,296000648
43493.601220,252896768
43493.601266,211524168
43493.601312,170806576
43493.601358,321681736
43493.601405,283794944
43493.601451,247853568
43493.601497,211896832
43493.601544,179047424
43493.601590,147271168
43493.601636,300509496
43493.601683,270824072
43493.601729,242370048
43493.601775,214536184
43493.601821,189068608
43493.601868,164628008
43493.601914,322272032
43493.601960,299887128
43493.602007,279596232
43493.602053,260105312
43493.602099,242968240
43493.602145,226081520
43493.602192,212355072
43493.602238,197855184
43493.602284,186203152
43493.602331,174805280
43493.602377,165284400
43493.602423,158599488
43493.602470,324599696
43493.602516,320026864
43493.602562,315439904
43493.602608,312157720
43493.602655,310472192
43493.602701,310112656
43493.602747,310752160
43493.602794,313526368
43493.602840,316272320
43493.602886,322177936
43493.602933,163760656
43493.602979,171486408
43493.603025,181838752
43493.603071,192988880
43493.603118,204901400
43493.603164,217055768
43493.603210,233649504
43493.603257,250821624
43493.603303,266864512
43493.603349,282489312
43493.603395,300678144
43493.603442,321223168
43493.603488,178486784
43493.603534,199026176
43493.603581,221597088
43493.603627,245286624
43493.603673,268987232
43493.603720,294846976
43493.603766,322706432
43493.603812,194549664
43493.603858,225654272
43493.603905,256576000
43493.603951,286622208
43493.603997,319423584
43493.604044,201015040
43493.604090,239368800
43493.604136,274668032
43493.604183,311944704
43493.604229,200915440
43493.604275,244148192
43493.604321,286491864
43493.604368,184795136
43493.604414,230444736
43493.604460,278028792
43493.604507,182614848
43493.604553,230367456
43493.604599,281270528
43493.604646,190876864
43493.604692,246782472
43493.604738,301043744
43493.604784,214851800
43493.604831,272878056
43493.604877,193178432
43493.604923,254086128
43493.604970,316708144
43493.605016,238894048
43493.605062,305490160
43493.605108,235794784
43493.605155,303679816
43493.605201,234005424
43493.605247,305001720
