Time,Used,Committed,Max
43493.594924,105264704,114458624,-1
43493.594969,107858704,117145600,-1
43493.595016,108087760,117342208,-1
43493.595062,108135136,117407744,-1
43493.595108,108316184,117538816,-1
43493.595155,108439128,117669888,-1
43493.595201,124872472,135954432,-1
43493.595247,129789664,140869632,-1
43493.595293,131456928,142639104,-1
43493.595340,131990536,143032320,-1
43493.595386,132200616,143491072,-1
43493.595432,132332760,143556608,-1
43493.595479,132442104,143687680,-1
43493.595525,132601656,144080896,-1
43493.595571,132753432,144211968,-1
43493.595618,132792144,144211968,-1
43493.595664,132852160,144277504,-1
43493.595710,135292040,146571264,-1
43493.595756,135876944,147292160,-1
43493.595803,136131712,147750912,-1
43493.595849,136271360,147881984,-1
43493.595895,136310504,147881984,-1
43493.595942,136352824,147947520,-1
43493.595988,136372200,147947520,-1
43493.596034,136436472,148013056,-1
43493.596081,136456872,148013056,-1
43493.596127,136506600,148078592,-1
43493.596173,133820520,148144128,-1
43493.596219,133848464,148144128,-1
43493.596266,133940064,148144128,-1
43493.596312,133947104,148144128,-1
43493.596358,134007144,148144128,-1
43493.596405,134031408,148144128,-1
43493.596451,134104280,148144128,-1
43493.596497,134183352,148144128,-1
43493.596544,134238136,148144128,-1
43493.596590,134250808,148144128,-1
43493.596636,134256952,148144128,-1
43493.596682,134285200,148144128,-1
43493.596729,134319096,148144128,-1
43493.596775,134342248,148144128,-1
43493.596821,134383328,148144128,-1
43493.596868,134389472,148144128,-1
43493.596914,134412856,148144128,-1
43493.596960,134432856,148144128,-1
43493.597007,134470480,148209664,-1
43493.597053,134598704,148209664,-1
43493.597099,134622928,148275200,-1
43493.597145,134626512,148275200,-1
43493.597192,134653512,148275200,-1
43493.597238,134659528,148275200,-1
43493.597284,134705096,148340736,-1
43493.597331,134714952,148340736,-1
43493.597377,134719176,148340736,-1
43493.597423,134742088,148340736,-1
43493.597469,134762296,148406272,-1
43493.597516,134812840,148406272,-1
43493.597562,134826920,148406272,-1
43493.597608,134868904,148471808,-1
43493.597655,134929832,148537344,-1
43493.597701,134947368,148537344,-1
43493.597747,134948136,148537344,-1
43493.597794,134961144,148537344,-1
43493.597840,134981392,148537344,-1
43493.597886,135021824,148602880,-1
43493.597932,135030400,148602880,-1
43493.597979,135032064,148602880,-1
43493.598025,135042240,148602880,-1
43493.598071,135046592,148602880,-1
43493.598118,135052696,148602880,-1
43493.598164,135056024,148602880,-1
43493.598210,135062040,148602880,-1
43493.598257,135062936,148602880,-1
43493.598303,135074176,148602880,-1
43493.598349,135075456,148602880,-1
43493.598395,135145792,148668416,-1
43493.598442,135188680,148668416,-1
43493.598488,135243776,148733952,-1
43493.598534,135255808,148733952,-1
43493.598581,135280384,148733952,-1
43493.598627,135289848,148733952,-1
43493.598673,135292536,148733952,-1
43493.598719,135310840,148733952,-1
43493.598766,135328000,148733952,-1
43493.598812,135354704,148733952,-1
43493.598858,135361152,148799488,-1
43493.598905,135366296,148799488,-1
43493.598951,135382296,148799488,-1
43493.598997,135390728,148799488,-1
43493.599044,135393672,148799488,-1
43493.599090,135404168,148799488,-1
43493.599136,135417352,148799488,-1
43493.599182,135417992,148799488,-1
43493.599229,135421448,148799488,-1
43493.599275,135421448,148799488,-1
43493.599321,135431496,148799488,-1
43493.599368,135436616,148799488,-1
43493.599414,135436616,148799488,-1
43493.599460,135436616,148799488,-1
43493.599507,135440584,148799488,-1
43493.599553,135446656,148799488,-1
43493.599599,135460992,148799488,-1
43493.599645,135463168,148799488,-1
43493.599692,135463168,148799488,-1
43493.599738,135463168,148799488,-1
43493.599784,135465088,148865024,-1
43493.599831,135465088,148865024,-1
43493.599877,135525632,148865024,-1
43493.599923,135525632,148865024,-1
43493.599970,135550336,148930560,-1
43493.600016,135587712,148930560,-1
43493.600062,135589504,148930560,-1
43493.600108,135589504,148930560,-1
43493.600155,135589504,148930560,-1
43493.600201,135595936,148930560,-1
43493.600247,135603648,148930560,-1
43493.600294,135603648,148930560,-1
43493.600340,135603648,148930560,-1
43493.600386,135614272,148930560,-1
43493.600432,135614272,148930560,-1
43493.600479,135630232,148930560,-1
43493.600525,135632792,148930560,-1
43493.600571,135639064,148996096,-1
43493.600618,135645464,148996096,-1
43493.600664,135657272,148996096,-1
43493.600710,135665208,148996096,-1
43493.600757,135683256,148996096,-1
43493.600803,135702584,148996096,-1
43493.600849,135725760,149061632,-1
43493.600895,135778160,149061632,-1
43493.600942,135788688,149061632,-1
43493.600988,135814608,149061632,-1
43493.601034,135818192,149061632,-1
43493.601081,135842960,149127168,-1
43493.601127,135875832,149127168,-1
43493.601173,135882544,149127168,-1
43493.601220,135914408,149127168,-1
43493.601266,135922968,149127168,-1
43493.601312,135939032,149127168,-1
43493.601358,135939032,149127168,-1
43493.601405,135943896,149127168,-1
43493.601451,135957928,149127168,-1
