Time,Used,Committed,Max,Threshold
43493.742462,187695104,208666624,-1,-1
43493.742506,17825792,258998272,-1,-1
43493.742552,24117248,258998272,-1,-1
43493.742598,28311552,258998272,-1,-1
43493.742645,33554432,258998272,-1,-1
43493.742691,37748736,258998272,-1,-1
43493.742737,42991616,258998272,-1,-1
43493.742784,47185920,258998272,-1,-1
43493.742830,51380224,258998272,-1,-1
43493.742876,88080384,258998272,-1,-1
43493.742923,173015040,250609664,-1,-1
43493.742969,164626432,266338304,-1,-1
43493.743015,132120576,266338304,-1,-1
43493.743061,106954752,266338304,-1,-1
43493.743108,218103808,266338304,-1,-1
43493.743154,47185920,264241152,-1,-1
43493.743200,125829120,264241152,-1,-1
43493.743247,208666624,263192576,-1,-1
43493.743293,44040192,262144000,-1,-1
43493.743339,128974848,262144000,-1,-1
43493.743386,212860928,261095424,-1,-1
43493.743432,54525952,260046848,-1,-1
43493.743478,144703488,266338304,-1,-1
43493.743524,226492416,266338304,-1,-1
43493.743571,59768832,265289728,-1,-1
43493.743617,143654912,265289728,-1,-1
43493.743663,227540992,266338304,-1,-1
43493.743710,61865984,266338304,-1,-1
43493.743756,146800640,266338304,-1,-1
43493.743802,230686720,266338304,-1,-1
43493.743848,62914560,266338304,-1,-1
43493.743895,146800640,266338304,-1,-1
43493.743941,231735296,266338304,-1,-1
43493.743987,66060288,266338304,-1,-1
43493.744034,148897792,266338304,-1,-1
43493.744080,234881024,266338304,-1,-1
43493.744126,69206016,266338304,-1,-1
43493.744173,153092096,266338304,-1,-1
43493.744219,238026752,266338304,-1,-1
43493.744265,72351744,266338304,-1,-1
43493.744311,158334976,266338304,-1,-1
43493.744358,243269632,266338304,-1,-1
43493.744404,77594624,266338304,-1,-1
43493.744450,162529280,266338304,-1,-1
43493.744497,247463936,266338304,-1,-1
43493.744543,80740352,266338304,-1,-1
43493.744589,165675008,266338304,-1,-1
43493.744636,250609664,266338304,-1,-1
43493.744682,84934656,266338304,-1,-1
43493.744728,169869312,266338304,-1,-1
43493.744774,4194304,266338304,-1,-1
43493.744821,89128960,266338304,-1,-1
43493.744867,174063616,266338304,-1,-1
43493.744913,9437184,266338304,-1,-1
43493.744960,93323264,266338304,-1,-1
43493.745006,178257920,266338304,-1,-1
43493.745052,12582912,266338304,-1,-1
43493.745099,97517568,266338304,-1,-1
43493.745145,182452224,266338304,-1,-1
43493.745191,17825792,266338304,-1,-1
43493.745237,101711872,266338304,-1,-1
43493.745284,186646528,266338304,-1,-1
43493.745330,20971520,266338304,-1,-1
43493.745376,106954752,266338304,-1,-1
43493.745423,191889408,266338304,-1,-1
43493.745469,26214400,266338304,-1,-1
43493.745515,111149056,266338304,-1,-1
43493.745561,196083712,266338304,-1,-1
43493.745608,30408704,266338304,-1,-1
43493.745654,115343360,266338304,-1,-1
43493.745700,200278016,266338304,-1,-1
43493.745747,35651584,266338304,-1,-1
43493.745793,120586240,266338304,-1,-1
43493.745839,204472320,266338304,-1,-1
43493.745886,38797312,266338304,-1,-1
43493.745932,124780544,266338304,-1,-1
43493.745978,209715200,266338304,-1,-1
43493.746024,44040192,266338304,-1,-1
43493.746071,128974848,266338304,-1,-1
43493.746117,214958080,266338304,-1,-1
43493.746163,49283072,266338304,-1,-1
43493.746210,134217728,266338304,-1,-1
43493.746256,219152384,266338304,-1,-1
43493.746302,54525952,266338304,-1,-1
43493.746349,140509184,266338304,-1,-1
43493.746395,225443840,266338304,-1,-1
43493.746441,60817408,266338304,-1,-1
43493.746487,145752064,266338304,-1,-1
43493.746534,231735296,266338304,-1,-1
43493.746580,66060288,266338304,-1,-1
43493.746626,150994944,266338304,-1,-1
43493.746673,236978176,266338304,-1,-1
43493.746719,70254592,266338304,-1,-1
43493.746765,155189248,266338304,-1,-1
43493.746812,241172480,266338304,-1,-1
43493.746858,75497472,266338304,-1,-1
43493.746904,161480704,266338304,-1,-1
43493.746950,246415360,266338304,-1,-1
43493.746997,80740352,266338304,-1,-1
43493.747043,165675008,266338304,-1,-1
43493.747089,251658240,266338304,-1,-1
43493.747136,85983232,266338304,-1,-1
43493.747182,170917888,266338304,-1,-1
43493.747228,6291456,266338304,-1,-1
43493.747274,92274688,266338304,-1,-1
43493.747321,178257920,266338304,-1,-1
43493.747367,12582912,266338304,-1,-1
43493.747413,98566144,266338304,-1,-1
43493.747460,183500800,266338304,-1,-1
43493.747506,17825792,266338304,-1,-1
43493.747552,103809024,266338304,-1,-1
43493.747599,188743680,266338304,-1,-1
43493.747645,24117248,266338304,-1,-1
43493.747691,109051904,266338304,-1,-1
43493.747737,196083712,266338304,-1,-1
43493.747784,29360128,266338304,-1,-1
43493.747830,115343360,266338304,-1,-1
43493.747876,200278016,266338304,-1,-1
43493.747923,34603008,266338304,-1,-1
43493.747969,120586240,266338304,-1,-1
43493.748015,206569472,266338304,-1,-1
43493.748062,39845888,266338304,-1,-1
43493.748108,125829120,266338304,-1,-1
43493.748154,210763776,266338304,-1,-1
43493.748200,46137344,266338304,-1,-1
43493.748247,132120576,266338304,-1,-1
43493.748293,218103808,266338304,-1,-1
43493.748339,52428800,266338304,-1,-1
43493.748386,138412032,265289728,-1,-1
43493.748432,224395264,265289728,-1,-1
43493.748478,62914560,264241152,-1,-1
43493.748525,149946368,263192576,-1,-1
43493.748571,240123904,263192576,-1,-1
43493.748617,81788928,262144000,-1,-1
43493.748663,169869312,262144000,-1,-1
43493.748710,13631488,261095424,-1,-1
43493.748756,104857600,260046848,-1,-1
43493.748802,196083712,260046848,-1,-1
43493.748849,44040192,258998272,-1,-1
43493.748895,136314880,261095424,-1,-1
43493.748941,226492416,257949696,-1,-1
43493.748988,78643200,255852544,-1,-1
