Time,Used,Committed,Max,Threshold
43493.742462,22950408,137363456,1979711488,0
43493.742506,38426624,161480704,1979711488,0
43493.742552,38426624,161480704,1979711488,0
43493.742598,38426624,161480704,1979711488,0
43493.742645,38426624,161480704,1979711488,0
43493.742691,38426624,161480704,1979711488,0
43493.742737,38426624,161480704,1979711488,0
43493.742784,38426624,161480704,1979711488,0
43493.742830,38426624,161480704,1979711488,0
43493.742876,38426624,161480704,1979711488,0
43493.742923,37902336,161480704,1979711488,0
43493.742969,49056256,161480704,1979711488,0
43493.743015,49041264,161480704,1979711488,0
43493.743061,48909520,161480704,1979711488,0
43493.743108,49228192,161480704,1979711488,0
43493.743154,48945576,161480704,1979711488,0
43493.743200,49580544,161480704,1979711488,0
43493.743247,49481392,161480704,1979711488,0
43493.743293,49052640,161480704,1979711488,0
43493.743339,49056256,161480704,1979711488,0
43493.743386,49056256,161480704,1979711488,0
43493.743432,49056256,161480704,1979711488,0
43493.743478,55500800,161480704,1979711488,0
43493.743524,55911936,161480704,1979711488,0
43493.743571,56120320,161480704,1979711488,0
43493.743617,56753664,161480704,1979711488,0
43493.743663,58038784,161480704,1979711488,0
43493.743710,58942400,161480704,1979711488,0
43493.743756,59053320,161480704,1979711488,0
43493.743802,59885520,161480704,1979711488,0
43493.743848,60599096,161480704,1979711488,0
43493.743895,61411904,161480704,1979711488,0
43493.743941,61865680,161480704,1979711488,0
43493.743987,62829648,161480704,1979711488,0
43493.744034,62940128,161480704,1979711488,0
43493.744080,64071680,161480704,1979711488,0
43493.744126,64669520,161480704,1979711488,0
43493.744173,64762864,161480704,1979711488,0
43493.744219,65606400,161480704,1979711488,0
43493.744265,66187040,161480704,1979711488,0
43493.744311,67007424,161480704,1979711488,0
43493.744358,67465504,161480704,1979711488,0
43493.744404,68386304,161480704,1979711488,0
43493.744450,68847120,161480704,1979711488,0
43493.744497,69003792,161480704,1979711488,0
43493.744543,69961336,161480704,1979711488,0
43493.744589,70781232,161480704,1979711488,0
43493.744636,70897880,161480704,1979711488,0
43493.744682,72220320,161480704,1979711488,0
43493.744728,72701968,161480704,1979711488,0
43493.744774,73619632,161480704,1979711488,0
43493.744821,73720656,161480704,1979711488,0
43493.744867,74198776,161480704,1979711488,0
43493.744913,75868160,161480704,1979711488,0
43493.744960,75999840,161480704,1979711488,0
43493.745006,76460128,161480704,1979711488,0
43493.745052,77037736,161480704,1979711488,0
43493.745099,77860928,161480704,1979711488,0
43493.745145,78665728,161480704,1979711488,0
43493.745191,79585792,161480704,1979711488,0
43493.745237,79355952,161480704,1979711488,0
43493.745284,80201344,161480704,1979711488,0
43493.745330,81140736,161480704,1979711488,0
43493.745376,81236760,161480704,1979711488,0
43493.745423,82061952,161480704,1979711488,0
43493.745469,83046816,161480704,1979711488,0
43493.745515,83505200,161480704,1979711488,0
43493.745561,83982736,161480704,1979711488,0
43493.745608,84579312,161480704,1979711488,0
43493.745654,85403168,161480704,1979711488,0
43493.745700,85495480,161480704,1979711488,0
43493.745747,86520656,161480704,1979711488,0
43493.745793,87001456,161480704,1979711488,0
43493.745839,87819312,161480704,1979711488,0
43493.745886,88400760,161480704,1979711488,0
43493.745932,89238432,161480704,1979711488,0
43493.745978,89338432,161480704,1979711488,0
43493.746024,90649896,161480704,1979711488,0
43493.746071,91117408,161480704,1979711488,0
43493.746117,91577552,161480704,1979711488,0
43493.746163,92155040,161480704,1979711488,0
43493.746210,93015136,161480704,1979711488,0
43493.746256,93498240,161480704,1979711488,0
43493.746302,94055576,161480704,1979711488,0
43493.746349,94896512,161480704,1979711488,0
43493.746395,94993712,161480704,1979711488,0
43493.746441,95913056,161480704,1979711488,0
43493.746487,96757696,161480704,1979711488,0
43493.746534,97236176,161480704,1979711488,0
43493.746580,98177392,161480704,1979711488,0
43493.746626,98274952,161480704,1979711488,0
43493.746673,98732880,161480704,1979711488,0
43493.746719,100013296,161480704,1979711488,0
43493.746765,100109224,161480704,1979711488,0
43493.746812,100932304,161480704,1979711488,0
43493.746858,102193152,161480704,1979711488,0
