Time,Used,Committed,Max,Threshold
43493.742462,25165824,25165824,-1,-1
43493.742506,15728640,15728640,-1,-1
43493.742552,15728640,15728640,-1,-1
43493.742598,15728640,15728640,-1,-1
43493.742645,15728640,15728640,-1,-1
43493.742691,15728640,15728640,-1,-1
43493.742737,15728640,15728640,-1,-1
43493.742784,15728640,15728640,-1,-1
43493.742830,15728640,15728640,-1,-1
43493.742876,15728640,15728640,-1,-1
43493.742923,24117248,24117248,-1,-1
43493.742969,8388608,8388608,-1,-1
43493.743015,8388608,8388608,-1,-1
43493.743061,8388608,8388608,-1,-1
43493.743108,8388608,8388608,-1,-1
43493.743154,10485760,10485760,-1,-1
43493.743200,10485760,10485760,-1,-1
43493.743247,11534336,11534336,-1,-1
43493.743293,12582912,12582912,-1,-1
43493.743339,12582912,12582912,-1,-1
43493.743386,13631488,13631488,-1,-1
43493.743432,14680064,14680064,-1,-1
43493.743478,8388608,8388608,-1,-1
43493.743524,8388608,8388608,-1,-1
43493.743571,9437184,9437184,-1,-1
43493.743617,9437184,9437184,-1,-1
43493.743663,8388608,8388608,-1,-1
43493.743710,8388608,8388608,-1,-1
43493.743756,8388608,8388608,-1,-1
43493.743802,8388608,8388608,-1,-1
43493.743848,8388608,8388608,-1,-1
43493.743895,8388608,8388608,-1,-1
43493.743941,8388608,8388608,-1,-1
43493.743987,8388608,8388608,-1,-1
43493.744034,8388608,8388608,-1,-1
43493.744080,8388608,8388608,-1,-1
43493.744126,8388608,8388608,-1,-1
43493.744173,8388608,8388608,-1,-1
43493.744219,8388608,8388608,-1,-1
43493.744265,8388608,8388608,-1,-1
43493.744311,8388608,8388608,-1,-1
43493.744358,8388608,8388608,-1,-1
43493.744404,8388608,8388608,-1,-1
43493.744450,8388608,8388608,-1,-1
43493.744497,8388608,8388608,-1,-1
43493.744543,8388608,8388608,-1,-1
43493.744589,8388608,8388608,-1,-1
43493.744636,8388608,8388608,-1,-1
43493.744682,8388608,8388608,-1,-1
43493.744728,8388608,8388608,-1,-1
43493.744774,8388608,8388608,-1,-1
43493.744821,8388608,8388608,-1,-1
43493.744867,8388608,8388608,-1,-1
43493.744913,8388608,8388608,-1,-1
43493.744960,8388608,8388608,-1,-1
43493.745006,8388608,8388608,-1,-1
43493.745052,8388608,8388608,-1,-1
43493.745099,8388608,8388608,-1,-1
43493.745145,8388608,8388608,-1,-1
43493.745191,8388608,8388608,-1,-1
43493.745237,8388608,8388608,-1,-1
43493.745284,8388608,8388608,-1,-1
43493.745330,8388608,8388608,-1,-1
43493.745376,8388608,8388608,-1,-1
43493.745423,8388608,8388608,-1,-1
43493.745469,8388608,8388608,-1,-1
43493.745515,8388608,8388608,-1,-1
43493.745561,8388608,8388608,-1,-1
43493.745608,8388608,8388608,-1,-1
43493.745654,8388608,8388608,-1,-1
43493.745700,8388608,8388608,-1,-1
43493.745747,8388608,8388608,-1,-1
43493.745793,8388608,8388608,-1,-1
43493.745839,8388608,8388608,-1,-1
43493.745886,8388608,8388608,-1,-1
43493.745932,8388608,8388608,-1,-1
43493.745978,8388608,8388608,-1,-1
43493.746024,8388608,8388608,-1,-1
43493.746071,8388608,8388608,-1,-1
43493.746117,8388608,8388608,-1,-1
43493.746163,8388608,8388608,-1,-1
43493.746210,8388608,8388608,-1,-1
43493.746256,8388608,8388608,-1,-1
43493.746302,8388608,8388608,-1,-1
43493.746349,8388608,8388608,-1,-1
43493.746395,8388608,8388608,-1,-1
43493.746441,8388608,8388608,-1,-1
43493.746487,8388608,8388608,-1,-1
43493.746534,8388608,8388608,-1,-1
43493.746580,8388608,8388608,-1,-1
43493.746626,8388608,8388608,-1,-1
43493.746673,8388608,8388608,-1,-1
43493.746719,8388608,8388608,-1,-1
43493.746765,8388608,8388608,-1,-1
43493.746812,8388608,8388608,-1,-1
43493.746858,8388608,8388608,-1,-1
43493.746904,8388608,8388608,-1,-1
43493.746950,8388608,8388608,-1,-1
43493.746997,8388608,8388608,-1,-1
43493.747043,8388608,8388608,-1,-1
43493.747089,8388608,8388608,-1,-1
43493.747136,8388608,8388608,-1,-1
43493.747182,8388608,8388608,-1,-1
43493.747228,8388608,8388608,-1,-1
43493.747274,8388608,8388608,-1,-1
43493.747321,8388608,8388608,-1,-1
43493.747367,8388608,8388608,-1,-1
43493.747413,8388608,8388608,-1,-1
43493.747460,8388608,8388608,-1,-1
43493.747506,8388608,8388608,-1,-1
43493.747552,8388608,8388608,-1,-1
43493.747599,8388608,8388608,-1,-1
43493.747645,8388608,8388608,-1,-1
43493.747691,8388608,8388608,-1,-1
43493.747737,8388608,8388608,-1,-1
43493.747784,8388608,8388608,-1,-1
43493.747830,8388608,8388608,-1,-1
43493.747876,8388608,8388608,-1,-1
43493.747923,8388608,8388608,-1,-1
43493.747969,8388608,8388608,-1,-1
43493.748015,8388608,8388608,-1,-1
43493.748062,8388608,8388608,-1,-1
43493.748108,8388608,8388608,-1,-1
43493.748154,8388608,8388608,-1,-1
43493.748200,8388608,8388608,-1,-1
43493.748247,8388608,8388608,-1,-1
43493.748293,8388608,8388608,-1,-1
43493.748339,8388608,8388608,-1,-1
43493.748386,8388608,8388608,-1,-1
43493.748432,8388608,8388608,-1,-1
43493.748478,8388608,8388608,-1,-1
43493.748525,8388608,8388608,-1,-1
43493.748571,8388608,8388608,-1,-1
43493.748617,8388608,8388608,-1,-1
43493.748663,8388608,8388608,-1,-1
43493.748710,8388608,8388608,-1,-1
43493.748756,8388608,8388608,-1,-1
43493.748802,8388608,8388608,-1,-1
43493.748849,8388608,8388608,-1,-1
43493.748895,7340032,7340032,-1,-1
43493.748941,8388608,8388608,-1,-1
43493.748988,8388608,8388608,-1,-1
43493.749034,8388608,8388608,-1,-1
43493.749080,7340032,7340032,-1,-1
43493.749126,8388608,8388608,-1,-1
43493.749173,7340032,7340032,-1,-1
43493.749219,8388608,8388608,-1,-1
43493.749265,8388608,8388608,-1,-1
43493.749312,7340032,7340032,-1,-1
43493.749358,8388608,8388608,-1,-1
43493.749404,8388608,8388608,-1,-1
43493.749450,8388608,8388608,-1,-1
43493.749497,8388608,8388608,-1,-1
43493.749543,8388608,8388608,-1,-1
43493.749589,8388608,8388608,-1,-1
43493.749636,7340032,7340032,-1,-1
43493.749682,8388608,8388608,-1,-1
43493.749728,7340032,7340032,-1,-1
43493.749775,7340032,7340032,-1,-1
43493.749821,7340032,7340032,-1,-1
43493.749867,7340032,7340032,-1,-1
43493.749913,7340032,7340032,-1,-1
43493.749960,7340032,7340032,-1,-1
43493.750006,7340032,7340032,-1,-1
43493.750052,7340032,7340032,-1,-1
43493.750099,7340032,7340032,-1,-1
43493.750145,7340032,7340032,-1,-1
43493.750191,7340032,7340032,-1,-1
43493.750238,7340032,7340032,-1,-1
43493.750284,7340032,7340032,-1,-1
43493.750330,7340032,7340032,-1,-1
43493.750376,7340032,7340032,-1,-1
43493.750423,7340032,7340032,-1,-1
43493.750469,7340032,7340032,-1,-1
43493.750515,7340032,7340032,-1,-1
43493.750562,7340032,7340032,-1,-1
43493.750608,7340032,7340032,-1,-1
43493.750654,7340032,7340032,-1,-1
43493.750701,7340032,7340032,-1,-1
43493.750747,7340032,7340032,-1,-1
43493.750793,7340032,7340032,-1,-1
43493.750839,7340032,7340032,-1,-1
43493.750886,7340032,7340032,-1,-1
43493.750932,7340032,7340032,-1,-1
