Time,Used
43493.742462,234762760
43493.742506,71981056
43493.742552,78272512
43493.742598,82466816
43493.742645,87709696
43493.742691,91904000
43493.742737,97146880
43493.742784,101341184
43493.742830,105535488
43493.742876,142235648
43493.742923,235034624
43493.742969,222071296
43493.743015,189550448
43493.743061,164252880
43493.743108,274672032
43493.743154,106617256
43493.743200,185895424
43493.743247,269682352
43493.743293,105675744
43493.743339,190614016
43493.743386,274500096
43493.743432,118262272
43493.743478,207544320
43493.743524,290792960
43493.743571,125326336
43493.743617,208797184
43493.743663,293968384
43493.743710,129196992
43493.743756,213193992
43493.743802,298960848
43493.743848,131902264
43493.743895,216601152
43493.743941,301989584
43493.743987,137278544
43493.744034,220226528
43493.744080,307341312
43493.744126,141215568
43493.744173,226243568
43493.744219,312021760
43493.744265,146927392
43493.744311,233731008
43493.744358,319123744
43493.744404,154369536
43493.744450,239765008
43493.744497,324856336
43493.744543,159090296
43493.744589,244844848
43493.744636,329896152
43493.744682,165543584
43493.744728,250959888
43493.744774,86202544
43493.744821,171238224
43493.744867,256651000
43493.744913,93693952
43493.744960,177711712
43493.745006,263106656
43493.745052,98009256
43493.745099,183767104
43493.745145,269506560
43493.745191,104751616
43493.745237,189456432
43493.745284,275236480
43493.745330,110500864
43493.745376,196580120
43493.745423,282339968
43493.745469,116601248
43493.745515,203042864
43493.745561,288455056
43493.745608,123376624
43493.745654,209135136
43493.745700,294162104
43493.745747,130560848
43493.745793,215976304
43493.745839,300680240
43493.745886,135586680
43493.745932,222407584
43493.745978,307442240
43493.746024,143078696
43493.746071,228480864
43493.746117,314924240
43493.746163,149826720
43493.746210,235621472
43493.746256,321039232
43493.746302,156970136
43493.746349,243794304
43493.746395,328826160
43493.746441,164070496
43493.746487,250898368
43493.746534,336311504
43493.746580,172626288
43493.746626,257658504
43493.746673,344099664
43493.746719,178656496
43493.746765,263687080
43493.746812,350493392
43493.746858,185030656
43493.746904,271891680
43493.746950,357685200
43493.746997,192239616
43493.747043,278361280
43493.747089,364801360
43493.747136,200085488
43493.747182,285479168
43493.747228,121792800
43493.747274,208236304
43493.747321,294677760
43493.747367,129964704
43493.747413,215356048
43493.747460,300386112
43493.747506,136715392
43493.747552,223519200
43493.747599,308954768
43493.747645,145253680
43493.747691,230667792
43493.747737,318486016
43493.747784,152068296
43493.747830,237829488
43493.747876,323910912
43493.747923,159514080
43493.747969,245618696
43493.748015,331010680
43493.748062,166658032
43493.748108,252742096
43493.748154,338177896
43493.748200,174830480
43493.748247,260224144
43493.748293,346665728
43493.748339,182980224
43493.748386,269443760
43493.748432,355884912
43493.748478,195326272
43493.748525,282451440
43493.748571,372403264
43493.748617,214653440
43493.748663,304621840
43493.748710,149289392
43493.748756,240613128
43493.748802,332299032
43493.748849,181171400
43493.748895,273550336
43493.748941,364561312
43493.748988,217648808
43493.749034,313914736
43493.749080,169404416
43493.749126,263532016
43493.749173,360136704
43493.749219,217747280
43493.749265,316763368
43493.749312,176448848
43493.749358,275116536
43493.749404,375179416
43493.749450,240835040
43493.749497,342990856
43493.749543,208964000
43493.749589,311835656
43493.749636,181284488
43493.749682,282767096
43493.749728,157452840
43493.749775,261696920
43493.749821,365995008
43493.749867,240068096
43493.749913,345375232
43493.749960,221442600
43493.750006,327779528
43493.750052,206709552
43493.750099,315140656
43493.750145,195766704
43493.750191,304205080
43493.750238,187666104
43493.750284,299291136
43493.750330,186876184
43493.750376,299496664
43493.750423,190239248
43493.750469,303905600
43493.750515,195400032
43493.750562,311479120
43493.750608,206448704
43493.750654,323338240
43493.750701,221350752
43493.750747,340251256
43493.750793,239386712
43493.750839,359377432
43493.750886,262384688
43493.750932,382342032
43493.750978,288097856
43493.751025,195302432
43493.751071,318411072
43493.751117,228309920
43493.751163,353182448
43493.751210,265906144
43493.751256,178345384
43493.751302,304571424
43493.751349,222129664
43493.751395,347751632
43493.751441,267130592
43493.751488,188231168
43493.751534,317609264
43493.751580,239441752
43493.751626,371215344
43493.751673,296501872
43493.751719,223571008
43493.751765,357169640
43493.751812,284865632
43493.751858,216888832
43493.751904,348347392
43493.751951,281260200
43493.751997,214952792
43493.752043,351346176
43493.752089,287392592
43493.752136,226001408
43493.752182,362991256
43493.752228,303702016
43493.752275,241845448
43493.752321,383478272
43493.752367,326398840
43493.752414,268613632
43493.752460,214844416
43493.752506,355731968
43493.752552,302236136
43493.752599,251382272
43493.752645,201018640
43493.752691,347895296
43493.752738,299364352
43493.752784,253979136
43493.752830,207518208
43493.752876,352403744
43493.752923,305933328
43493.752969,261561912
43493.753015,218246136
43493.753062,366650880
43493.753108,327525888
43493.753154,288200464
43493.753201,253249952
43493.753247,219337832
43493.753293,372778880
43493.753339,340964128
43493.753386,308112256
43493.753432,275263232
43493.753478,246327072
43493.753525,211390128
43493.753571,357772856
43493.753617,323580944
43493.753664,283631840
43493.753710,254987712
43493.753756,220803248
43493.753802,370296104
43493.753849,341346448
43493.753895,315812784
43493.753941,289996488
43493.753988,266782000
43493.754034,247602144
43493.754080,230154776
43493.754127,382778928
43493.754173,366391128
43493.754219,348426816
43493.754265,331491488
43493.754312,319845888
43493.754358,303190256
43493.754404,293077568
43493.754451,282950624
43493.754497,275744448
43493.754543,268028528
43493.754589,266337272
43493.754636,263040832
43493.754682,262370760
43493.754728,262742016
43493.754775,265717504
43493.754821,272382464
43493.754867,274309664
43493.754914,282262424
43493.754960,287097000
43493.755006,294838272
43493.755052,300672256
43493.755099,305783664
43493.755145,310584976
43493.755191,318534480
43493.755238,329624896
43493.755284,347752384
43493.755330,366210912
43493.755377,385767936
43493.755423,247107328
43493.755469,269711520
43493.755515,291347968
43493.755562,356250512
43493.755608,484599992
43493.755654,440146944
43493.755701,393476096
43493.755747,336852992
43493.755793,275734080
43493.755840,494886464
43493.755886,428871040
43493.755932,361760320
43493.755978,290491808
43493.756025,507547040
43493.756071,434157280
43493.756117,359709616
43493.756164,284300096
43493.756210,501355328
43493.756256,422662544
43493.756302,345118176
