Time,CPU Usage
43493.742506,14.5
43493.742552,4.5
43493.742599,6.0
43493.742645,5.1
43493.742691,3.3
43493.742738,6.3
43493.742784,3.6
43493.742830,4.4
43493.742876,4.9
43493.742923,75.0
43493.742969,55.8
43493.743016,46.6
43493.743062,31.5
43493.743108,61.1
43493.743154,50.0
43493.743200,35.3
43493.743247,35.1
43493.743293,34.5
43493.743339,34.1
43493.743386,32.8
43493.743432,32.8
43493.743478,31.2
43493.743525,28.5
43493.743571,29.9
43493.743617,30.3
43493.743663,27.4
43493.743710,23.9
43493.743756,24.3
43493.743802,22.7
43493.743849,23.1
43493.743895,25.0
43493.743941,23.9
43493.743987,23.1
43493.744034,23.8
43493.744080,22.6
43493.744126,24.9
43493.744173,24.1
43493.744219,23.2
43493.744265,23.0
43493.744312,22.8
43493.744358,23.2
43493.744404,23.1
43493.744450,22.9
43493.744497,24.1
43493.744543,22.8
43493.744589,22.6
43493.744636,22.8
43493.744682,22.6
43493.744728,22.3
43493.744775,22.4
43493.744821,22.4
43493.744867,22.4
43493.744913,22.3
43493.744960,22.4
43493.745006,22.5
43493.745052,22.5
43493.745099,22.5
43493.745145,23.1
43493.745191,23.9
43493.745238,22.3
43493.745284,23.4
43493.745330,22.1
43493.745376,21.9
43493.745423,21.7
43493.745469,22.0
43493.745515,22.0
43493.745562,22.0
43493.745608,22.3
43493.745654,21.7
43493.745700,22.1
43493.745747,22.9
43493.745793,21.8
43493.745839,23.2
43493.745886,21.9
43493.745932,21.9
43493.745978,22.5
43493.746025,22.2
43493.746071,21.8
43493.746117,21.4
43493.746163,21.9
43493.746210,22.1
43493.746256,21.9
43493.746302,21.9
43493.746349,22.5
43493.746395,21.9
43493.746441,22.2
43493.746488,21.9
43493.746534,21.9
43493.746580,22.3
43493.746626,22.3
43493.746673,22.0
43493.746719,22.2
43493.746765,22.1
43493.746812,22.2
43493.746858,22.2
43493.746904,21.9
43493.746950,21.9
43493.746997,22.0
43493.747043,22.4
43493.747089,21.7
43493.747136,22.1
43493.747182,21.9
43493.747228,22.3
43493.747275,21.8
43493.747321,21.9
43493.747367,23.1
43493.747413,24.7
43493.747460,21.9
43493.747506,22.2
43493.747552,21.8
43493.747599,21.8
43493.747645,21.9
43493.747691,21.8
43493.747738,21.8
43493.747784,22.0
43493.747830,21.9
43493.747876,21.9
43493.747923,21.9
43493.747969,21.8
43493.748015,22.1
43493.748062,22.1
43493.748108,21.9
43493.748154,21.8
43493.748201,22.4
43493.748247,22.2
43493.748293,22.1
43493.748339,22.4
43493.748386,21.9
43493.748432,21.9
43493.748478,22.1
43493.748525,22.0
43493.748571,21.7
43493.748617,22.1
43493.748664,22.3
43493.748710,24.4
43493.748756,22.6
43493.748802,23.0
43493.748849,22.3
43493.748895,22.8
43493.748941,22.0
43493.748988,22.1
43493.749034,21.7
43493.749080,22.1
43493.749126,22.2
43493.749173,21.9
43493.749219,21.9
43493.749265,22.2
43493.749312,22.3
43493.749358,21.9
43493.749404,21.9
43493.749451,21.9
43493.749497,21.8
43493.749543,22.1
43493.749589,21.9
43493.749636,23.0
43493.749682,21.6
43493.749728,22.1
43493.749775,23.1
43493.749821,21.8
43493.749867,22.1
43493.749914,21.7
43493.749960,21.9
43493.750006,23.3
43493.750052,22.7
43493.750099,22.1
43493.750145,23.9
43493.750191,23.1
43493.750238,24.9
43493.750284,22.4
43493.750330,22.7
43493.750376,21.9
43493.750423,22.0
43493.750469,21.7
43493.750515,21.9
43493.750562,21.7
43493.750608,21.9
43493.750654,21.8
43493.750701,21.9
43493.750747,21.9
43493.750793,22.4
43493.750839,21.8
43493.750886,21.7
43493.750932,21.9
43493.750978,21.4
43493.751025,21.5
43493.751071,21.8
43493.751117,22.0
43493.751164,21.8
43493.751210,21.9
43493.751256,22.0
43493.751302,21.8
43493.751349,21.9
43493.751395,21.8
43493.751441,22.0
43493.751488,21.8
43493.751534,21.9
43493.751580,22.1
43493.751627,21.9
43493.751673,21.7
43493.751719,22.3
43493.751765,21.8
43493.751812,22.2
43493.751858,21.9
43493.751904,21.8
43493.751951,21.9
43493.751997,21.7
43493.752043,21.7
43493.752090,21.7
43493.752136,21.9
43493.752182,21.4
43493.752228,21.8
43493.752275,21.6
43493.752321,22.6
43493.752367,23.1
43493.752414,21.9
43493.752460,21.9
43493.752506,22.9
43493.752552,23.0
43493.752599,22.6
43493.752645,23.1
43493.752691,22.9
43493.752738,23.6
43493.752784,22.6
43493.752830,23.4
43493.752877,24.0
43493.752923,23.5
43493.752969,23.7
43493.753015,23.3
43493.753062,23.5
43493.753108,22.7
43493.753154,22.8
43493.753201,22.7
43493.753247,22.2
43493.753293,22.7
43493.753340,22.5
43493.753386,23.1
43493.753432,23.1
43493.753478,22.9
43493.753525,23.6
43493.753571,23.9
43493.753617,24.5
43493.753664,27.4
43493.753710,27.2
43493.753756,29.2
43493.753803,27.1
43493.753849,26.6
43493.753895,27.9
43493.753942,28.4
43493.753988,27.6
43493.754034,26.7
43493.754080,28.2
43493.754127,25.1
43493.754173,26.9
43493.754219,28.0
43493.754266,27.8
43493.754312,27.6
43493.754358,27.2
43493.754404,26.3
43493.754451,26.3
43493.754497,27.3
43493.754543,26.9
43493.754590,27.4
43493.754636,28.3
43493.754682,28.4
43493.754728,28.1
43493.754775,26.9
43493.754821,27.0
43493.754867,27.6
43493.754914,27.6
43493.754960,29.1
43493.755006,27.4
43493.755053,27.4
43493.755099,29.4
43493.755145,28.4
43493.755191,26.5
43493.755238,26.6
43493.755284,26.9
43493.755330,25.8
43493.755377,26.1
43493.755423,26.6
43493.755469,25.9
43493.755515,26.7
43493.755562,49.7
43493.755608,65.0
43493.755654,15.7
43493.755701,15.9
43493.755747,16.1
43493.755793,16.5
43493.755840,15.5
43493.755886,15.3
43493.755932,16.3
43493.755978,14.9
43493.756025,14.7
43493.756071,14.8
43493.756117,14.8
43493.756164,14.7
43493.756210,15.1
43493.756256,15.6
43493.756303,16.1
43493.756349,15.2
43493.756395,16.0
43493.756441,15.0
