Time,Used,Committed,Max
43493.742462,105964240,115138560,-1
43493.742506,108245072,117563392,-1
43493.742552,108364440,117694464,-1
43493.742598,108576768,117825536,-1
43493.742645,108708984,117956608,-1
43493.742691,108849336,118087680,-1
43493.742737,109037640,118349824,-1
43493.742784,109136728,118677504,-1
43493.742830,109237040,118743040,-1
43493.742876,111560736,121495552,-1
43493.742923,128622680,139976704,-1
43493.742969,131423344,142663680,-1
43493.743015,129629400,142991360,-1
43493.743061,130276952,143843328,-1
43493.743108,132396648,144891904,-1
43493.743154,133638696,145743872,-1
43493.743200,133902960,145874944,-1
43493.743247,133979280,145940480,-1
43493.743293,134092224,145940480,-1
43493.743339,134166360,146006016,-1
43493.743386,134213208,146071552,-1
43493.743432,134286832,146137088,-1
43493.743478,134330608,146137088,-1
43493.743524,134373096,146137088,-1
43493.743571,134416616,146202624,-1
43493.743617,134459368,146202624,-1
43493.743663,134505832,146268160,-1
43493.743710,134566080,146268160,-1
43493.743756,134606912,146333696,-1
43493.743802,134614976,146333696,-1
43493.743848,134626496,146333696,-1
43493.743895,134648520,146399232,-1
43493.743941,134679568,146399232,-1
43493.743987,134704328,146464768,-1
43493.744034,134722856,146464768,-1
43493.744080,134777328,146530304,-1
43493.744126,134807792,146530304,-1
43493.744173,134902984,146661376,-1
43493.744219,134925000,146661376,-1
43493.744265,134939368,146661376,-1
43493.744311,134957936,146661376,-1
43493.744358,135000816,146726912,-1
43493.744404,135076656,146792448,-1
43493.744450,135128136,146857984,-1
43493.744497,135248568,146989056,-1
43493.744543,135263032,146989056,-1
43493.744589,135278160,146989056,-1
43493.744636,135340112,147054592,-1
43493.744682,135393416,147054592,-1
43493.744728,135423112,147054592,-1
43493.744774,135437096,147120128,-1
43493.744821,135461032,147120128,-1
43493.744867,135479592,147120128,-1
43493.744913,135495576,147120128,-1
43493.744960,135550488,147251200,-1
43493.745006,135573400,147251200,-1
43493.745052,135622480,147316736,-1
43493.745099,135665224,147316736,-1
43493.745145,135686728,147316736,-1
43493.745191,135714504,147382272,-1
43493.745237,135765208,147447808,-1
43493.745284,135794008,147513344,-1
43493.745330,135804248,147513344,-1
43493.745376,135810432,147513344,-1
43493.745423,135812720,147513344,-1
43493.745469,135814640,147513344,-1
43493.745515,135816688,147513344,-1
43493.745561,135818352,147513344,-1
43493.745608,135827616,147513344,-1
43493.745654,135840408,147513344,-1
43493.745700,135867064,147513344,-1
43493.745747,135937336,147578880,-1
43493.745793,135938232,147578880,-1
43493.745839,135993400,147644416,-1
43493.745886,135997992,147644416,-1
43493.745932,136002664,147644416,-1
43493.745978,136049000,147709952,-1
43493.746024,136077096,147709952,-1
43493.746071,136086032,147709952,-1
43493.746117,136109072,147709952,-1
43493.746163,136113296,147709952,-1
43493.746210,136124824,147709952,-1
43493.746256,136147224,147841024,-1
43493.746302,136157080,147841024,-1
43493.746349,136298776,147906560,-1
43493.746395,136316776,147906560,-1
43493.746441,136338744,147972096,-1
43493.746487,136339896,147972096,-1
43493.746534,136348984,148037632,-1
43493.746580,136350520,148037632,-1
43493.746626,136350520,148037632,-1
43493.746673,136352312,148037632,-1
43493.746719,136352312,148037632,-1
43493.746765,136365112,148037632,-1
43493.746812,136377384,148037632,-1
43493.746858,136378664,148037632,-1
43493.746904,136384168,148037632,-1
43493.746950,136393112,148037632,-1
43493.746997,136394696,148037632,-1
43493.747043,136412880,148037632,-1
43493.747089,136412880,148037632,-1
43493.747136,136412880,148037632,-1
43493.747182,136412880,148037632,-1
43493.747228,136453512,148037632,-1
43493.747274,136462600,148037632,-1
43493.747321,136474512,148103168,-1
43493.747367,136504976,148103168,-1
43493.747413,136610576,148234240,-1
43493.747460,136621712,148234240,-1
43493.747506,136624912,148234240,-1
43493.747552,136624912,148234240,-1
43493.747599,136624912,148234240,-1
43493.747645,136625680,148234240,-1
43493.747691,136625680,148234240,-1
43493.747737,136625680,148234240,-1
43493.747784,136625680,148234240,-1
43493.747830,136638352,148299776,-1
43493.747876,136640784,148299776,-1
43493.747923,136640784,148299776,-1
43493.747969,136642320,148299776,-1
43493.748015,136660624,148299776,-1
43493.748062,136679696,148299776,-1
43493.748108,136686736,148299776,-1
43493.748154,136696464,148365312,-1
43493.748200,136710800,148365312,-1
43493.748247,136731152,148365312,-1
43493.748293,136748000,148365312,-1
43493.748339,136769504,148430848,-1
43493.748386,136781064,148430848,-1
43493.748432,136800040,148430848,-1
43493.748478,136814280,148430848,-1
43493.748525,136832264,148430848,-1
43493.748571,136860456,148430848,-1
43493.748617,136860456,148430848,-1
43493.748663,136864208,148430848,-1
43493.748710,136891424,148496384,-1
43493.748756,136919608,148496384,-1
43493.748802,136919608,148496384,-1
43493.748849,136953752,148561920,-1
43493.748895,136953752,148561920,-1
43493.748941,136960184,148561920,-1
43493.748988,136960184,148561920,-1
43493.749034,136976408,148561920,-1
43493.749080,136996152,148561920,-1
43493.749126,137004472,148561920,-1
43493.749173,137009880,148561920,-1
43493.749219,137016568,148561920,-1
43493.749265,137018360,148561920,-1
43493.749312,137018360,148561920,-1
43493.749358,137048136,148627456,-1
43493.749404,137059088,148627456,-1
43493.749450,137059088,148627456,-1
43493.749497,137079192,148627456,-1
43493.749543,137085592,148627456,-1
43493.749589,137086744,148627456,-1
43493.749636,137139224,148692992,-1
43493.749682,137142040,148692992,-1
43493.749728,137146392,148692992,-1
43493.749775,137203864,148758528,-1
43493.749821,137204760,148758528,-1
43493.749867,137204760,148758528,-1
43493.749913,137204760,148758528,-1
43493.749960,137218944,148758528,-1
43493.750006,137267584,148824064,-1
43493.750052,137273320,148824064,-1
43493.750099,137273320,148824064,-1
43493.750145,137273320,148824064,-1
43493.750191,137273320,148824064,-1
43493.750238,137273320,148824064,-1
43493.750284,137273320,148824064,-1
43493.750330,137273320,148824064,-1
43493.750376,137274728,148824064,-1
43493.750423,137283688,148824064,-1
43493.750469,137283688,148824064,-1
43493.750515,137283688,148824064,-1
43493.750562,137283688,148824064,-1
43493.750608,137285992,148824064,-1
43493.750654,137285992,148824064,-1
43493.750701,137290560,148824064,-1
43493.750747,137309968,148889600,-1
43493.750793,137320080,148889600,-1
43493.750839,137320080,148889600,-1
43493.750886,137320080,148889600,-1
43493.750932,137320080,148889600,-1
43493.750978,137320080,148889600,-1
43493.751025,137320976,148889600,-1
43493.751071,137326096,148889600,-1
43493.751117,137328144,148889600,-1
43493.751163,137328144,148889600,-1
43493.751210,137332048,148889600,-1
43493.751256,137334328,148889600,-1
43493.751302,137337144,148889600,-1
43493.751349,137355896,148889600,-1
43493.751395,137355896,148889600,-1
43493.751441,137421264,148955136,-1
43493.751488,137422800,148955136,-1
43493.751534,137422800,148955136,-1
43493.751580,137430480,148955136,-1
43493.751626,137430480,148955136,-1
43493.751673,137430480,148955136,-1
43493.751719,137444816,149020672,-1
43493.751765,137444816,149020672,-1
43493.751812,137468752,149020672,-1
43493.751858,137468752,149020672,-1
43493.751904,137472720,149020672,-1
43493.751951,137476048,149020672,-1
43493.751997,137476048,149020672,-1
43493.752043,137486160,149020672,-1
43493.752089,137487184,149020672,-1
43493.752136,137488592,149020672,-1
43493.752182,137488592,149020672,-1
43493.752228,137494744,149020672,-1
43493.752275,137494744,149020672,-1
43493.752321,137498840,149020672,-1
