Time,CPU Usage
43494.565640,6.1
43494.565686,5.1
43494.565732,2.6
43494.565778,2.3
43494.565825,21.4
43494.565871,21.7
43494.565918,20.3
43494.565964,18.3
43494.566010,15.9
43494.566056,14.8
43494.566103,17.9
43494.566149,26.5
43494.566195,11.4
43494.566242,8.8
43494.566288,12.2
43494.566334,7.3
43494.566380,6.4
43494.566427,8.4
43494.566473,9.1
43494.566519,7.0
43494.566566,8.3
43494.566612,6.4
43494.566658,7.1
43494.566704,6.7
43494.566751,7.2
43494.566797,6.5
43494.566843,6.8
43494.566890,6.9
43494.566936,5.9
43494.566982,6.3
43494.567029,5.9
43494.567075,5.9
43494.567121,5.8
43494.567167,6.6
43494.567214,6.0
43494.567260,5.8
43494.567306,5.9
43494.567353,5.8
43494.567399,5.8
43494.567445,5.9
43494.567492,5.9
43494.567538,5.8
43494.567584,5.9
43494.567630,5.9
43494.567677,5.9
43494.567723,5.8
43494.567769,5.8
43494.567816,5.9
43494.567862,5.9
43494.567908,5.8
43494.567955,5.8
43494.568001,5.9
43494.568047,5.8
43494.568093,5.7
43494.568140,7.1
43494.568186,5.7
43494.568232,5.8
43494.568279,5.8
43494.568325,5.9
43494.568371,5.7
43494.568417,5.7
43494.568464,5.7
43494.568510,5.6
43494.568556,5.8
43494.568603,5.7
43494.568649,6.1
43494.568695,5.8
43494.568742,5.8
43494.568788,5.7
43494.568834,5.6
43494.568880,5.7
43494.568927,6.4
43494.568973,5.6
43494.569019,5.8
43494.569066,5.7
43494.569112,5.8
43494.569158,5.8
43494.569205,5.6
43494.569251,5.8
43494.569297,5.5
43494.569343,5.6
43494.569390,5.8
43494.569436,5.9
43494.569482,5.5
43494.569529,5.6
43494.569575,5.4
43494.569621,5.4
43494.569668,5.7
43494.569714,5.8
43494.569760,5.6
43494.569806,5.7
43494.569853,5.6
43494.569899,5.7
43494.569945,5.5
43494.569992,5.7
43494.570038,5.8
43494.570084,5.7
43494.570130,5.6
43494.570177,5.6
43494.570223,5.6
43494.570269,5.6
43494.570316,5.5
43494.570362,5.6
43494.570408,5.6
43494.570455,5.6
43494.570501,5.7
43494.570547,5.6
43494.570593,6.6
43494.570640,5.6
43494.570686,5.5
43494.570732,5.7
43494.570779,5.6
43494.570825,5.7
43494.570871,5.6
43494.570918,5.6
43494.570964,5.6
43494.571010,5.4
43494.571056,5.7
43494.571103,6.0
43494.571149,5.8
43494.571195,5.6
43494.571242,5.6
43494.571288,5.6
43494.571334,5.5
43494.571381,5.6
43494.571427,5.6
43494.571473,5.5
43494.571519,5.6
43494.571566,5.5
43494.571612,5.5
43494.571658,5.7
43494.571705,5.6
43494.571751,6.5
43494.571797,5.6
43494.571844,5.5
43494.571890,6.1
43494.571936,5.6
43494.571982,5.6
43494.572029,5.6
43494.572075,5.6
43494.572121,5.5
43494.572168,5.6
43494.572214,5.2
43494.572260,6.0
43494.572307,5.6
43494.572353,5.6
43494.572399,5.5
43494.572445,5.9
43494.572492,5.6
43494.572538,5.5
43494.572584,5.6
43494.572631,5.6
43494.572677,5.6
43494.572723,5.7
43494.572770,6.7
43494.572816,5.6
43494.572862,5.8
43494.572908,5.5
43494.572955,5.4
43494.573001,5.7
43494.573047,5.5
43494.573094,5.6
43494.573140,5.5
43494.573186,5.5
43494.573233,5.9
43494.573279,5.6
43494.573325,5.6
43494.573371,5.6
43494.573418,5.6
43494.573464,5.6
43494.573510,5.5
43494.573557,5.6
43494.573603,5.4
43494.573649,5.6
43494.573696,5.5
43494.573742,5.5
43494.573788,5.5
43494.573834,5.6
43494.573881,6.4
43494.573927,5.5
43494.573973,5.5
43494.574020,5.4
43494.574066,5.5
43494.574112,5.6
43494.574159,5.4
43494.574205,5.4
43494.574251,6.8
43494.574297,5.4
43494.574344,5.6
43494.574390,5.4
43494.574436,5.3
43494.574483,5.5
43494.574529,5.5
43494.574575,5.6
43494.574622,5.5
43494.574668,5.4
43494.574714,5.5
43494.574760,5.5
43494.574807,5.4
43494.574853,5.6
43494.574899,5.5
43494.574946,5.5
43494.574992,5.5
43494.575038,5.4
43494.575084,5.6
43494.575131,5.6
43494.575177,5.6
43494.575223,5.6
43494.575270,5.5
43494.575316,5.5
43494.575362,5.4
43494.575409,5.6
43494.575455,5.6
43494.575501,5.6
43494.575547,5.5
43494.575594,5.4
43494.575640,5.5
43494.575686,5.4
43494.575733,5.7
43494.575779,5.5
43494.575825,5.6
43494.575872,6.0
43494.575918,5.6
43494.575964,5.5
43494.576010,5.6
43494.576057,5.4
43494.576103,5.6
43494.576149,5.6
43494.576196,5.5
43494.576242,5.6
43494.576288,5.8
43494.576335,5.5
43494.576381,5.7
43494.576427,5.6
43494.576473,5.4
43494.576520,5.8
43494.576566,5.5
43494.576612,5.5
43494.576659,5.5
43494.576705,5.2
43494.576751,5.4
43494.576798,4.8
43494.576844,5.0
43494.576890,4.6
43494.576936,5.1
43494.576983,5.1
43494.577029,5.2
43494.577075,5.3
43494.577122,5.2
43494.577168,4.7
43494.577214,5.4
43494.577261,5.4
43494.577307,5.4
43494.577353,5.4
43494.577399,5.6
43494.577446,5.0
43494.577492,4.7
43494.577538,5.0
43494.577585,4.8
43494.577631,5.4
43494.577677,5.2
43494.577723,4.8
43494.577770,5.1
43494.577816,5.1
43494.577862,4.9
43494.577909,5.4
43494.577955,5.4
43494.578001,5.6
43494.578048,5.3
43494.578094,5.3
43494.578140,5.2
43494.578186,5.3
43494.578233,4.5
43494.578279,3.8
43494.578325,4.0
43494.578372,4.0
43494.578418,4.1
43494.578464,4.1
43494.578511,3.7
43494.578557,3.9
43494.578603,4.0
43494.578649,3.9
