Time,Used,Committed,Max,Threshold
43494.565596,119537664,236978176,-1,-1
43494.565639,123731968,236978176,-1,-1
43494.565686,124780544,236978176,-1,-1
43494.565732,125829120,236978176,-1,-1
43494.565778,126877696,236978176,-1,-1
43494.565825,198180864,236978176,-1,-1
43494.565871,6291456,219152384,-1,-1
43494.565917,44040192,219152384,-1,-1
43494.565964,78643200,219152384,-1,-1
43494.566010,115343360,219152384,-1,-1
43494.566056,148897792,219152384,-1,-1
43494.566102,183500800,219152384,-1,-1
43494.566149,15728640,239075328,-1,-1
43494.566195,50331648,239075328,-1,-1
43494.566241,84934656,239075328,-1,-1
43494.566288,118489088,239075328,-1,-1
43494.566334,152043520,239075328,-1,-1
43494.566380,185597952,239075328,-1,-1
43494.566427,220200960,239075328,-1,-1
43494.566473,30408704,240123904,-1,-1
43494.566519,63963136,240123904,-1,-1
43494.566565,97517568,240123904,-1,-1
43494.566612,132120576,240123904,-1,-1
43494.566658,164626432,240123904,-1,-1
43494.566704,199229440,240123904,-1,-1
43494.566751,8388608,240123904,-1,-1
43494.566797,42991616,240123904,-1,-1
43494.566843,75497472,240123904,-1,-1
43494.566890,109051904,240123904,-1,-1
43494.566936,143654912,240123904,-1,-1
43494.566982,177209344,240123904,-1,-1
43494.567028,210763776,240123904,-1,-1
43494.567075,18874368,240123904,-1,-1
43494.567121,52428800,240123904,-1,-1
43494.567167,84934656,240123904,-1,-1
43494.567214,119537664,240123904,-1,-1
43494.567260,152043520,240123904,-1,-1
43494.567306,185597952,240123904,-1,-1
43494.567353,219152384,240123904,-1,-1
43494.567399,27262976,240123904,-1,-1
43494.567445,59768832,240123904,-1,-1
43494.567491,95420416,240123904,-1,-1
43494.567538,127926272,240123904,-1,-1
43494.567584,161480704,240123904,-1,-1
43494.567630,193986560,240123904,-1,-1
43494.567677,3145728,240123904,-1,-1
43494.567723,35651584,240123904,-1,-1
43494.567769,69206016,240123904,-1,-1
43494.567815,103809024,240123904,-1,-1
43494.567862,136314880,240123904,-1,-1
43494.567908,169869312,240123904,-1,-1
43494.567954,203423744,240123904,-1,-1
43494.568001,11534336,240123904,-1,-1
43494.568047,44040192,240123904,-1,-1
43494.568093,78643200,240123904,-1,-1
43494.568140,112197632,240123904,-1,-1
43494.568186,145752064,240123904,-1,-1
43494.568232,179306496,240123904,-1,-1
43494.568278,211812352,240123904,-1,-1
43494.568325,19922944,240123904,-1,-1
43494.568371,52428800,240123904,-1,-1
43494.568417,87031808,240123904,-1,-1
43494.568464,120586240,240123904,-1,-1
43494.568510,154140672,240123904,-1,-1
43494.568556,187695104,240123904,-1,-1
43494.568603,220200960,240123904,-1,-1
43494.568649,28311552,240123904,-1,-1
43494.568695,60817408,240123904,-1,-1
43494.568741,95420416,240123904,-1,-1
43494.568788,128974848,240123904,-1,-1
43494.568834,162529280,240123904,-1,-1
43494.568880,197132288,240123904,-1,-1
43494.568927,3145728,240123904,-1,-1
43494.568973,36700160,240123904,-1,-1
43494.569019,70254592,240123904,-1,-1
43494.569066,103809024,240123904,-1,-1
43494.569112,137363456,240123904,-1,-1
43494.569158,170917888,240123904,-1,-1
43494.569204,204472320,240123904,-1,-1
43494.569251,11534336,240123904,-1,-1
43494.569297,45088768,240123904,-1,-1
43494.569343,78643200,240123904,-1,-1
43494.569390,112197632,240123904,-1,-1
43494.569436,145752064,240123904,-1,-1
43494.569482,178257920,240123904,-1,-1
43494.569528,212860928,240123904,-1,-1
43494.569575,19922944,240123904,-1,-1
43494.569621,53477376,240123904,-1,-1
43494.569667,87031808,240123904,-1,-1
43494.569714,121634816,240123904,-1,-1
43494.569760,154140672,240123904,-1,-1
43494.569806,187695104,240123904,-1,-1
43494.569853,221249536,240123904,-1,-1
43494.569899,28311552,240123904,-1,-1
43494.569945,61865984,240123904,-1,-1
43494.569992,95420416,240123904,-1,-1
43494.570038,128974848,240123904,-1,-1
43494.570084,162529280,240123904,-1,-1
43494.570130,196083712,240123904,-1,-1
43494.570177,3145728,240123904,-1,-1
43494.570223,36700160,240123904,-1,-1
43494.570269,71303168,240123904,-1,-1
43494.570316,103809024,240123904,-1,-1
43494.570362,137363456,240123904,-1,-1
43494.570408,170917888,240123904,-1,-1
43494.570455,204472320,240123904,-1,-1
43494.570501,12582912,240123904,-1,-1
43494.570547,45088768,240123904,-1,-1
43494.570593,78643200,240123904,-1,-1
43494.570640,112197632,240123904,-1,-1
43494.570686,145752064,240123904,-1,-1
43494.570732,179306496,240123904,-1,-1
43494.570779,212860928,240123904,-1,-1
43494.570825,19922944,240123904,-1,-1
43494.570871,52428800,240123904,-1,-1
43494.570917,87031808,240123904,-1,-1
43494.570964,120586240,240123904,-1,-1
43494.571010,154140672,240123904,-1,-1
43494.571056,186646528,240123904,-1,-1
43494.571103,221249536,240123904,-1,-1
43494.571149,28311552,240123904,-1,-1
43494.571195,61865984,240123904,-1,-1
43494.571242,95420416,240123904,-1,-1
43494.571288,130023424,240123904,-1,-1
43494.571334,162529280,240123904,-1,-1
43494.571380,196083712,240123904,-1,-1
43494.571427,3145728,240123904,-1,-1
43494.571473,36700160,240123904,-1,-1
43494.571519,71303168,240123904,-1,-1
43494.571566,103809024,240123904,-1,-1
43494.571612,138412032,240123904,-1,-1
43494.571658,171966464,240123904,-1,-1
43494.571705,205520896,240123904,-1,-1
43494.571751,12582912,240123904,-1,-1
43494.571797,45088768,240123904,-1,-1
43494.571843,79691776,240123904,-1,-1
43494.571890,114294784,240123904,-1,-1
43494.571936,147849216,240123904,-1,-1
43494.571982,181403648,240123904,-1,-1
43494.572029,214958080,240123904,-1,-1
43494.572075,22020096,240123904,-1,-1
43494.572121,55574528,240123904,-1,-1
43494.572168,89128960,240123904,-1,-1
43494.572214,122683392,240123904,-1,-1
43494.572260,156237824,240123904,-1,-1
43494.572306,189792256,240123904,-1,-1
43494.572353,223346688,240123904,-1,-1
43494.572399,30408704,240123904,-1,-1
43494.572445,63963136,240123904,-1,-1
43494.572492,97517568,240123904,-1,-1
43494.572538,131072000,240123904,-1,-1
43494.572584,164626432,240123904,-1,-1
43494.572631,198180864,240123904,-1,-1
43494.572677,4194304,240123904,-1,-1
43494.572723,39845888,240123904,-1,-1
43494.572769,71303168,240123904,-1,-1
43494.572816,104857600,240123904,-1,-1
43494.572862,139460608,240123904,-1,-1
43494.572908,173015040,240123904,-1,-1
43494.572955,206569472,240123904,-1,-1
43494.573001,13631488,240123904,-1,-1
43494.573047,47185920,240123904,-1,-1
43494.573094,80740352,240123904,-1,-1
43494.573140,114294784,240123904,-1,-1
43494.573186,147849216,240123904,-1,-1
43494.573232,180355072,240123904,-1,-1
43494.573279,214958080,240123904,-1,-1
43494.573325,22020096,240123904,-1,-1
43494.573371,55574528,240123904,-1,-1
43494.573418,89128960,240123904,-1,-1
43494.573464,122683392,240123904,-1,-1
43494.573510,156237824,240123904,-1,-1
43494.573557,189792256,240123904,-1,-1
43494.573603,222298112,240123904,-1,-1
43494.573649,30408704,240123904,-1,-1
43494.573695,62914560,240123904,-1,-1
43494.573742,97517568,240123904,-1,-1
43494.573788,130023424,240123904,-1,-1
43494.573834,164626432,240123904,-1,-1
43494.573881,197132288,240123904,-1,-1
43494.573927,3145728,240123904,-1,-1
43494.573973,37748736,240123904,-1,-1
43494.574020,71303168,240123904,-1,-1
43494.574066,104857600,240123904,-1,-1
43494.574112,138412032,240123904,-1,-1
43494.574158,171966464,240123904,-1,-1
43494.574205,205520896,240123904,-1,-1
43494.574251,13631488,240123904,-1,-1
43494.574297,46137344,240123904,-1,-1
43494.574344,79691776,240123904,-1,-1
43494.574390,113246208,240123904,-1,-1
43494.574436,146800640,240123904,-1,-1
43494.574483,181403648,240123904,-1,-1
43494.574529,213909504,240123904,-1,-1
43494.574575,20971520,240123904,-1,-1
43494.574621,54525952,240123904,-1,-1
43494.574668,89128960,240123904,-1,-1
43494.574714,121634816,240123904,-1,-1
43494.574760,156237824,240123904,-1,-1
43494.574807,188743680,240123904,-1,-1
43494.574853,222298112,240123904,-1,-1
43494.574899,29360128,240123904,-1,-1
43494.574945,62914560,240123904,-1,-1
43494.574992,96468992,240123904,-1,-1
43494.575038,131072000,240123904,-1,-1
43494.575084,163577856,240123904,-1,-1
43494.575131,198180864,240123904,-1,-1
43494.575177,4194304,240123904,-1,-1
43494.575223,37748736,240123904,-1,-1
43494.575270,71303168,240123904,-1,-1
43494.575316,104857600,240123904,-1,-1
43494.575362,138412032,240123904,-1,-1
43494.575408,171966464,240123904,-1,-1
43494.575455,205520896,240123904,-1,-1
43494.575501,13631488,240123904,-1,-1
43494.575547,46137344,240123904,-1,-1
43494.575594,79691776,240123904,-1,-1
43494.575640,113246208,240123904,-1,-1
43494.575686,147849216,240123904,-1,-1
43494.575733,181403648,240123904,-1,-1
43494.575779,213909504,240123904,-1,-1
43494.575825,20971520,240123904,-1,-1
43494.575871,55574528,240123904,-1,-1
43494.575918,88080384,240123904,-1,-1
43494.575964,121634816,240123904,-1,-1
43494.576010,156237824,240123904,-1,-1
43494.576057,189792256,240123904,-1,-1
43494.576103,223346688,240123904,-1,-1
43494.576149,29360128,240123904,-1,-1
43494.576196,62914560,240123904,-1,-1
43494.576242,96468992,240123904,-1,-1
43494.576288,130023424,240123904,-1,-1
43494.576334,163577856,240123904,-1,-1
43494.576381,197132288,240123904,-1,-1
43494.576427,4194304,240123904,-1,-1
43494.576473,37748736,240123904,-1,-1
43494.576520,71303168,240123904,-1,-1
43494.576566,104857600,240123904,-1,-1
43494.576612,137363456,240123904,-1,-1
43494.576659,171966464,240123904,-1,-1
43494.576705,205520896,240123904,-1,-1
43494.576751,12582912,240123904,-1,-1
43494.576797,46137344,240123904,-1,-1
43494.576844,79691776,240123904,-1,-1
43494.576890,113246208,240123904,-1,-1
43494.576936,146800640,240123904,-1,-1
43494.576983,180355072,240123904,-1,-1
43494.577029,212860928,240123904,-1,-1
43494.577075,20971520,240123904,-1,-1
43494.577122,54525952,240123904,-1,-1
43494.577168,88080384,240123904,-1,-1
43494.577214,121634816,240123904,-1,-1
43494.577260,155189248,240123904,-1,-1
43494.577307,187695104,240123904,-1,-1
43494.577353,221249536,240123904,-1,-1
43494.577399,29360128,240123904,-1,-1
43494.577446,62914560,240123904,-1,-1
43494.577492,96468992,240123904,-1,-1
43494.577538,128974848,240123904,-1,-1
43494.577585,163577856,240123904,-1,-1
43494.577631,196083712,240123904,-1,-1
43494.577677,3145728,240123904,-1,-1
43494.577723,36700160,240123904,-1,-1
43494.577770,70254592,240123904,-1,-1
43494.577816,103809024,240123904,-1,-1
43494.577862,137363456,240123904,-1,-1
43494.577909,171966464,240123904,-1,-1
43494.577955,203423744,240123904,-1,-1
43494.578001,12582912,240123904,-1,-1
43494.578048,45088768,240123904,-1,-1
43494.578094,78643200,240123904,-1,-1
43494.578140,112197632,240123904,-1,-1
43494.578186,145752064,240123904,-1,-1
43494.578233,170917888,240123904,-1,-1
43494.578279,193986560,240123904,-1,-1
43494.578325,214958080,240123904,-1,-1
43494.578372,10485760,240123904,-1,-1
43494.578418,32505856,240123904,-1,-1
43494.578464,55574528,240123904,-1,-1
43494.578510,76546048,240123904,-1,-1
43494.578557,98566144,240123904,-1,-1
43494.578603,120586240,240123904,-1,-1
43494.578649,142606336,240123904,-1,-1
43494.578696,164626432,240123904,-1,-1
43494.578742,186646528,240123904,-1,-1
43494.578788,207618048,240123904,-1,-1
43494.578835,3145728,240123904,-1,-1
43494.578881,25165824,240123904,-1,-1
43494.578927,47185920,240123904,-1,-1
43494.578973,69206016,240123904,-1,-1
