Time,Used,Committed,Max,Threshold
43494.565596,4194304,4194304,-1,-1
43494.565639,4194304,4194304,-1,-1
43494.565686,4194304,4194304,-1,-1
43494.565732,4194304,4194304,-1,-1
43494.565778,4194304,4194304,-1,-1
43494.565825,4194304,4194304,-1,-1
43494.565871,22020096,22020096,-1,-1
43494.565917,22020096,22020096,-1,-1
43494.565964,22020096,22020096,-1,-1
43494.566010,22020096,22020096,-1,-1
43494.566056,22020096,22020096,-1,-1
43494.566102,22020096,22020096,-1,-1
43494.566149,2097152,2097152,-1,-1
43494.566195,2097152,2097152,-1,-1
43494.566241,2097152,2097152,-1,-1
43494.566288,2097152,2097152,-1,-1
43494.566334,2097152,2097152,-1,-1
43494.566380,2097152,2097152,-1,-1
43494.566427,2097152,2097152,-1,-1
43494.566473,1048576,1048576,-1,-1
43494.566519,1048576,1048576,-1,-1
43494.566565,1048576,1048576,-1,-1
43494.566612,1048576,1048576,-1,-1
43494.566658,1048576,1048576,-1,-1
43494.566704,1048576,1048576,-1,-1
43494.566751,1048576,1048576,-1,-1
43494.566797,1048576,1048576,-1,-1
43494.566843,1048576,1048576,-1,-1
43494.566890,1048576,1048576,-1,-1
43494.566936,1048576,1048576,-1,-1
43494.566982,1048576,1048576,-1,-1
43494.567028,1048576,1048576,-1,-1
43494.567075,1048576,1048576,-1,-1
43494.567121,1048576,1048576,-1,-1
43494.567167,1048576,1048576,-1,-1
43494.567214,1048576,1048576,-1,-1
43494.567260,1048576,1048576,-1,-1
43494.567306,1048576,1048576,-1,-1
43494.567353,1048576,1048576,-1,-1
43494.567399,1048576,1048576,-1,-1
43494.567445,1048576,1048576,-1,-1
43494.567491,1048576,1048576,-1,-1
43494.567538,1048576,1048576,-1,-1
43494.567584,1048576,1048576,-1,-1
43494.567630,1048576,1048576,-1,-1
43494.567677,1048576,1048576,-1,-1
43494.567723,1048576,1048576,-1,-1
43494.567769,1048576,1048576,-1,-1
43494.567815,1048576,1048576,-1,-1
43494.567862,1048576,1048576,-1,-1
43494.567908,1048576,1048576,-1,-1
43494.567954,1048576,1048576,-1,-1
43494.568001,1048576,1048576,-1,-1
43494.568047,1048576,1048576,-1,-1
43494.568093,1048576,1048576,-1,-1
43494.568140,1048576,1048576,-1,-1
43494.568186,1048576,1048576,-1,-1
43494.568232,1048576,1048576,-1,-1
43494.568278,1048576,1048576,-1,-1
43494.568325,1048576,1048576,-1,-1
43494.568371,1048576,1048576,-1,-1
43494.568417,1048576,1048576,-1,-1
43494.568464,1048576,1048576,-1,-1
43494.568510,1048576,1048576,-1,-1
43494.568556,1048576,1048576,-1,-1
43494.568603,1048576,1048576,-1,-1
43494.568649,1048576,1048576,-1,-1
43494.568695,1048576,1048576,-1,-1
43494.568741,1048576,1048576,-1,-1
43494.568788,1048576,1048576,-1,-1
43494.568834,1048576,1048576,-1,-1
43494.568880,1048576,1048576,-1,-1
43494.568927,1048576,1048576,-1,-1
43494.568973,1048576,1048576,-1,-1
43494.569019,1048576,1048576,-1,-1
43494.569066,1048576,1048576,-1,-1
43494.569112,1048576,1048576,-1,-1
43494.569158,1048576,1048576,-1,-1
43494.569204,1048576,1048576,-1,-1
43494.569251,1048576,1048576,-1,-1
43494.569297,1048576,1048576,-1,-1
43494.569343,1048576,1048576,-1,-1
43494.569390,1048576,1048576,-1,-1
43494.569436,1048576,1048576,-1,-1
43494.569482,1048576,1048576,-1,-1
43494.569528,1048576,1048576,-1,-1
43494.569575,1048576,1048576,-1,-1
43494.569621,1048576,1048576,-1,-1
43494.569667,1048576,1048576,-1,-1
43494.569714,1048576,1048576,-1,-1
43494.569760,1048576,1048576,-1,-1
43494.569806,1048576,1048576,-1,-1
43494.569853,1048576,1048576,-1,-1
43494.569899,1048576,1048576,-1,-1
43494.569945,1048576,1048576,-1,-1
43494.569992,1048576,1048576,-1,-1
43494.570038,1048576,1048576,-1,-1
43494.570084,1048576,1048576,-1,-1
43494.570130,1048576,1048576,-1,-1
43494.570177,1048576,1048576,-1,-1
43494.570223,1048576,1048576,-1,-1
43494.570269,1048576,1048576,-1,-1
43494.570316,1048576,1048576,-1,-1
43494.570362,1048576,1048576,-1,-1
43494.570408,1048576,1048576,-1,-1
43494.570455,1048576,1048576,-1,-1
43494.570501,1048576,1048576,-1,-1
43494.570547,1048576,1048576,-1,-1
43494.570593,1048576,1048576,-1,-1
43494.570640,1048576,1048576,-1,-1
43494.570686,1048576,1048576,-1,-1
43494.570732,1048576,1048576,-1,-1
43494.570779,1048576,1048576,-1,-1
43494.570825,1048576,1048576,-1,-1
43494.570871,1048576,1048576,-1,-1
43494.570917,1048576,1048576,-1,-1
43494.570964,1048576,1048576,-1,-1
43494.571010,1048576,1048576,-1,-1
43494.571056,1048576,1048576,-1,-1
43494.571103,1048576,1048576,-1,-1
43494.571149,1048576,1048576,-1,-1
43494.571195,1048576,1048576,-1,-1
43494.571242,1048576,1048576,-1,-1
43494.571288,1048576,1048576,-1,-1
43494.571334,1048576,1048576,-1,-1
43494.571380,1048576,1048576,-1,-1
43494.571427,1048576,1048576,-1,-1
43494.571473,1048576,1048576,-1,-1
43494.571519,1048576,1048576,-1,-1
43494.571566,1048576,1048576,-1,-1
43494.571612,1048576,1048576,-1,-1
43494.571658,1048576,1048576,-1,-1
43494.571705,1048576,1048576,-1,-1
43494.571751,1048576,1048576,-1,-1
43494.571797,1048576,1048576,-1,-1
43494.571843,1048576,1048576,-1,-1
43494.571890,1048576,1048576,-1,-1
43494.571936,1048576,1048576,-1,-1
43494.571982,1048576,1048576,-1,-1
43494.572029,1048576,1048576,-1,-1
43494.572075,1048576,1048576,-1,-1
43494.572121,1048576,1048576,-1,-1
43494.572168,1048576,1048576,-1,-1
43494.572214,1048576,1048576,-1,-1
43494.572260,1048576,1048576,-1,-1
43494.572306,1048576,1048576,-1,-1
43494.572353,1048576,1048576,-1,-1
43494.572399,1048576,1048576,-1,-1
