Time,Used,Committed,Max
43494.565596,98127720,106835968,-1
43494.565639,99522848,108408832,-1
43494.565686,100266096,109260800,-1
43494.565732,100865296,110047232,-1
43494.565778,101447848,110505984,-1
43494.565825,116940208,127152128,-1
43494.565871,119801824,129773568,-1
43494.565917,121715768,131805184,-1
43494.565964,122400608,132460544,-1
43494.566010,122866128,132919296,-1
43494.566056,123384008,133640192,-1
43494.566102,124131512,134295552,-1
43494.566149,124781720,134950912,-1
43494.566195,125178296,135278592,-1
43494.566241,125312960,135409664,-1
43494.566288,125715776,136065024,-1
43494.566334,125825696,136065024,-1
43494.566380,125843632,136130560,-1
43494.566427,126044856,136261632,-1
43494.566473,124396408,136392704,-1
43494.566519,124512600,136392704,-1
43494.566565,124710416,136458240,-1
43494.566612,124799864,136458240,-1
43494.566658,124915816,136458240,-1
43494.566704,124978304,136523776,-1
43494.566751,125064560,136523776,-1
43494.566797,125141728,136589312,-1
43494.566843,125303984,136654848,-1
43494.566890,125425400,136720384,-1
43494.566936,125454456,136720384,-1
43494.566982,125505616,136720384,-1
43494.567028,125546776,136720384,-1
43494.567075,125562192,136720384,-1
43494.567121,125594552,136720384,-1
43494.567167,125632792,136785920,-1
43494.567214,125665200,136785920,-1
43494.567260,125710128,136785920,-1
43494.567306,125720544,136785920,-1
43494.567353,125772680,136785920,-1
43494.567399,125793800,136785920,-1
43494.567445,125841456,136785920,-1
43494.567491,125850696,136785920,-1
43494.567538,125877296,136851456,-1
43494.567584,126042032,136851456,-1
43494.567630,126053680,136851456,-1
43494.567677,126076456,136851456,-1
43494.567723,126084728,136851456,-1
43494.567769,126101920,136851456,-1
43494.567815,126111216,136851456,-1
43494.567862,126124528,136851456,-1
43494.567908,126131680,136851456,-1
43494.567954,126153696,137113600,-1
43494.568001,126173504,137113600,-1
43494.568047,126195200,137113600,-1
43494.568093,126215296,137113600,-1
43494.568140,126283168,137179136,-1
43494.568186,126308320,137179136,-1
43494.568232,126333984,137179136,-1
43494.568278,126354528,137179136,-1
43494.568325,126463784,137244672,-1
43494.568371,126476536,137244672,-1
43494.568417,126488632,137244672,-1
43494.568464,126495224,137244672,-1
43494.568510,126505496,137310208,-1
43494.568556,126508168,137310208,-1
43494.568603,126537096,137310208,-1
43494.568649,126554216,137310208,-1
43494.568695,126563328,137310208,-1
43494.568741,126572672,137310208,-1
43494.568788,126577152,137310208,-1
43494.568834,126582400,137310208,-1
43494.568880,126583168,137310208,-1
43494.568927,126605952,137310208,-1
43494.568973,126605952,137310208,-1
43494.569019,126614704,137310208,-1
43494.569066,126674496,137310208,-1
43494.569112,126685488,137310208,-1
43494.569158,126716904,137375744,-1
43494.569204,126733656,137375744,-1
43494.569251,126748888,137375744,-1
43494.569297,126749656,137375744,-1
43494.569343,126755800,137375744,-1
43494.569390,126778328,137375744,-1
43494.569436,126811352,137441280,-1
43494.569482,126830632,137441280,-1
43494.569528,126884416,137506816,-1
43494.569575,126910992,137506816,-1
43494.569621,126933904,137506816,-1
43494.569667,126952296,137506816,-1
43494.569714,126981648,137506816,-1
43494.569760,126987904,137506816,-1
43494.569806,127034168,137506816,-1
43494.569853,127056336,137506816,-1
43494.569899,127107216,137506816,-1
43494.569945,127107216,137506816,-1
43494.569992,127117968,137506816,-1
43494.570038,127127056,137506816,-1
43494.570084,127139368,137572352,-1
43494.570130,127140776,137572352,-1
43494.570177,127147696,137572352,-1
43494.570223,127147696,137572352,-1
43494.570269,127155376,137572352,-1
43494.570316,127157680,137572352,-1
43494.570362,127162224,137572352,-1
43494.570408,127162224,137572352,-1
43494.570455,127162224,137572352,-1
43494.570501,127191216,137572352,-1
43494.570547,127206792,137572352,-1
43494.570593,127239432,137572352,-1
43494.570640,127239432,137572352,-1
43494.570686,127239432,137572352,-1
43494.570732,127241736,137572352,-1
43494.570779,127242504,137572352,-1
43494.570825,127253512,137637888,-1
43494.570871,127259016,137637888,-1
43494.570917,127260400,137637888,-1
43494.570964,127261168,137637888,-1
43494.571010,127264240,137637888,-1
43494.571056,127390288,137768960,-1
43494.571103,127412816,137768960,-1
