Time,Used
43494.565596,145227776
43494.565639,149422080
43494.565686,150470656
43494.565732,151519232
43494.565778,152567808
43494.565825,223870976
43494.565871,51380224
43494.565917,88080384
43494.565964,122683392
43494.566010,158334976
43494.566056,192937984
43494.566102,227540992
43494.566149,49368064
43494.566195,83971072
43494.566241,117525504
43494.566288,152128512
43494.566334,185682944
43494.566380,219237376
43494.566427,253840384
43494.566473,62822656
43494.566519,96377088
43494.566565,129931520
43494.566612,163485952
43494.566658,197040384
43494.566704,230594816
43494.566751,40397640
43494.566797,75000648
43494.566843,107506504
43494.566890,141060936
43494.566936,175663944
43494.566982,209218376
43494.567028,241724232
43494.567075,50864000
43494.567121,84418432
43494.567167,116924288
43494.567214,151527296
43494.567260,184033152
43494.567306,217587584
43494.567353,251142016
43494.567399,59212320
43494.567445,91718176
43494.567491,126321184
43494.567538,159875616
43494.567584,193430048
43494.567630,225935904
43494.567677,35104416
43494.567723,67610272
43494.567769,101164704
43494.567815,135767712
43494.567862,168273568
43494.567908,201828000
43494.567954,235382432
43494.568001,43522072
43494.568047,76027928
43494.568093,110630936
43494.568140,144185368
43494.568186,177739800
43494.568232,211294232
43494.568278,243800088
43494.568325,51928776
43494.568371,84434632
43494.568417,119037640
43494.568464,152592072
43494.568510,186146504
43494.568556,219700936
43494.568603,252206792
43494.568649,60331432
43494.568695,92837288
43494.568741,127440296
43494.568788,160994728
43494.568834,194549160
43494.568880,228103592
43494.568927,35167936
43494.568973,68722368
43494.569019,102276800
43494.569066,135831232
43494.569112,169385664
43494.569158,202940096
43494.569204,236494528
43494.569251,43568624
43494.569297,77123056
43494.569343,110677488
43494.569390,143183344
43494.569436,177786352
43494.569482,210292208
43494.569528,244895216
43494.569575,51997248
43494.569621,85551680
43494.569667,119106112
43494.569714,152660544
43494.569760,186214976
43494.569806,219769408
43494.569853,253323840
43494.569899,60383008
43494.569945,93937440
43494.569992,127491872
43494.570038,161046304
43494.570084,194600736
43494.570130,228155168
43494.570177,35231168
43494.570223,68785600
43494.570269,103388608
43494.570316,135894464
43494.570362,169448896
43494.570408,203003328
43494.570455,236557760
43494.570501,43632104
43494.570547,77186536
43494.570593,110740968
43494.570640,144295400
43494.570686,177849832
43494.570732,211404264
43494.570779,244958696
43494.570825,51998128
43494.570871,84503984
43494.570917,119106992
43494.570964,152661424
43494.571010,186215856
43494.571056,218721712
43494.571103,253324720
43494.571149,60446968
43494.571195,94001400
43494.571242,127555832
43494.571288,162158840
43494.571334,194664696
43494.571380,228219128
43494.571427,35287808
43494.571473,68842240
43494.571519,103445248
43494.571566,135951104
43494.571612,170554112
43494.571658,204108544
43494.571705,236614400
43494.571751,44745472
43494.571797,77251328
43494.571843,111854336
43494.571890,146457344
43494.571936,180011776
43494.571982,213566208
43494.572029,247120640
43494.572075,54208624
43494.572121,87763056
43494.572168,121317488
43494.572214,154871920
43494.572260,188426352
43494.572306,221980784
43494.572353,255535216
43494.572399,62601408
43494.572445,96155840
43494.572492,129710272
43494.572538,163264704
43494.572584,196819136
43494.572631,230373568
43494.572677,36400912
43494.572723,71003920
43494.572769,103509776
43494.572816,137064208
43494.572862,171667216
43494.572908,205221648
43494.572955,238776080
43494.573001,45854992
43494.573047,79409424
43494.573094,112963856
43494.573140,146518288
43494.573186,180072720
43494.573232,212578576
43494.573279,247181584
43494.573325,54259376
43494.573371,87813808
43494.573418,121368240
43494.573464,154922672
43494.573510,188477104
43494.573557,220982960
43494.573603,254537392
43494.573649,62663296
43494.573695,95169152
43494.573742,128723584
43494.573788,162278016
43494.573834,196881024
43494.573881,229386880
43494.573927,35419264
43494.573973,70022272
43494.574020,103576704
43494.574066,137131136
43494.574112,170685568
43494.574158,204240000
43494.574205,237794432
43494.574251,45938568
43494.574297,78444424
43494.574344,111998856
43494.574390,145553288
43494.574436,179107720
43494.574483,213710728
43494.574529,246216584
43494.574575,53272056
43494.574621,86826488
43494.574668,121429496
43494.574714,153935352
43494.574760,187489784
43494.574807,221044216
43494.574853,254598648
43494.574899,61691840
43494.574945,95246272
43494.574992,128800704
43494.575038,162355136
43494.575084,195909568
43494.575131,230512576
43494.575177,36548232
43494.575223,70102664
43494.575270,103657096
43494.575316,137211528
43494.575362,170765960
43494.575408,204320392
43494.575455,237874824
43494.575501,45975656
43494.575547,78481512
43494.575594,112035944
43494.575640,145590376
43494.575686,180193384
43494.575733,212699240
43494.575779,246253672
43494.575825,53342848
43494.575871,87945856
43494.575918,120451712
43494.575964,154006144
43494.576010,187560576
43494.576057,222163584
43494.576103,255718016
43494.576149,61748528
43494.576196,95302960
43494.576242,128857392
43494.576288,162411824
43494.576334,195966256
43494.576381,229520688
43494.576427,36596736
43494.576473,70151168
43494.576520,103705600
