Time,Used,Committed,Max,Threshold
43494.741664,117440512,220200960,-1,-1
43494.741709,121634816,220200960,-1,-1
43494.741755,122683392,220200960,-1,-1
43494.741802,122683392,220200960,-1,-1
43494.741848,123731968,220200960,-1,-1
43494.741894,197132288,220200960,-1,-1
43494.741941,23068672,212860928,-1,-1
43494.741987,46137344,212860928,-1,-1
43494.742033,69206016,212860928,-1,-1
43494.742080,91226112,212860928,-1,-1
43494.742126,114294784,212860928,-1,-1
43494.742172,138412032,212860928,-1,-1
43494.742218,163577856,212860928,-1,-1
43494.742265,187695104,212860928,-1,-1
43494.742311,16777216,239075328,-1,-1
43494.742357,39845888,239075328,-1,-1
43494.742404,62914560,239075328,-1,-1
43494.742450,87031808,239075328,-1,-1
43494.742496,110100480,239075328,-1,-1
43494.742543,133169152,239075328,-1,-1
43494.742589,157286400,239075328,-1,-1
43494.742635,178257920,239075328,-1,-1
43494.742681,202375168,239075328,-1,-1
43494.742728,226492416,239075328,-1,-1
43494.742774,26214400,240123904,-1,-1
43494.742820,49283072,240123904,-1,-1
43494.742867,72351744,240123904,-1,-1
43494.742913,95420416,240123904,-1,-1
43494.742959,118489088,240123904,-1,-1
43494.743005,141557760,240123904,-1,-1
43494.743052,165675008,240123904,-1,-1
43494.743098,187695104,240123904,-1,-1
43494.743144,210763776,240123904,-1,-1
43494.743191,9437184,240123904,-1,-1
43494.743237,33554432,240123904,-1,-1
43494.743283,55574528,240123904,-1,-1
43494.743330,78643200,240123904,-1,-1
43494.743376,102760448,240123904,-1,-1
43494.743422,125829120,240123904,-1,-1
43494.743469,147849216,240123904,-1,-1
43494.743515,170917888,240123904,-1,-1
43494.743561,195035136,240123904,-1,-1
43494.743607,218103808,240123904,-1,-1
43494.743654,15728640,240123904,-1,-1
43494.743700,37748736,240123904,-1,-1
43494.743746,61865984,240123904,-1,-1
43494.743793,84934656,240123904,-1,-1
43494.743839,108003328,240123904,-1,-1
43494.743885,131072000,240123904,-1,-1
43494.743931,153092096,240123904,-1,-1
43494.743978,177209344,240123904,-1,-1
43494.744024,199229440,240123904,-1,-1
43494.744070,223346688,240123904,-1,-1
43494.744117,20971520,240123904,-1,-1
43494.744163,44040192,240123904,-1,-1
43494.744209,67108864,240123904,-1,-1
43494.744256,90177536,240123904,-1,-1
43494.744302,113246208,240123904,-1,-1
43494.744348,137363456,240123904,-1,-1
43494.744394,160432128,240123904,-1,-1
43494.744441,183500800,240123904,-1,-1
43494.744487,206569472,240123904,-1,-1
43494.744533,3145728,240123904,-1,-1
43494.744580,26214400,240123904,-1,-1
43494.744626,50331648,240123904,-1,-1
43494.744672,72351744,240123904,-1,-1
43494.744719,95420416,240123904,-1,-1
43494.744765,118489088,240123904,-1,-1
43494.744811,141557760,240123904,-1,-1
43494.744857,164626432,240123904,-1,-1
43494.744904,186646528,240123904,-1,-1
43494.744950,210763776,240123904,-1,-1
43494.744996,8388608,240123904,-1,-1
43494.745043,30408704,240123904,-1,-1
43494.745089,53477376,240123904,-1,-1
43494.745135,76546048,240123904,-1,-1
