Time,Used,Committed,Max,Threshold
43494.741664,20971520,20971520,-1,-1
43494.741709,20971520,20971520,-1,-1
43494.741755,20971520,20971520,-1,-1
43494.741802,20971520,20971520,-1,-1
43494.741848,20971520,20971520,-1,-1
43494.741894,20971520,20971520,-1,-1
43494.741941,22020096,22020096,-1,-1
43494.741987,22020096,22020096,-1,-1
43494.742033,22020096,22020096,-1,-1
43494.742080,22020096,22020096,-1,-1
43494.742126,22020096,22020096,-1,-1
43494.742172,22020096,22020096,-1,-1
43494.742218,22020096,22020096,-1,-1
43494.742265,22020096,22020096,-1,-1
43494.742311,2097152,2097152,-1,-1
43494.742357,2097152,2097152,-1,-1
43494.742404,2097152,2097152,-1,-1
43494.742450,2097152,2097152,-1,-1
43494.742496,2097152,2097152,-1,-1
43494.742543,2097152,2097152,-1,-1
43494.742589,2097152,2097152,-1,-1
43494.742635,2097152,2097152,-1,-1
43494.742681,2097152,2097152,-1,-1
43494.742728,2097152,2097152,-1,-1
43494.742774,1048576,1048576,-1,-1
43494.742820,1048576,1048576,-1,-1
43494.742867,1048576,1048576,-1,-1
43494.742913,1048576,1048576,-1,-1
43494.742959,1048576,1048576,-1,-1
43494.743005,1048576,1048576,-1,-1
43494.743052,1048576,1048576,-1,-1
43494.743098,1048576,1048576,-1,-1
43494.743144,1048576,1048576,-1,-1
43494.743191,1048576,1048576,-1,-1
43494.743237,1048576,1048576,-1,-1
43494.743283,1048576,1048576,-1,-1
43494.743330,1048576,1048576,-1,-1
43494.743376,1048576,1048576,-1,-1
43494.743422,1048576,1048576,-1,-1
43494.743469,1048576,1048576,-1,-1
43494.743515,1048576,1048576,-1,-1
43494.743561,1048576,1048576,-1,-1
43494.743607,1048576,1048576,-1,-1
43494.743654,1048576,1048576,-1,-1
43494.743700,1048576,1048576,-1,-1
43494.743746,1048576,1048576,-1,-1
43494.743793,1048576,1048576,-1,-1
43494.743839,1048576,1048576,-1,-1
43494.743885,1048576,1048576,-1,-1
43494.743931,1048576,1048576,-1,-1
43494.743978,1048576,1048576,-1,-1
43494.744024,1048576,1048576,-1,-1
43494.744070,1048576,1048576,-1,-1
43494.744117,1048576,1048576,-1,-1
43494.744163,1048576,1048576,-1,-1
43494.744209,1048576,1048576,-1,-1
43494.744256,1048576,1048576,-1,-1
43494.744302,1048576,1048576,-1,-1
43494.744348,1048576,1048576,-1,-1
43494.744394,1048576,1048576,-1,-1
43494.744441,1048576,1048576,-1,-1
43494.744487,1048576,1048576,-1,-1
43494.744533,1048576,1048576,-1,-1
43494.744580,1048576,1048576,-1,-1
43494.744626,1048576,1048576,-1,-1
43494.744672,1048576,1048576,-1,-1
43494.744719,1048576,1048576,-1,-1
43494.744765,1048576,1048576,-1,-1
43494.744811,1048576,1048576,-1,-1
43494.744857,1048576,1048576,-1,-1
43494.744904,1048576,1048576,-1,-1
43494.744950,1048576,1048576,-1,-1
43494.744996,1048576,1048576,-1,-1
43494.745043,1048576,1048576,-1,-1
43494.745089,1048576,1048576,-1,-1
43494.745135,1048576,1048576,-1,-1
43494.745182,1048576,1048576,-1,-1
43494.745228,1048576,1048576,-1,-1
43494.745274,1048576,1048576,-1,-1
43494.745320,1048576,1048576,-1,-1
43494.745367,1048576,1048576,-1,-1
43494.745413,1048576,1048576,-1,-1
43494.745459,1048576,1048576,-1,-1
43494.745506,1048576,1048576,-1,-1
43494.745552,1048576,1048576,-1,-1
43494.745598,1048576,1048576,-1,-1
43494.745645,1048576,1048576,-1,-1
43494.745691,1048576,1048576,-1,-1
43494.745737,1048576,1048576,-1,-1
43494.745783,1048576,1048576,-1,-1
43494.745830,1048576,1048576,-1,-1
43494.745876,1048576,1048576,-1,-1
43494.745922,1048576,1048576,-1,-1
43494.745969,1048576,1048576,-1,-1
43494.746015,1048576,1048576,-1,-1
43494.746061,1048576,1048576,-1,-1
43494.746107,1048576,1048576,-1,-1
43494.746154,1048576,1048576,-1,-1
43494.746200,1048576,1048576,-1,-1
43494.746246,1048576,1048576,-1,-1
43494.746293,1048576,1048576,-1,-1
43494.746339,1048576,1048576,-1,-1
43494.746385,1048576,1048576,-1,-1
43494.746432,1048576,1048576,-1,-1
43494.746478,1048576,1048576,-1,-1
43494.746524,1048576,1048576,-1,-1
43494.746570,1048576,1048576,-1,-1
43494.746617,1048576,1048576,-1,-1
43494.746663,1048576,1048576,-1,-1
43494.746709,1048576,1048576,-1,-1
43494.746756,1048576,1048576,-1,-1
43494.746802,1048576,1048576,-1,-1
43494.746848,1048576,1048576,-1,-1
43494.746895,1048576,1048576,-1,-1
43494.746941,1048576,1048576,-1,-1
43494.746987,1048576,1048576,-1,-1
43494.747033,1048576,1048576,-1,-1
43494.747080,1048576,1048576,-1,-1
43494.747126,1048576,1048576,-1,-1
43494.747172,1048576,1048576,-1,-1
43494.747219,1048576,1048576,-1,-1
43494.747265,1048576,1048576,-1,-1
43494.747311,1048576,1048576,-1,-1
43494.747358,1048576,1048576,-1,-1
43494.747404,1048576,1048576,-1,-1
43494.747450,1048576,1048576,-1,-1
43494.747496,1048576,1048576,-1,-1
43494.747543,1048576,1048576,-1,-1
43494.747589,1048576,1048576,-1,-1
43494.747635,1048576,1048576,-1,-1
43494.747682,1048576,1048576,-1,-1
43494.747728,1048576,1048576,-1,-1
43494.747774,1048576,1048576,-1,-1
43494.747820,1048576,1048576,-1,-1
43494.747867,1048576,1048576,-1,-1
43494.747913,1048576,1048576,-1,-1
43494.747959,1048576,1048576,-1,-1
43494.748006,1048576,1048576,-1,-1
43494.748052,1048576,1048576,-1,-1
43494.748098,1048576,1048576,-1,-1
43494.748145,1048576,1048576,-1,-1
43494.748191,1048576,1048576,-1,-1
43494.748237,1048576,1048576,-1,-1
43494.748283,1048576,1048576,-1,-1
43494.748330,1048576,1048576,-1,-1
43494.748376,1048576,1048576,-1,-1
43494.748422,1048576,1048576,-1,-1
43494.748469,1048576,1048576,-1,-1
43494.748515,1048576,1048576,-1,-1
43494.748561,1048576,1048576,-1,-1
43494.748608,1048576,1048576,-1,-1
43494.748654,1048576,1048576,-1,-1
43494.748700,1048576,1048576,-1,-1
43494.748746,1048576,1048576,-1,-1
43494.748793,1048576,1048576,-1,-1
43494.748839,1048576,1048576,-1,-1
43494.748885,1048576,1048576,-1,-1
43494.748932,1048576,1048576,-1,-1
43494.748978,1048576,1048576,-1,-1
43494.749024,1048576,1048576,-1,-1
43494.749071,1048576,1048576,-1,-1
43494.749117,1048576,1048576,-1,-1
43494.749163,1048576,1048576,-1,-1
