Time,Used,Committed,Max
43494.741664,96676328,105529344,-1
43494.741709,98246496,107298816,-1
43494.741755,98893712,107823104,-1
43494.741802,99352248,108412928,-1
43494.741848,100057352,108937216,-1
43494.741894,117216384,127352832,-1
43494.741941,119485664,129384448,-1
43494.741987,120152448,130105344,-1
43494.742033,120712232,130826240,-1
43494.742080,120999200,131284992,-1
43494.742126,121306424,131612672,-1
43494.742172,121788256,132005888,-1
43494.742218,122444064,132923392,-1
43494.742265,123029592,133447680,-1
43494.742311,123382936,133709824,-1
43494.742357,123856096,134103040,-1
43494.742404,124378648,134561792,-1
43494.742450,124699904,135086080,-1
43494.742496,124913152,135282688,-1
43494.742543,125080168,135413760,-1
43494.742589,123265472,135544832,-1
43494.742635,123458640,135544832,-1
43494.742681,123608752,135544832,-1
43494.742728,123741224,135544832,-1
43494.742774,124003200,135544832,-1
43494.742820,124056448,135544832,-1
43494.742867,124179720,135544832,-1
43494.742913,124271600,135610368,-1
43494.742959,124379624,135610368,-1
43494.743005,124406600,135610368,-1
43494.743052,124512664,135610368,-1
43494.743098,124656384,135675904,-1
43494.743144,124699848,135675904,-1
43494.743191,124731480,135675904,-1
43494.743237,124821000,135938048,-1
43494.743283,124829576,135938048,-1
43494.743330,124835336,135938048,-1
43494.743376,124848392,135938048,-1
43494.743422,124904712,135938048,-1
43494.743469,124942440,135938048,-1
43494.743515,124993072,136003584,-1
43494.743561,125006664,136003584,-1
43494.743607,125031224,136003584,-1
43494.743654,125097304,136003584,-1
43494.743700,125135264,136003584,-1
43494.743746,125158024,136003584,-1
43494.743793,125402672,136134656,-1
43494.743839,125426480,136200192,-1
43494.743885,125444352,136200192,-1
43494.743931,125453200,136200192,-1
43494.743978,125503136,136265728,-1
43494.744024,125515296,136265728,-1
43494.744070,125515936,136265728,-1
43494.744117,125534096,136265728,-1
43494.744163,125564776,136265728,-1
43494.744209,125715488,136396800,-1
43494.744256,125776152,136396800,-1
43494.744302,125795296,136396800,-1
43494.744348,125866448,136462336,-1
43494.744394,125907920,136462336,-1
43494.744441,125907920,136462336,-1
43494.744487,125948440,136462336,-1
43494.744533,126088136,136593408,-1
43494.744580,126124360,136593408,-1
43494.744626,126143736,136593408,-1
43494.744672,126204520,136593408,-1
43494.744719,126206944,136593408,-1
43494.744765,126215200,136593408,-1
43494.744811,126221696,136658944,-1
43494.744857,126226176,136658944,-1
43494.744904,126235288,136658944,-1
43494.744950,126237720,136658944,-1
43494.744996,126258632,136658944,-1
43494.745043,126267848,136658944,-1
43494.745089,126313288,136724480,-1
43494.745135,126314568,136724480,-1
43494.745182,126332536,136724480,-1
43494.745228,126339064,136724480,-1
43494.745274,126390616,136724480,-1
43494.745320,126409800,136724480,-1
43494.745367,126458664,136724480,-1
43494.745413,126475288,136790016,-1
43494.745459,126516856,136855552,-1
43494.745506,126537464,136855552,-1
43494.745552,126569976,136921088,-1
43494.745598,126576632,136921088,-1
43494.745645,126594224,136921088,-1
43494.745691,126600568,136921088,-1
43494.745737,126613088,136921088,-1
43494.745783,126656024,136921088,-1
43494.745830,126670512,136921088,-1
43494.745876,126687776,136921088,-1
43494.745922,126695912,136921088,-1
43494.745969,126703192,136921088,-1
43494.746015,126773784,137248768,-1
43494.746061,126811768,137314304,-1
43494.746107,126869776,137379840,-1
43494.746154,126880656,137379840,-1
43494.746200,126892400,137379840,-1
43494.746246,126908016,137379840,-1
43494.746293,126924424,137445376,-1
43494.746339,126927632,137445376,-1
43494.746385,126930320,137445376,-1
43494.746432,126931728,137445376,-1
