Time,CPU Usage
43494.741709,9.5
43494.741756,2.1
43494.741802,1.8
43494.741848,2.0
43494.741894,26.0
43494.741941,20.1
43494.741987,12.4
43494.742033,12.9
43494.742080,10.7
43494.742126,12.8
43494.742172,10.8
43494.742219,17.1
43494.742265,11.6
43494.742311,8.0
43494.742357,9.9
43494.742404,13.9
43494.742450,5.7
43494.742496,6.9
43494.742543,7.3
43494.742589,4.9
43494.742635,4.9
43494.742682,5.1
43494.742728,4.7
43494.742774,5.5
43494.742820,4.9
43494.742867,8.5
43494.742913,4.9
43494.742959,4.5
43494.743006,4.5
43494.743052,4.6
43494.743098,5.4
43494.743144,4.5
43494.743191,4.6
43494.743237,4.9
43494.743283,4.4
43494.743330,4.4
43494.743376,4.3
43494.743422,5.2
43494.743469,4.4
43494.743515,5.8
43494.743561,4.4
43494.743608,4.6
43494.743654,4.6
43494.743700,4.5
43494.743746,4.9
43494.743793,5.7
43494.743839,4.3
43494.743885,4.3
43494.743932,4.3
43494.743978,5.1
43494.744024,4.2
43494.744070,4.3
43494.744117,4.4
43494.744163,4.6
43494.744209,6.9
43494.744256,5.8
43494.744302,4.4
43494.744348,5.4
43494.744395,4.4
43494.744441,4.3
43494.744487,4.7
43494.744533,4.6
43494.744580,4.4
43494.744626,4.3
43494.744672,5.5
43494.744719,4.3
43494.744765,4.3
43494.744811,4.3
43494.744858,4.4
43494.744904,4.1
43494.744950,4.3
43494.744996,4.8
43494.745043,4.5
43494.745089,6.0
43494.745135,4.4
43494.745182,4.3
43494.745228,4.3
43494.745274,4.0
43494.745321,5.6
43494.745367,4.9
43494.745413,4.7
43494.745460,4.8
43494.745506,4.4
43494.745552,4.9
43494.745598,4.3
43494.745645,4.3
43494.745691,4.2
43494.745737,4.3
43494.745784,4.3
43494.745830,4.4
43494.745876,4.2
43494.745922,4.4
43494.745969,4.3
43494.746015,4.3
43494.746061,4.6
43494.746108,4.8
43494.746154,4.4
43494.746200,4.4
43494.746246,4.7
43494.746293,4.4
43494.746339,4.3
43494.746385,4.4
43494.746432,4.2
43494.746478,4.1
43494.746524,4.3
43494.746571,4.1
43494.746617,4.3
43494.746663,4.1
43494.746709,4.4
43494.746756,4.2
43494.746802,4.3
43494.746848,4.3
43494.746895,4.4
43494.746941,4.2
43494.746987,4.3
43494.747034,4.1
43494.747080,4.3
43494.747126,4.2
43494.747172,4.2
43494.747219,4.2
43494.747265,4.2
43494.747311,4.2
43494.747358,4.2
43494.747404,4.2
43494.747450,4.2
43494.747496,4.2
43494.747543,4.0
43494.747589,3.9
43494.747635,4.2
43494.747682,4.2
43494.747728,4.3
43494.747774,4.2
43494.747821,4.3
43494.747867,4.4
43494.747913,4.2
43494.747959,4.3
43494.748006,4.2
43494.748052,4.3
43494.748098,4.7
43494.748145,4.1
43494.748191,4.6
43494.748237,5.1
43494.748284,4.8
43494.748330,4.2
43494.748376,5.3
43494.748422,4.2
43494.748469,4.4
43494.748515,4.2
43494.748561,4.6
43494.748608,4.2
43494.748654,4.3
43494.748700,4.1
43494.748747,4.2
43494.748793,5.4
43494.748839,4.1
43494.748885,4.3
43494.748932,4.2
43494.748978,4.3
43494.749024,4.2
43494.749071,4.1
43494.749117,4.5
43494.749163,4.2
43494.749210,4.3
43494.749256,4.3
43494.749302,4.2
43494.749348,4.1
43494.749395,4.3
43494.749441,4.2
43494.749487,4.3
43494.749534,4.3
43494.749580,4.3
43494.749626,4.5
43494.749672,4.3
43494.749719,4.4
43494.749765,4.1
43494.749811,4.3
43494.749858,4.2
43494.749904,4.3
43494.749950,4.6
43494.749997,4.3
43494.750043,6.7
43494.750089,4.3
43494.750135,4.3
43494.750182,4.9
43494.750228,4.6
43494.750274,4.2
43494.750321,4.3
43494.750367,4.4
43494.750413,4.2
43494.750460,4.3
43494.750506,4.2
43494.750552,4.2
43494.750598,4.1
43494.750645,4.2
43494.750691,4.1
43494.750737,4.1
43494.750784,4.3
43494.750830,4.2
43494.750876,4.1
43494.750923,4.6
43494.750969,4.1
43494.751015,4.3
43494.751061,4.2
43494.751108,4.2
43494.751154,4.2
43494.751200,4.3
43494.751247,4.2
43494.751293,4.4
43494.751339,4.2
43494.751385,4.3
43494.751432,4.5
43494.751478,4.1
43494.751524,4.2
43494.751571,4.3
43494.751617,4.3
43494.751663,5.4
43494.751710,4.2
43494.751756,4.4
43494.751802,4.2
43494.751848,4.2
43494.751895,4.3
43494.751941,4.1
43494.751987,4.2
43494.752034,4.3
43494.752080,4.2
43494.752126,4.2
43494.752173,4.2
43494.752219,4.2
43494.752265,4.2
43494.752311,4.2
43494.752358,4.1
43494.752404,4.3
43494.752450,4.5
43494.752497,4.1
43494.752543,4.6
43494.752589,4.1
43494.752636,4.1
43494.752682,4.2
43494.752728,4.2
43494.752774,4.1
43494.752821,4.4
43494.752867,4.2
43494.752913,4.2
43494.752960,4.1
43494.753006,4.2
43494.753052,4.1
43494.753099,4.2
43494.753145,4.2
43494.753191,4.2
43494.753237,4.1
43494.753284,4.6
43494.753330,4.2
43494.753376,4.2
43494.753423,4.2
43494.753469,4.1
43494.753515,4.2
43494.753562,4.0
43494.753608,4.1
43494.753654,4.3
43494.753700,4.1
43494.753747,4.4
43494.753793,4.2
43494.753839,4.2
43494.753886,4.2
43494.753932,4.2
43494.753978,4.3
43494.754025,4.1
43494.754071,4.2
43494.754117,4.3
43494.754163,4.2
43494.754210,4.2
43494.754256,4.1
43494.754302,4.2
43494.754349,4.3
43494.754395,4.2
43494.754441,4.2
43494.754487,4.2
43494.754534,4.2
43494.754580,4.2
43494.754626,4.2
43494.754673,4.2
43494.754719,4.2
43494.754765,4.2
43494.754812,4.1
43494.754858,4.2
43494.754904,4.2
43494.754950,4.1
43494.754997,4.2
43494.755043,4.7
43494.755089,4.2
43494.755136,4.2
43494.755182,4.1
43494.755228,4.1
43494.755274,4.2
43494.755321,4.1
43494.755367,4.3
43494.755413,4.1
43494.755460,4.2
43494.755506,4.3
43494.755552,4.2
43494.755599,4.1
43494.755645,4.3
43494.755691,4.2
43494.755738,4.3
43494.755784,4.2
43494.755830,4.2
43494.755876,4.1
43494.755923,4.3
43494.755969,4.7
43494.756015,4.8
43494.756062,4.3
43494.756108,4.3
43494.756154,4.1
43494.756201,4.3
43494.756247,4.7
43494.756293,4.2
43494.756339,4.3
43494.756386,4.3
43494.756432,4.1
43494.756478,4.2
43494.756525,4.1
43494.756571,4.2
43494.756617,4.2
43494.756664,4.2
43494.756710,4.2
43494.756756,4.2
43494.756802,4.2
43494.756849,4.3
43494.756895,4.2
43494.756941,4.1
43494.756988,4.1
43494.757034,4.2
43494.757080,4.1
43494.757127,4.4
43494.757173,4.1
43494.757219,4.2
43494.757265,4.2
43494.757312,4.1
43494.757358,4.1
43494.757404,4.1
43494.757451,4.1
43494.757497,4.4
43494.757543,4.2
43494.757590,4.1
43494.757636,4.2
43494.757682,4.3
43494.757728,4.1
43494.757775,4.2
43494.757821,4.1
43494.757867,4.3
43494.757914,4.1
43494.757960,4.2
43494.758006,4.1
43494.758052,4.1
43494.758099,4.2
43494.758145,4.1
43494.758191,4.7
43494.758238,4.1
43494.758284,4.1
43494.758330,4.2
43494.758377,4.2
43494.758423,4.4
43494.758469,4.2
43494.758515,4.3
43494.758562,4.2
43494.758608,4.2
