Time,CPU Usage
43473.253063,11.3
43473.253109,4.3
43473.253156,4.6
43473.253202,4.6
43473.253248,4.6
43473.253294,24.8
43473.253341,26.9
43473.253387,44.8
43473.253433,37.3
43473.253480,34.7
43473.253526,23.7
43473.253572,22.3
43473.253618,24.0
43473.253665,12.4
43473.253711,10.8
43473.253757,9.9
43473.253804,12.1
43473.253850,9.8
43473.253896,9.9
43473.253942,10.0
43473.253989,9.4
43473.254035,12.9
43473.254081,8.8
43473.254128,10.4
43473.254174,12.2
43473.254220,9.2
43473.254267,8.5
43473.254313,9.2
43473.254359,8.6
43473.254405,8.9
43473.254452,8.4
43473.254498,9.8
43473.254544,9.1
43473.254591,9.4
43473.254637,8.6
43473.254683,8.5
43473.254729,8.9
43473.254776,8.4
43473.254822,8.2
43473.254868,8.5
43473.254915,8.7
43473.254961,8.3
43473.255007,7.9
43473.255054,8.1
43473.255100,8.3
43473.255146,8.3
43473.255192,8.5
43473.255239,8.3
43473.255285,10.7
43473.255331,8.8
43473.255378,8.6
43473.255424,8.3
43473.255470,8.5
43473.255517,8.4
43473.255563,8.4
43473.255609,8.3
43473.255655,8.6
43473.255702,8.5
43473.255748,8.3
43473.255794,8.3
43473.255841,8.3
43473.255887,8.4
43473.255933,8.3
43473.255979,8.3
43473.256026,8.9
43473.256072,8.3
43473.256118,8.3
43473.256165,8.4
43473.256211,8.2
43473.256257,8.4
43473.256304,8.4
43473.256350,8.6
43473.256396,8.2
43473.256442,8.5
43473.256489,8.6
43473.256535,8.7
43473.256581,8.5
43473.256628,8.4
43473.256674,8.2
43473.256720,8.5
43473.256767,8.2
43473.256813,8.8
43473.256859,8.4
43473.256905,8.6
43473.256952,8.5
43473.256998,8.6
43473.257044,9.4
43473.257091,8.7
43473.257137,8.6
43473.257183,8.4
43473.257230,8.4
43473.257276,8.7
43473.257322,9.6
43473.257368,8.3
43473.257415,8.5
43473.257461,8.6
43473.257507,8.3
43473.257554,8.6
43473.257600,8.8
43473.257646,9.0
43473.257693,8.9
43473.257739,8.4
43473.257785,8.6
43473.257831,8.4
43473.257878,8.6
43473.257924,8.4
43473.257970,8.4
43473.258017,8.2
43473.258063,8.2
43473.258109,7.9
43473.258155,8.3
43473.258202,8.3
43473.258248,8.5
43473.258294,8.4
43473.258341,10.2
43473.258387,9.8
43473.258433,8.2
43473.258480,8.4
43473.258526,7.9
43473.258572,8.6
43473.258618,8.6
43473.258665,8.3
43473.258711,8.3
43473.258757,8.4
43473.258804,8.1
43473.258850,8.3
43473.258896,8.6
43473.258943,8.4
43473.258989,8.1
43473.259035,8.4
43473.259081,7.9
43473.259128,8.3
43473.259174,8.2
43473.259220,8.6
43473.259267,8.5
43473.259313,9.4
43473.259359,8.3
43473.259406,8.8
43473.259452,8.5
43473.259498,8.1
43473.259544,8.3
43473.259591,8.2
43473.259637,8.2
43473.259683,8.5
43473.259730,8.5
43473.259776,8.4
43473.259822,8.7
43473.259868,8.2
43473.259915,8.1
43473.259961,8.1
43473.260007,8.1
43473.260054,8.3
43473.260100,8.4
43473.260146,8.1
43473.260193,9.7
43473.260239,8.3
43473.260285,8.4
43473.260331,8.4
43473.260378,8.6
43473.260424,8.1
43473.260470,8.2
43473.260517,8.5
43473.260563,8.0
43473.260609,8.1
43473.260656,8.3
43473.260702,8.3
43473.260748,8.4
43473.260794,9.5
43473.260841,8.1
43473.260887,8.8
43473.260933,8.5
43473.260980,8.6
43473.261026,8.3
43473.261072,8.3
43473.261119,9.0
43473.261165,8.2
43473.261211,8.4
43473.261257,8.4
43473.261304,8.3
43473.261350,8.7
43473.261396,7.9
43473.261443,8.3
43473.261489,8.4
43473.261535,8.2
43473.261581,8.2
43473.261628,8.1
43473.261674,8.4
43473.261720,8.3
43473.261767,8.5
43473.261813,7.9
43473.261859,8.6
43473.261906,8.1
43473.261952,8.3
43473.261998,8.1
43473.262044,8.2
43473.262091,7.9
43473.262137,8.3
43473.262183,8.6
43473.262230,8.4
43473.262276,8.2
43473.262322,8.3
43473.262369,8.3
43473.262415,8.4
43473.262461,8.1
43473.262507,8.7
43473.262554,8.1
43473.262600,8.6
43473.262646,8.2
43473.262693,8.6
43473.262739,8.1
43473.262785,8.4
43473.262832,8.1
43473.262878,8.1
43473.262924,8.3
43473.262970,8.1
43473.263017,8.4
43473.263063,8.1
43473.263109,7.9
43473.263156,8.1
43473.263202,8.3
43473.263248,8.2
43473.263294,8.3
43473.263341,8.0
43473.263387,8.4
43473.263433,8.4
43473.263480,8.3
43473.263526,8.4
43473.263572,8.4
43473.263619,8.1
43473.263665,8.4
43473.263711,8.2
43473.263757,8.2
43473.263804,8.1
43473.263850,8.4
43473.263896,8.3
43473.263943,8.2
43473.263989,8.3
43473.264035,8.3
43473.264082,8.1
43473.264128,8.2
43473.264174,8.4
43473.264220,8.1
43473.264267,8.5
43473.264313,8.3
43473.264359,8.1
43473.264406,8.3
43473.264452,8.1
43473.264498,8.1
43473.264545,8.3
43473.264591,8.1
43473.264637,8.4
43473.264683,8.1
43473.264730,8.3
43473.264776,8.1
43473.264822,8.2
43473.264869,8.3
43473.264915,8.2
43473.264961,8.2
43473.265008,9.8
43473.265054,9.9
43473.265100,8.3
43473.265146,9.1
43473.265193,9.6
43473.265239,9.8
