Time,Used,Committed,Max
43473.253019,78683280,383778816,2036334592
43473.253063,112237712,383778816,2036334592
43473.253109,141597840,383778816,2036334592
43473.253155,170957968,383778816,2036334592
43473.253202,201366672,383778816,2036334592
43473.253248,232823952,383778816,2036334592
43473.253294,114710528,383778816,2036334592
43473.253340,182867968,383778816,2036334592
43473.253387,85770144,383778816,2036334592
43473.253433,195870624,383778816,2036334592
43473.253479,88496128,383778816,2036334592
43473.253526,198596608,383778816,2036334592
43473.253572,90523872,383778816,2036334592
43473.253618,197478624,383778816,2036334592
43473.253665,88383728,383778816,2036334592
43473.253711,196387056,383778816,2036334592
43473.253757,86865432,383778816,2036334592
43473.253803,192771608,383778816,2036334592
43473.253850,83253248,383778816,2036334592
43473.253896,191256576,383778816,2036334592
43473.253942,80107520,383778816,2036334592
43473.253989,188110848,383778816,2036334592
43473.254035,76961792,383778816,2036334592
43473.254081,184965120,383778816,2036334592
43473.254128,75358680,383778816,2036334592
43473.254174,183362008,383778816,2036334592
43473.254220,73268616,383778816,2036334592
43473.254266,180223368,383778816,2036334592
43473.254313,70638864,383778816,2036334592
43473.254359,178642192,383778816,2036334592
43473.254405,69602656,383778816,2036334592
43473.254452,176557408,383778816,2036334592
43473.254498,66745440,383778816,2036334592
43473.254544,174748768,383778816,2036334592
43473.254590,65845064,383778816,2036334592
43473.254637,173848392,383778816,2036334592
43473.254683,60566208,383778816,2036334592
43473.254729,170666688,383778816,2036334592
43473.254776,54636832,383778816,2036334592
43473.254822,163688736,383778816,2036334592
43473.254868,45409392,383778816,2036334592
43473.254915,154461296,383778816,2036334592
43473.254961,36972800,383778816,2036334592
43473.255007,144976128,383778816,2036334592
43473.255053,252979456,383778816,2036334592
43473.255100,135688416,383778816,2036334592
43473.255146,244740320,383778816,2036334592
43473.255192,126424000,383778816,2036334592
43473.255239,233378752,383778816,2036334592
43473.255285,118318536,383778816,2036334592
43473.255331,226321864,383778816,2036334592
43473.255378,108930432,383778816,2036334592
43473.255424,216933760,383778816,2036334592
43473.255470,100707264,383778816,2036334592
43473.255516,207662016,383778816,2036334592
43473.255563,91442688,383778816,2036334592
43473.255609,199446016,383778816,2036334592
43473.255655,83338792,383778816,2036334592
43473.255702,190293544,383778816,2036334592
43473.255748,73944864,383778816,2036334592
43473.255794,180899616,383778816,2036334592
43473.255841,62694096,383778816,2036334592
43473.255887,170697424,383778816,2036334592
43473.255933,54349376,383778816,2036334592
43473.255979,161304128,383778816,2036334592
43473.256026,44146072,383778816,2036334592
43473.256072,152149400,383778816,2036334592
43473.256118,260152728,383778816,2036334592
43473.256165,141707296,383778816,2036334592
43473.256211,249710624,383778816,2036334592
43473.256257,133505440,383778816,2036334592
43473.256303,241508768,383778816,2036334592
43473.256350,123185408,383778816,2036334592
43473.256396,231188736,383778816,2036334592
43473.256442,114036544,383778816,2036334592
43473.256489,220991296,383778816,2036334592
43473.256535,103470544,383778816,2036334592
43473.256581,210425296,383778816,2036334592
43473.256628,92094200,383778816,2036334592
43473.256674,199048952,383778816,2036334592
43473.256720,82934784,383778816,2036334592
43473.256766,190938112,383778816,2036334592
43473.256813,72734520,383778816,2036334592
43473.256859,181786424,383778816,2036334592
43473.256905,63344064,383778816,2036334592
43473.256952,170298816,383778816,2036334592
43473.256998,53145360,383778816,2036334592
43473.257044,161148688,383778816,2036334592
43473.257091,42706752,383778816,2036334592
43473.257137,151758656,383778816,2036334592
43473.257183,259761984,383778816,2036334592
43473.257229,143417320,383778816,2036334592
43473.257276,250372072,383778816,2036334592
43473.257322,134265824,383778816,2036334592
43473.257368,241220576,383778816,2036334592
43473.257415,124993728,383778816,2036334592
43473.257461,231948480,383778816,2036334592
43473.257507,114793504,383778816,2036334592
43473.257554,222796832,383778816,2036334592
43473.257600,105521976,383778816,2036334592
43473.257646,213525304,383778816,2036334592
43473.257692,97187488,383778816,2036334592
43473.257739,205190816,383778816,2036334592
43473.257785,88964992,383778816,2036334592
43473.257831,196968320,383778816,2036334592
43473.257878,79700704,383778816,2036334592
43473.257924,187704032,383778816,2036334592
43473.257970,70422400,383778816,2036334592
43473.258017,178425728,383778816,2036334592
43473.258063,61151488,383778816,2036334592
43473.258109,169154816,383778816,2036334592
43473.258155,51881248,383778816,2036334592
43473.258202,159884576,383778816,2036334592
43473.258248,42610080,383778816,2036334592
43473.258294,150613408,383778816,2036334592
43473.258341,257568160,383778816,2036334592
43473.258387,140420064,383778816,2036334592
43473.258433,248423392,383778816,2036334592
43473.258480,131040256,383778816,2036334592
43473.258526,239043584,383778816,2036334592
43473.258572,121894136,383778816,2036334592
43473.258618,229897464,383778816,2036334592
43473.258665,111453344,383778816,2036334592
43473.258711,219456672,383778816,2036334592
43473.258757,102174048,383778816,2036334592
43473.258804,210177376,383778816,2036334592
