Time,CPU Usage
43473.270542,10.6
43473.270588,3.5
43473.270634,7.1
43473.270681,5.2
43473.270727,4.1
43473.270773,3.3
43473.270820,3.6
43473.270866,3.1
43473.270912,25.1
43473.270958,25.1
43473.271005,15.7
43473.271051,45.1
43473.271097,33.1
43473.271143,25.9
43473.271190,17.4
43473.271236,25.1
43473.271282,15.3
43473.271328,13.6
43473.271375,10.9
43473.271421,10.1
43473.271467,9.6
43473.271514,10.3
43473.271560,12.8
43473.271606,11.5
43473.271653,12.6
43473.271699,13.0
43473.271745,9.3
43473.271791,9.3
43473.271838,11.8
43473.271884,9.5
43473.271930,9.3
43473.271977,9.6
43473.272023,9.1
43473.272069,9.9
43473.272116,9.0
43473.272162,9.6
43473.272208,9.4
43473.272254,9.1
43473.272301,9.2
43473.272347,9.4
43473.272393,9.2
43473.272440,9.1
43473.272486,9.3
43473.272532,9.3
43473.272579,9.1
43473.272625,9.1
43473.272671,9.1
43473.272717,9.3
43473.272764,9.1
43473.272810,9.0
43473.272856,11.6
43473.272903,9.1
43473.272949,9.2
43473.272995,10.1
43473.273042,9.2
43473.273088,8.8
43473.273134,8.7
43473.273180,8.2
43473.273227,8.4
43473.273273,8.3
43473.273319,8.1
43473.273366,8.2
43473.273412,8.2
43473.273458,8.1
43473.273504,8.1
43473.273551,8.3
43473.273597,8.1
43473.273643,8.2
43473.273690,8.1
43473.273736,8.2
43473.273782,8.1
43473.273828,8.3
43473.273875,8.2
43473.273921,8.1
43473.273967,8.2
43473.274014,8.2
43473.274060,8.4
43473.274106,8.4
43473.274153,8.4
43473.274199,8.9
43473.274245,8.4
43473.274292,9.1
43473.274338,8.6
43473.274384,8.2
43473.274430,8.1
43473.274477,8.2
43473.274523,8.1
43473.274569,8.2
43473.274616,8.2
43473.274662,8.1
43473.274708,8.4
43473.274754,8.4
43473.274801,8.4
43473.274847,8.1
43473.274893,8.1
43473.274940,8.2
43473.274986,8.1
43473.275032,8.3
43473.275079,8.9
43473.275125,8.3
43473.275171,8.3
43473.275217,8.3
43473.275264,8.3
43473.275310,8.5
43473.275356,8.2
43473.275403,8.3
43473.275449,8.1
43473.275495,8.4
43473.275541,8.1
43473.275588,8.2
43473.275634,8.1
43473.275680,8.1
43473.275727,8.3
43473.275773,8.3
43473.275819,8.3
43473.275866,8.3
43473.275912,8.2
43473.275958,8.2
43473.276004,8.1
43473.276051,8.1
43473.276097,8.2
43473.276143,7.9
43473.276190,8.4
43473.276236,8.1
43473.276282,8.4
43473.276329,8.3
43473.276375,8.4
43473.276421,8.2
43473.276467,8.9
43473.276514,8.5
43473.276560,8.2
