Time,CPU Usage
43473.407908,5.6
43473.407954,2.1
43473.408000,3.4
43473.408046,29.4
43473.408093,21.7
43473.408139,20.1
43473.408185,20.7
43473.408232,16.9
43473.408278,18.0
43473.408324,21.6
43473.408371,17.9
43473.408417,16.6
43473.408463,10.2
43473.408509,7.0
43473.408556,7.7
43473.408602,8.0
43473.408648,8.5
43473.408695,8.1
43473.408741,6.1
43473.408787,8.1
43473.408834,7.4
43473.408880,5.4
43473.408926,7.7
43473.408972,5.2
43473.409019,5.1
43473.409065,7.1
43473.409111,6.3
43473.409158,5.2
43473.409204,5.1
43473.409250,5.2
43473.409296,5.1
43473.409343,5.0
43473.409389,5.1
43473.409435,5.0
43473.409482,5.1
43473.409528,5.0
43473.409574,5.2
43473.409620,5.0
43473.409667,5.1
43473.409713,5.0
43473.409759,5.3
43473.409806,5.8
43473.409852,5.1
43473.409898,5.1
43473.409945,4.9
43473.409991,5.0
43473.410037,5.0
43473.410083,5.1
43473.410130,5.0
43473.410176,5.8
43473.410222,4.9
43473.410269,5.1
43473.410315,4.9
43473.410361,5.0
43473.410408,5.1
43473.410454,5.0
43473.410500,4.9
43473.410546,4.9
43473.410593,5.2
43473.410639,5.0
43473.410685,5.6
43473.410732,4.9
43473.410778,6.4
43473.410824,5.1
43473.410871,5.0
43473.410917,5.0
43473.410963,4.9
43473.411009,5.1
43473.411056,4.9
43473.411102,4.9
43473.411148,5.1
43473.411195,5.1
43473.411241,4.9
43473.411287,5.0
43473.411334,5.1
43473.411380,5.0
43473.411426,5.1
43473.411472,4.9
43473.411519,4.9
43473.411565,4.9
43473.411611,5.1
43473.411658,4.9
43473.411704,5.1
43473.411750,4.9
43473.411797,4.9
43473.411843,4.9
43473.411889,4.9
43473.411935,5.1
43473.411982,5.0
43473.412028,4.9
43473.412074,4.9
43473.412121,4.9
43473.412167,5.1
43473.412213,4.9
43473.412260,4.9
43473.412306,4.9
43473.412352,5.1
43473.412398,4.9
43473.412445,4.9
43473.412491,5.0
43473.412537,4.9
43473.412584,4.9
43473.412630,4.9
43473.412676,4.9
43473.412723,5.0
43473.412769,4.9
43473.412815,5.0
43473.412861,4.9
43473.412908,5.0
43473.412954,5.0
43473.413000,4.9
43473.413047,4.9
43473.413093,5.1
43473.413139,5.0
43473.413185,4.9
43473.413232,4.9
43473.413278,4.9
43473.413324,4.9
43473.413371,4.9
43473.413417,4.9
43473.413463,4.9
43473.413510,4.9
43473.413556,5.2
43473.413602,4.9
43473.413648,5.5
43473.413695,5.1
43473.413741,5.1
43473.413787,5.0
43473.413834,4.9
43473.413880,4.8
43473.413926,4.9
43473.413973,4.9
43473.414019,4.8
43473.414065,5.1
43473.414111,5.1
43473.414158,4.9
