Time,CPU Usage
43468.340839,6.1
43468.340885,4.8
43468.340932,11.4
43468.340978,27.4
43468.341024,19.7
43468.341071,19.8
43468.341117,17.1
43468.341163,19.0
43468.341209,14.5
43468.341256,18.2
43468.341302,24.8
43468.341348,10.8
43468.341394,7.6
43468.341441,7.2
43468.341487,6.6
43468.341533,5.2
43468.341579,7.4
43468.341626,5.1
43468.341672,5.2
43468.341718,6.7
43468.341765,6.9
43468.341811,4.8
43468.341857,7.1
43468.341903,4.9
43468.341950,5.4
43468.341996,5.4
43468.342042,5.9
43468.342089,4.6
43468.342135,4.6
43468.342181,4.4
43468.342228,4.5
43468.342274,4.4
43468.342320,5.3
43468.342367,4.7
43468.342413,4.9
43468.342459,4.9
43468.342506,5.5
43468.342552,5.8
43468.342598,5.9
43468.342644,5.9
43468.342691,5.6
43468.342737,4.9
43468.342783,4.7
43468.342829,4.9
43468.342876,4.8
43468.342922,4.9
43468.342968,4.8
43468.343015,4.8
43468.343061,4.9
43468.343107,4.8
43468.343154,4.8
43468.343200,4.9
43468.343246,4.9
43468.343292,4.8
43468.343339,4.7
43468.343385,7.5
43468.343431,4.8
43468.343478,4.7
43468.343524,5.4
43468.343570,4.9
43468.343617,5.2
43468.343663,4.8
43468.343709,4.8
43468.343755,4.7
43468.343802,4.8
43468.343848,4.7
43468.343894,4.9
43468.343941,4.7
43468.343987,4.7
43468.344033,4.6
43468.344080,4.7
43468.344126,4.7
43468.344172,4.6
43468.344218,4.7
43468.344265,4.7
43468.344311,4.9
43468.344357,5.6
43468.344404,4.9
43468.344450,4.7
43468.344496,5.1
43468.344543,4.9
43468.344589,4.7
43468.344635,5.0
43468.344681,4.9
43468.344728,4.6
43468.344774,4.9
43468.344820,4.8
43468.344867,4.7
43468.344913,4.9
43468.344959,4.8
43468.345005,4.5
43468.345052,4.6
43468.345098,4.8
43468.345144,4.6
43468.345191,4.7
43468.345237,5.2
43468.345283,4.6
43468.345330,4.7
43468.345376,4.6
43468.345422,4.6
