Time,Used
43468.340795,168437776
43468.340839,173680656
43468.340885,175777808
43468.340931,46445568
43468.340977,80000000
43468.341024,104117248
43468.341070,137671680
43468.341116,175420416
43468.341163,211072000
43468.341209,38797312
43468.341255,77594624
43468.341302,114294784
43468.341348,149946368
43468.341394,184549376
43468.341440,221249536
43468.341487,37748736
43468.341533,74448896
43468.341579,111149056
43468.341626,145752064
43468.341672,181403648
43468.341718,217055232
43468.341765,32137088
43468.341811,68837248
43468.341857,103440256
43468.341903,140140416
43468.341950,174743424
43468.341996,210395008
43468.342042,246046592
43468.342089,63456944
43468.342135,98059952
43468.342181,132662960
43468.342228,168314544
43468.342274,203966128
43468.342320,239617712
43468.342366,56126088
43468.342413,91777672
43468.342459,127429256
43468.342505,163080840
43468.342552,196635272
43468.342598,233335432
43468.342644,48813584
43468.342690,84465168
43468.342737,119068176
43468.342783,154719760
43468.342829,189322768
43468.342876,226022928
43468.342922,41471792
43468.342968,77123376
43468.343015,112774960
43468.343061,148426544
43468.343107,183029552
43468.343153,218681136
43468.343200,34141792
43468.343246,69793376
43468.343292,105444960
43468.343339,140047968
43468.343385,176748128
43468.343431,211351136
43468.343478,247002720
43468.343524,63538904
43468.343570,99190488
43468.343616,133793496
43468.343663,169445080
43468.343709,205096664
43468.343755,239699672
43468.343802,56222896
43468.343848,90825904
43468.343894,126477488
43468.343941,162129072
43468.343987,197780656
43468.344033,232383664
43468.344079,48893776
43468.344126,83496784
43468.344172,119148368
43468.344218,153751376
43468.344265,189402960
43468.344311,225054544
43468.344357,40550800
43468.344404,76202384
43468.344450,111853968
43468.344496,146456976
43468.344542,182108560
43468.344589,217760144
43468.344635,33226080
43468.344681,68877664
43468.344728,104529248
43468.344774,140180832
43468.344820,175832416
43468.344866,210435424
43468.344913,245038432
43468.344959,61548832
43468.345005,96151840
43468.345052,132852000
43468.345098,167455008
43468.345144,203106592
43468.345191,237709600
43468.345237,54226576
43468.345283,88829584
43468.345329,124481168
43468.345376,160132752
43468.345422,195784336
43468.345468,230387344
43468.345515,46906176
43468.345561,82557760
43468.345607,116112192
43468.345654,152812352
43468.345700,188463936
43468.345746,223066944
43468.345792,39598056
43468.345839,74201064
43468.345885,109852648
43468.345931,145504232
43468.345978,181155816
43468.346024,216807400
43468.346070,33335776
43468.346117,67938784
43468.346163,103590368
43468.346209,138193376
43468.346255,173844960
43468.346302,208447968
43468.346348,244099552
43468.346394,61658688
43468.346441,97310272
43468.346487,131913280
43468.346533,166516288
43468.346580,203216448
43468.346626,238868032
43468.346672,54338752
43468.346718,91038912
43468.346765,124593344
43468.346811,160244928
43468.346857,195896512
43468.346904,230499520
43468.346950,47022936
43468.346996,82674520
43468.347043,118326104
43468.347089,152929112
43468.347135,188580696
43468.347181,224232280
43468.347228,39695176
43468.347274,75346760
43468.347320,110998344
43468.347367,145601352
43468.347413,181252936
43468.347459,215855944
43468.347505,33423192
43468.347552,66977624
43468.347598,102629208
43468.347644,140377944
43468.347691,174980952
43468.347737,211681112
43468.347783,246284120
43468.347830,61852600
43468.347876,97504184
43468.347922,133155768
43468.347968,167758776
43468.348015,203410360
43468.348061,238013368
43468.348107,54429320
43468.348154,90080904
43468.348200,124683912
43468.348246,160335496
43468.348293,195987080
43468.348339,230590088
43468.348385,47100880
43468.348431,81703888
43468.348478,117355472
43468.348524,151958480
43468.348570,187610064
43468.348617,223261648
43468.348663,37673720
43468.348709,73325304
43468.348756,107928312
43468.348802,143579896
43468.348848,179231480
43468.348894,214883064
43468.348941,249486072
43468.348987,64983896
43468.349033,100635480
43468.349080,136287064
43468.349126,170890072
43468.349172,206541656
43468.349218,241144664
43468.349265,56593920
43468.349311,92245504
43468.349357,127897088
43468.349404,162500096
43468.349450,198151680
43468.349496,232754688
43468.349543,50303856
43468.349589,84906864
43468.349635,119509872
43468.349681,155161456
43468.349728,189764464
43468.349774,225416048
43468.349820,40897136
43468.349867,75500144
43468.349913,112200304
43468.349959,146803312
43468.350006,181406320
43468.350052,216009328
43468.350098,33557880
43468.350144,68160888
43468.350191,101715320
43468.350237,137366904
43468.350283,171969912
43468.350330,207621496
43468.350376,242224504
43468.350422,58758416
43468.350469,93361424
43468.350515,129013008
43468.350561,164664592
