Time,Used,Committed,Max
43468.340795,168437776,371195904,1979711488
43468.340839,173680656,371195904,1979711488
43468.340885,175777808,371195904,1979711488
43468.340931,46445568,371195904,1979711488
43468.340977,80000000,371195904,1979711488
43468.341024,104117248,371195904,1979711488
43468.341070,137671680,371195904,1979711488
43468.341116,175420416,371195904,1979711488
43468.341163,211072000,371195904,1979711488
43468.341209,38797312,371195904,1979711488
43468.341255,77594624,371195904,1979711488
43468.341302,114294784,371195904,1979711488
43468.341348,149946368,371195904,1979711488
43468.341394,184549376,371195904,1979711488
43468.341440,221249536,371195904,1979711488
43468.341487,37748736,371195904,1979711488
43468.341533,74448896,371195904,1979711488
43468.341579,111149056,371195904,1979711488
43468.341626,145752064,371195904,1979711488
43468.341672,181403648,371195904,1979711488
43468.341718,217055232,371195904,1979711488
43468.341765,32137088,371195904,1979711488
43468.341811,68837248,371195904,1979711488
43468.341857,103440256,371195904,1979711488
43468.341903,140140416,371195904,1979711488
43468.341950,174743424,371195904,1979711488
43468.341996,210395008,371195904,1979711488
43468.342042,246046592,371195904,1979711488
43468.342089,63456944,371195904,1979711488
43468.342135,98059952,371195904,1979711488
43468.342181,132662960,371195904,1979711488
43468.342228,168314544,371195904,1979711488
43468.342274,203966128,371195904,1979711488
43468.342320,239617712,371195904,1979711488
43468.342366,56126088,371195904,1979711488
43468.342413,91777672,371195904,1979711488
43468.342459,127429256,371195904,1979711488
43468.342505,163080840,371195904,1979711488
43468.342552,196635272,371195904,1979711488
43468.342598,233335432,371195904,1979711488
43468.342644,48813584,371195904,1979711488
43468.342690,84465168,371195904,1979711488
43468.342737,119068176,371195904,1979711488
43468.342783,154719760,371195904,1979711488
43468.342829,189322768,371195904,1979711488
43468.342876,226022928,371195904,1979711488
43468.342922,41471792,371195904,1979711488
43468.342968,77123376,371195904,1979711488
43468.343015,112774960,371195904,1979711488
43468.343061,148426544,371195904,1979711488
43468.343107,183029552,371195904,1979711488
43468.343153,218681136,371195904,1979711488
43468.343200,34141792,371195904,1979711488
43468.343246,69793376,371195904,1979711488
43468.343292,105444960,371195904,1979711488
43468.343339,140047968,371195904,1979711488
43468.343385,176748128,371195904,1979711488
43468.343431,211351136,371195904,1979711488
43468.343478,247002720,371195904,1979711488
43468.343524,63538904,371195904,1979711488
43468.343570,99190488,371195904,1979711488
43468.343616,133793496,371195904,1979711488
43468.343663,169445080,371195904,1979711488
43468.343709,205096664,371195904,1979711488
43468.343755,239699672,371195904,1979711488
43468.343802,56222896,371195904,1979711488
43468.343848,90825904,371195904,1979711488
43468.343894,126477488,371195904,1979711488
43468.343941,162129072,371195904,1979711488
43468.343987,197780656,371195904,1979711488
43468.344033,232383664,371195904,1979711488
43468.344079,48893776,371195904,1979711488
43468.344126,83496784,371195904,1979711488
43468.344172,119148368,371195904,1979711488
43468.344218,153751376,371195904,1979711488
43468.344265,189402960,371195904,1979711488
43468.344311,225054544,371195904,1979711488
43468.344357,40550800,371195904,1979711488
43468.344404,76202384,371195904,1979711488
43468.344450,111853968,371195904,1979711488
43468.344496,146456976,371195904,1979711488
43468.344542,182108560,371195904,1979711488
43468.344589,217760144,371195904,1979711488
43468.344635,33226080,371195904,1979711488
43468.344681,68877664,371195904,1979711488
43468.344728,104529248,371195904,1979711488
43468.344774,140180832,371195904,1979711488
43468.344820,175832416,371195904,1979711488
43468.344866,210435424,371195904,1979711488
43468.344913,245038432,371195904,1979711488
43468.344959,61548832,371195904,1979711488
43468.345005,96151840,371195904,1979711488
43468.345052,132852000,371195904,1979711488
43468.345098,167455008,371195904,1979711488
43468.345144,203106592,371195904,1979711488
43468.345191,237709600,371195904,1979711488
43468.345237,54226576,371195904,1979711488
43468.345283,88829584,371195904,1979711488
43468.345329,124481168,371195904,1979711488
43468.345376,160132752,371195904,1979711488
43468.345422,195784336,371195904,1979711488
43468.345468,230387344,371195904,1979711488
43468.345515,46906176,371195904,1979711488
43468.345561,82557760,371195904,1979711488
43468.345607,116112192,371195904,1979711488
43468.345654,152812352,371195904,1979711488
43468.345700,188463936,371195904,1979711488
43468.345746,223066944,371195904,1979711488
43468.345792,39598056,371195904,1979711488
43468.345839,74201064,371195904,1979711488
43468.345885,109852648,371195904,1979711488
43468.345931,145504232,371195904,1979711488
43468.345978,181155816,371195904,1979711488
43468.346024,216807400,371195904,1979711488
43468.346070,33335776,371195904,1979711488
43468.346117,67938784,371195904,1979711488
43468.346163,103590368,371195904,1979711488
43468.346209,138193376,371195904,1979711488
43468.346255,173844960,371195904,1979711488
43468.346302,208447968,371195904,1979711488
43468.346348,244099552,371195904,1979711488
43468.346394,61658688,371195904,1979711488
43468.346441,97310272,371195904,1979711488
43468.346487,131913280,371195904,1979711488
43468.346533,166516288,371195904,1979711488
43468.346580,203216448,371195904,1979711488
43468.346626,238868032,371195904,1979711488
43468.346672,54338752,371195904,1979711488
43468.346718,91038912,371195904,1979711488
43468.346765,124593344,371195904,1979711488
43468.346811,160244928,371195904,1979711488
43468.346857,195896512,371195904,1979711488
43468.346904,230499520,371195904,1979711488
43468.346950,47022936,371195904,1979711488
43468.346996,82674520,371195904,1979711488
43468.347043,118326104,371195904,1979711488
43468.347089,152929112,371195904,1979711488
43468.347135,188580696,371195904,1979711488
43468.347181,224232280,371195904,1979711488
43468.347228,39695176,371195904,1979711488
43468.347274,75346760,371195904,1979711488
43468.347320,110998344,371195904,1979711488
43468.347367,145601352,371195904,1979711488
43468.347413,181252936,371195904,1979711488
43468.347459,215855944,371195904,1979711488
43468.347505,33423192,371195904,1979711488
43468.347552,66977624,371195904,1979711488
43468.347598,102629208,371195904,1979711488
43468.347644,140377944,371195904,1979711488
43468.347691,174980952,371195904,1979711488
43468.347737,211681112,371195904,1979711488
43468.347783,246284120,371195904,1979711488
43468.347830,61852600,371195904,1979711488
43468.347876,97504184,371195904,1979711488
43468.347922,133155768,371195904,1979711488
43468.347968,167758776,371195904,1979711488
43468.348015,203410360,371195904,1979711488
43468.348061,238013368,371195904,1979711488
43468.348107,54429320,371195904,1979711488
43468.348154,90080904,371195904,1979711488
43468.348200,124683912,371195904,1979711488
43468.348246,160335496,371195904,1979711488
43468.348293,195987080,371195904,1979711488
43468.348339,230590088,371195904,1979711488
43468.348385,47100880,371195904,1979711488
43468.348431,81703888,371195904,1979711488
43468.348478,117355472,371195904,1979711488
43468.348524,151958480,371195904,1979711488
43468.348570,187610064,371195904,1979711488
43468.348617,223261648,371195904,1979711488
43468.348663,37673720,371195904,1979711488
43468.348709,73325304,371195904,1979711488
43468.348756,107928312,371195904,1979711488
43468.348802,143579896,371195904,1979711488
43468.348848,179231480,371195904,1979711488
43468.348894,214883064,371195904,1979711488
43468.348941,249486072,371195904,1979711488
43468.348987,64983896,371195904,1979711488
43468.349033,100635480,371195904,1979711488
43468.349080,136287064,371195904,1979711488
43468.349126,170890072,371195904,1979711488
43468.349172,206541656,371195904,1979711488
43468.349218,241144664,371195904,1979711488
43468.349265,56593920,371195904,1979711488
43468.349311,92245504,371195904,1979711488
43468.349357,127897088,371195904,1979711488
43468.349404,162500096,371195904,1979711488
43468.349450,198151680,371195904,1979711488
43468.349496,232754688,371195904,1979711488
43468.349543,50303856,371195904,1979711488
43468.349589,84906864,371195904,1979711488
43468.349635,119509872,371195904,1979711488
43468.349681,155161456,371195904,1979711488
43468.349728,189764464,371195904,1979711488
43468.349774,225416048,371195904,1979711488
43468.349820,40897136,371195904,1979711488
43468.349867,75500144,371195904,1979711488
43468.349913,112200304,371195904,1979711488
43468.349959,146803312,371195904,1979711488
43468.350006,181406320,371195904,1979711488
43468.350052,216009328,371195904,1979711488
43468.350098,33557880,371195904,1979711488
43468.350144,68160888,371195904,1979711488
43468.350191,101715320,371195904,1979711488
43468.350237,137366904,371195904,1979711488
43468.350283,171969912,371195904,1979711488
