Time,CPU Usage
43468.383416,8.5
43468.383462,5.3
43468.383508,1.7
43468.383555,33.2
43468.383601,32.6
43468.383648,18.0
43468.383694,18.5
43468.383740,20.1
43468.383786,31.6
43468.383832,29.0
43468.383879,27.4
43468.383925,30.1
43468.383971,20.6
43468.384018,14.9
43468.384064,11.7
43468.384110,13.4
43468.384156,24.1
43468.384203,16.6
43468.384249,10.4
43468.384295,9.2
43468.384342,11.1
43468.384388,8.8
43468.384434,8.3
43468.384481,6.6
43468.384527,7.6
43468.384573,8.8
43468.384619,6.6
43468.384666,6.8
43468.384712,7.2
43468.384758,6.4
43468.384804,6.8
43468.384851,6.8
43468.384897,6.4
43468.384943,6.4
43468.384990,7.6
43468.385036,6.6
43468.385082,6.4
43468.385129,6.2
43468.385175,6.3
43468.385221,6.4
43468.385268,6.4
43468.385314,6.5
43468.385360,6.2
43468.385406,6.3
43468.385453,6.5
43468.385499,6.5
43468.385545,6.2
43468.385592,6.9
43468.385638,6.6
43468.385684,6.8
43468.385730,6.3
43468.385777,6.7
43468.385823,6.8
43468.385869,6.3
43468.385916,6.3
43468.385962,6.5
43468.386008,10.6
43468.386055,6.7
43468.386101,6.4
43468.386147,6.4
43468.386193,6.2
43468.386240,6.5
43468.386286,6.2
43468.386332,6.2
43468.386379,6.2
43468.386425,6.4
43468.386471,6.3
43468.386518,6.1
43468.386564,6.3
43468.386610,6.3
43468.386656,6.1
43468.386703,6.2
43468.386749,6.1
43468.386795,8.0
43468.386842,6.1
43468.386888,6.4
43468.386934,6.4
43468.386981,6.5
43468.387027,6.6
43468.387073,6.3
43468.387119,6.3
43468.387166,6.3
43468.387212,6.6
43468.387258,6.3
43468.387305,8.6
43468.387351,6.8
43468.387397,8.0
43468.387444,7.3
43468.387490,7.0
43468.387536,5.8
43468.387582,6.8
43468.387629,6.9
43468.387675,6.2
