Time,Used
43468.383372,159234464
43468.383415,163428768
43468.383462,165525920
43468.383508,166574496
43468.383554,68191232
43468.383601,100697088
43468.383647,129008640
43468.383693,159417344
43468.383740,194020352
43468.383786,34329088
43468.383832,75223552
43468.383878,116118016
43468.383925,158061056
43468.383971,197906944
43468.384017,238801408
43468.384064,61374800
43468.384110,102269264
43468.384156,143163728
43468.384203,184058192
43468.384249,223904080
43468.384295,46617488
43468.384341,86463376
43468.384388,127357840
43468.384434,167203728
43468.384480,207049616
43468.384527,247944080
43468.384573,69613776
43468.384619,110508240
43468.384666,150354128
43468.384712,190200016
43468.384758,230045904
43468.384804,51811136
43468.384851,92705600
43468.384897,132551488
43468.384943,172397376
43468.384990,213291840
43468.385036,36069224
43468.385082,76963688
43468.385129,115761000
43468.385175,156655464
43468.385221,197549928
43468.385267,237395816
43468.385314,59131008
43468.385360,100025472
43468.385406,139871360
43468.385453,180765824
43468.385499,220611712
43468.385545,42389808
43468.385592,82235696
43468.385638,123130160
43468.385684,162976048
43468.385730,202821936
43468.385777,243716400
43468.385823,65503144
43468.385869,106397608
43468.385916,146243496
43468.385962,187137960
43468.386008,228032424
43468.386054,48713888
43468.386101,88559776
43468.386147,129454240
43468.386193,170348704
43468.386240,210194592
43468.386286,30894432
43468.386332,71788896
43468.386379,111634784
43468.386425,152529248
43468.386471,192375136
43468.386517,233269600
43468.386564,53945832
43468.386610,94840296
43468.386656,135734760
43468.386703,175580648
43468.386749,216475112
43468.386795,38256224
43468.386842,79150688
43468.386888,120045152
43468.386934,159891040
43468.386980,200785504
43468.387027,240631392
43468.387073,61343904
43468.387119,102238368
43468.387166,142084256
43468.387212,182978720
43468.387258,224921760
43468.387305,44612216
43468.387351,85506680
43468.387397,125352568
43468.387443,166247032
43468.387490,206092920
43468.387536,246987384
