Time,Used,Committed,Max
43468.383372,159234464,371195904,1979711488
43468.383415,163428768,371195904,1979711488
43468.383462,165525920,371195904,1979711488
43468.383508,166574496,371195904,1979711488
43468.383554,68191232,371195904,1979711488
43468.383601,100697088,371195904,1979711488
43468.383647,129008640,371195904,1979711488
43468.383693,159417344,371195904,1979711488
43468.383740,194020352,371195904,1979711488
43468.383786,34329088,371195904,1979711488
43468.383832,75223552,371195904,1979711488
43468.383878,116118016,371195904,1979711488
43468.383925,158061056,371195904,1979711488
43468.383971,197906944,371195904,1979711488
43468.384017,238801408,371195904,1979711488
43468.384064,61374800,371195904,1979711488
43468.384110,102269264,371195904,1979711488
43468.384156,143163728,371195904,1979711488
43468.384203,184058192,371195904,1979711488
43468.384249,223904080,371195904,1979711488
43468.384295,46617488,371195904,1979711488
43468.384341,86463376,371195904,1979711488
43468.384388,127357840,371195904,1979711488
43468.384434,167203728,371195904,1979711488
43468.384480,207049616,371195904,1979711488
43468.384527,247944080,371195904,1979711488
43468.384573,69613776,371195904,1979711488
43468.384619,110508240,371195904,1979711488
43468.384666,150354128,371195904,1979711488
43468.384712,190200016,371195904,1979711488
43468.384758,230045904,371195904,1979711488
43468.384804,51811136,371195904,1979711488
43468.384851,92705600,371195904,1979711488
43468.384897,132551488,371195904,1979711488
43468.384943,172397376,371195904,1979711488
43468.384990,213291840,371195904,1979711488
43468.385036,36069224,371195904,1979711488
43468.385082,76963688,371195904,1979711488
43468.385129,115761000,371195904,1979711488
43468.385175,156655464,371195904,1979711488
43468.385221,197549928,371195904,1979711488
43468.385267,237395816,371195904,1979711488
43468.385314,59131008,371195904,1979711488
43468.385360,100025472,371195904,1979711488
43468.385406,139871360,371195904,1979711488
43468.385453,180765824,371195904,1979711488
43468.385499,220611712,371195904,1979711488
43468.385545,42389808,371195904,1979711488
43468.385592,82235696,371195904,1979711488
43468.385638,123130160,371195904,1979711488
43468.385684,162976048,371195904,1979711488
43468.385730,202821936,371195904,1979711488
43468.385777,243716400,371195904,1979711488
43468.385823,65503144,371195904,1979711488
43468.385869,106397608,371195904,1979711488
43468.385916,146243496,371195904,1979711488
43468.385962,187137960,371195904,1979711488
43468.386008,228032424,371195904,1979711488
43468.386054,48713888,371195904,1979711488
43468.386101,88559776,371195904,1979711488
43468.386147,129454240,371195904,1979711488
43468.386193,170348704,371195904,1979711488
43468.386240,210194592,371195904,1979711488
43468.386286,30894432,371195904,1979711488
43468.386332,71788896,371195904,1979711488
43468.386379,111634784,371195904,1979711488
43468.386425,152529248,371195904,1979711488
43468.386471,192375136,371195904,1979711488
43468.386517,233269600,371195904,1979711488
43468.386564,53945832,371195904,1979711488
43468.386610,94840296,371195904,1979711488
43468.386656,135734760,371195904,1979711488
43468.386703,175580648,371195904,1979711488
43468.386749,216475112,371195904,1979711488
43468.386795,38256224,371195904,1979711488
43468.386842,79150688,371195904,1979711488
43468.386888,120045152,371195904,1979711488
43468.386934,159891040,371195904,1979711488
43468.386980,200785504,371195904,1979711488
43468.387027,240631392,371195904,1979711488
43468.387073,61343904,371195904,1979711488
43468.387119,102238368,371195904,1979711488
43468.387166,142084256,371195904,1979711488
43468.387212,182978720,371195904,1979711488
43468.387258,224921760,371195904,1979711488
43468.387305,44612216,371195904,1979711488
43468.387351,85506680,371195904,1979711488
43468.387397,125352568,371195904,1979711488
43468.387443,166247032,371195904,1979711488
43468.387490,206092920,371195904,1979711488
43468.387536,246987384,371195904,1979711488
43468.387582,67715920,371195904,1979711488
43468.387629,107561808,371195904,1979711488
43468.387675,148456272,371195904,1979711488
43468.387721,188302160,371195904,1979711488
43468.387767,229196624,371195904,1979711488
43468.387814,49920760,371195904,1979711488
43468.387860,90815224,371195904,1979711488
43468.387906,130661112,371195904,1979711488
43468.387953,170507000,371195904,1979711488
43468.387999,210352888,371195904,1979711488
43468.388045,31094800,371195904,1979711488
43468.388092,71989264,371195904,1979711488
43468.388138,112883728,371195904,1979711488
43468.388184,153778192,371195904,1979711488
43468.388230,193624080,371195904,1979711488
43468.388277,233469968,371195904,1979711488
43468.388323,54148720,371195904,1979711488
43468.388369,95043184,371195904,1979711488
43468.388416,134889072,371195904,1979711488
43468.388462,175783536,371195904,1979711488
43468.388508,215629424,371195904,1979711488
43468.388555,36358240,371195904,1979711488
43468.388601,76204128,371195904,1979711488
43468.388647,117098592,371195904,1979711488
43468.388693,157993056,371195904,1979711488
43468.388740,198887520,371195904,1979711488
43468.388786,238733408,371195904,1979711488
43468.388832,59436528,371195904,1979711488
43468.388879,100330992,371195904,1979711488
43468.388925,140176880,371195904,1979711488
43468.388971,181071344,371195904,1979711488
43468.389018,220917232,371195904,1979711488
43468.389064,41606328,371195904,1979711488
43468.389110,82500792,371195904,1979711488
43468.389156,122346680,371195904,1979711488
43468.389203,163241144,371195904,1979711488
43468.389249,203087032,371195904,1979711488
43468.389295,242932920,371195904,1979711488
43468.389342,64714408,371195904,1979711488
43468.389388,104560296,371195904,1979711488
43468.389434,145454760,371195904,1979711488
43468.389480,185300648,371195904,1979711488
43468.389527,225146536,371195904,1979711488
43468.389573,45837968,371195904,1979711488
43468.389619,86732432,371195904,1979711488
43468.389666,126578320,371195904,1979711488
43468.389712,167472784,371195904,1979711488
