Time,CPU Usage
43461.255181,5.9
43461.255227,4.7
43461.255273,1.5
43461.255320,1.4
43461.255366,1.1
43461.255412,35.2
43461.255459,57.7
43461.255505,53.7
43461.255551,50.5
43461.255598,45.9
43461.255644,48.3
43461.255690,46.9
43461.255736,48.1
43461.255783,53.9
43461.255829,52.9
43461.255875,52.8
43461.255922,54.9
43461.255968,47.6
43461.256014,48.2
43461.256060,52.1
43461.256107,52.4
43461.256153,52.3
43461.256199,52.3
43461.256245,52.0
43461.256292,53.0
43461.256338,51.9
43461.256384,51.8
43461.256431,51.5
43461.256477,52.4
43461.256523,53.5
43461.256570,51.2
43461.256616,53.2
43461.256662,51.5
43461.256708,52.2
43461.256755,52.9
43461.256801,51.8
43461.256847,53.2
43461.256894,52.7
43461.256940,52.5
43461.256986,52.3
43461.257033,52.5
43461.257079,52.8
43461.257125,52.3
43461.257171,52.7
43461.257218,51.8
43461.257264,52.3
43461.257310,51.8
43461.257357,52.3
43461.257403,52.8
43461.257449,52.5
43461.257495,52.1
43461.257542,52.6
43461.257588,52.3
43461.257634,52.9
43461.257681,52.3
43461.257727,52.1
43461.257773,51.9
43461.257820,52.1
43461.257866,52.0
43461.257912,50.9
43461.257958,52.4
43461.258005,52.0
43461.258051,52.4
43461.258097,53.3
43461.258144,52.0
43461.258190,52.4
43461.258236,52.8
43461.258283,51.7
43461.258329,50.8
43461.258375,51.4
43461.258421,50.4
43461.258468,50.1
43461.258514,52.0
43461.258560,52.2
43461.258607,52.4
43461.258653,51.1
43461.258699,53.3
43461.258746,52.6
43461.258792,49.3
43461.258838,51.4
43461.258885,51.7
43461.258931,51.7
43461.258977,51.2
43461.259023,52.6
43461.259070,52.5
43461.259116,52.3
43461.259162,52.1
43461.259209,52.5
43461.259255,51.7
43461.259301,50.7
43461.259348,52.4
43461.259394,52.0
43461.259440,52.5
43461.259486,53.4
43461.259533,52.2
43461.259579,51.3
43461.259625,52.3
43461.259671,51.9
43461.259718,52.1
43461.259764,55.2
43461.259810,52.9
43461.259857,51.9
43461.259903,51.8
43461.259949,52.6
43461.259996,52.5
43461.260042,51.9
43461.260088,52.0
43461.260134,52.5
43461.260181,52.0
43461.260227,52.8
43461.260273,52.1
43461.260320,51.4
43461.260366,52.1
