Time,Used
43461.255137,159383552
43461.255181,164626432
43461.255227,164626432
43461.255273,165675008
43461.255319,166723584
43461.255366,167772160
43461.255412,86388224
43461.255458,75724800
43461.255505,165378048
43461.255551,116069304
43461.255597,84081480
43461.255644,137590784
43461.255690,229031424
43461.255736,98537472
43461.255782,256577536
43461.255829,102865920
43461.255875,160726016
43461.255921,155851776
43461.255968,148589568
43461.256014,131668480
43461.256060,154831360
43461.256106,221228696
43461.256153,285378608
43461.256199,91542224
43461.256245,145438864
43461.256292,213883488
43461.256338,248698208
43461.256384,204785696
43461.256431,220212848
43461.256477,231745864
43461.256523,258580992
43461.256569,250905280
43461.256616,259430912
43461.256662,264855464
43461.256708,277819392
43461.256755,286681744
43461.256801,284327648
43461.256847,271783424
43461.256894,280853056
43461.256940,294424192
43461.256986,278978568
43461.257032,259589768
43461.257079,253629936
43461.257125,247881840
43461.257171,253902040
43461.257218,251347080
43461.257264,257032936
43461.257310,255427648
43461.257357,266512896
43461.257403,280119584
43461.257449,302276408
43461.257495,330562080
43461.257542,156334080
43461.257588,188445520
43461.257634,235706368
43461.257681,271143152
43461.257727,255144832
43461.257773,284788224
43461.257819,330107904
43461.257866,181203152
43461.257912,214183080
43461.257958,273637848
43461.258005,335691984
43461.258051,209532688
43461.258097,285688832
43461.258144,165185968
43461.258190,251897752
43461.258236,149771776
43461.258282,224257808
43461.258329,242142160
43461.258375,258539520
43461.258421,280589312
43461.258468,317005064
43461.258514,229375648
43461.258560,334975960
43461.258607,268444608
43461.258653,184689728
43461.258699,306293312
43461.258745,247969792
43461.258792,280594160
43461.258838,187935384
43461.258884,262874880
43461.258931,181958688
43461.258977,289343168
43461.259023,274845904
43461.259070,238580448
43461.259116,215260224
43461.259162,188347856
43461.259208,323414160
43461.259255,293859024
43461.259301,270484992
43461.259347,255201824
43461.259394,203055744
43461.259440,336302080
43461.259486,287722720
43461.259533,286873944
43461.259579,262727568
43461.259625,273353056
43461.259671,273120792
43461.259718,283734080
43461.259764,237594416
43461.259810,194382280
43461.259857,218374288
43461.259903,238341728
43461.259949,265496384
43461.259995,304070176
43461.260042,338613184
43461.260088,225529088
43461.260134,267925784
43461.260181,316062832
43461.260227,217893960
43461.260273,292309624
43461.260320,188838072
43461.260366,258491872
43461.260412,334871408
43461.260458,267366096
43461.260505,191889408
43461.260551,276092640
43461.260597,222903504
43461.260644,327833120
43461.260690,281193184
43461.260736,229582576
43461.260783,336512104
43461.260829,322543808
43461.260875,303592288
43461.260921,282743888
43461.260968,278805400
43461.261014,263460496
43461.261060,271431064
43461.261107,257952224
43461.261153,260531528
43461.261199,276274896
43461.261245,294123520
43461.261292,329686016
43461.261338,219908720
43461.261384,244175992
43461.261431,279183344
43461.261477,330887040
43461.261523,260872144
43461.261570,313396672
43461.261616,239060272
43461.261662,279653392
43461.261708,225089072
43461.261755,299020288
43461.261801,255513752
43461.261847,339196760
43461.261894,307311072
43461.261940,275009264
43461.261986,237838056
43461.262033,333814008
43461.262079,319549376
43461.262125,301962752
43461.262171,306351928
43461.262218,335512976
43461.262264,230258176
43461.262310,252205280
43461.262357,298776768
43461.262403,326925744
43461.262449,253303904
43461.262496,305709504
43461.262542,232305152
43461.262588,292778560
43461.262634,258183680
43461.262681,316824920
43461.262727,305166640
43461.262773,283696192
43461.262820,266869760
43461.262866,255642056
43461.262912,254551328
43461.262958,255234080
43461.263005,265393552
43461.263051,282495776
43461.263097,320711400
43461.263144,323467216
43461.263190,267868120
43461.263236,337865888
43461.263283,298505560
43461.263329,321737368
43461.263375,262693072
43461.263421,326843600
43461.263468,306668800
43461.263514,281646896
43461.263560,282893952
43461.263607,282805800
43461.263653,293059896
43461.263699,314926328
43461.263746,253340352
43461.263792,290533600
43461.263838,256784416
43461.263884,323591768
43461.263931,282255776
43461.263977,261126320
