PK publish timeStamp(t0),Assembly receive timeStamp(t1),HCD receive timeStamp(t2),Simulator receive timeStamp(t3)
2018-12-27T09:49:33.132979, 2018-12-27T11:03:47.806023, 2018-12-27T11:03:47.822793, 2018-12-27T11:03:47.823625
2018-12-27T11:04:11.463285, 2018-12-27T11:04:15.538312, 2018-12-27T11:04:15.539404, 2018-12-27T11:04:15.539505
2018-12-27T11:04:11.663384, 2018-12-27T11:04:15.634817, 2018-12-27T11:04:15.635744, 2018-12-27T11:04:15.635771
2018-12-27T11:04:11.678861, 2018-12-27T11:04:15.734512, 2018-12-27T11:04:15.735530, 2018-12-27T11:04:15.735570
2018-12-27T11:04:11.679448, 2018-12-27T11:04:15.806834, 2018-12-27T11:04:15.807853, 2018-12-27T11:04:15.807929
2018-12-27T11:04:11.680038, 2018-12-27T11:04:15.847001, 2018-12-27T11:04:15.857912, 2018-12-27T11:04:15.857943
2018-12-27T11:04:11.683940, 2018-12-27T11:04:15.929682, 2018-12-27T11:04:15.930342, 2018-12-27T11:04:15.930361
2018-12-27T11:04:11.684569, 2018-12-27T11:04:15.969534, 2018-12-27T11:04:15.970815, 2018-12-27T11:04:15.970849
2018-12-27T11:04:11.697326, 2018-12-27T11:04:16.007814, 2018-12-27T11:04:16.008796, 2018-12-27T11:04:16.008828
2018-12-27T11:04:11.698410, 2018-12-27T11:04:16.024991, 2018-12-27T11:04:16.025806, 2018-12-27T11:04:16.025829
2018-12-27T11:04:11.699028, 2018-12-27T11:04:16.058271, 2018-12-27T11:04:16.058809, 2018-12-27T11:04:16.058834
2018-12-27T11:04:11.711286, 2018-12-27T11:04:16.101910, 2018-12-27T11:04:16.102524, 2018-12-27T11:04:16.102559
2018-12-27T11:04:11.726325, 2018-12-27T11:04:16.159784, 2018-12-27T11:04:16.160554, 2018-12-27T11:04:16.160571
2018-12-27T11:04:11.746733, 2018-12-27T11:04:16.195105, 2018-12-27T11:04:16.195498, 2018-12-27T11:04:16.195523
2018-12-27T11:04:11.817361, 2018-12-27T11:04:16.218898, 2018-12-27T11:04:16.220840, 2018-12-27T11:04:16.220871
2018-12-27T11:04:11.828210, 2018-12-27T11:04:16.236170, 2018-12-27T11:04:16.236626, 2018-12-27T11:04:16.236653
2018-12-27T11:04:11.839214, 2018-12-27T11:04:16.298428, 2018-12-27T11:04:16.300713, 2018-12-27T11:04:16.300741
2018-12-27T11:04:11.904316, 2018-12-27T11:04:16.313829, 2018-12-27T11:04:16.314373, 2018-12-27T11:04:16.314392
2018-12-27T11:04:11.912690, 2018-12-27T11:04:16.318259, 2018-12-27T11:04:16.318843, 2018-12-27T11:04:16.318871
2018-12-27T11:04:11.923598, 2018-12-27T11:04:16.346356, 2018-12-27T11:04:16.347063, 2018-12-27T11:04:16.347082
2018-12-27T11:04:12.000145, 2018-12-27T11:04:16.394935, 2018-12-27T11:04:16.395906, 2018-12-27T11:04:16.395992
2018-12-27T11:04:12.011203, 2018-12-27T11:04:16.420535, 2018-12-27T11:04:16.421260, 2018-12-27T11:04:16.421279
2018-12-27T11:04:12.022563, 2018-12-27T11:04:16.458000, 2018-12-27T11:04:16.459392, 2018-12-27T11:04:16.459462
2018-12-27T11:04:12.096581, 2018-12-27T11:04:16.480837, 2018-12-27T11:04:16.481549, 2018-12-27T11:04:16.481566
2018-12-27T11:04:12.109961, 2018-12-27T11:04:16.563453, 2018-12-27T11:04:16.564552, 2018-12-27T11:04:16.564575
2018-12-27T11:04:12.120539, 2018-12-27T11:04:16.563582, 2018-12-27T11:04:16.564661, 2018-12-27T11:04:16.564674
2018-12-27T11:04:12.190328, 2018-12-27T11:04:16.563652, 2018-12-27T11:04:16.565937, 2018-12-27T11:04:16.565958
2018-12-27T11:04:12.202349, 2018-12-27T11:04:16.591873, 2018-12-27T11:04:16.593312, 2018-12-27T11:04:16.593341
2018-12-27T11:04:12.215151, 2018-12-27T11:04:16.629774, 2018-12-27T11:04:16.630357, 2018-12-27T11:04:16.630381
2018-12-27T11:04:12.288616, 2018-12-27T11:04:16.639452, 2018-12-27T11:04:16.640050, 2018-12-27T11:04:16.640075
2018-12-27T11:04:12.301261, 2018-12-27T11:04:16.661749, 2018-12-27T11:04:16.662237, 2018-12-27T11:04:16.662259
2018-12-27T11:04:12.312827, 2018-12-27T11:04:16.731491, 2018-12-27T11:04:16.732492, 2018-12-27T11:04:16.732516
2018-12-27T11:04:12.377896, 2018-12-27T11:04:16.750091, 2018-12-27T11:04:16.750512, 2018-12-27T11:04:16.750528
2018-12-27T11:04:12.389200, 2018-12-27T11:04:16.771493, 2018-12-27T11:04:16.772377, 2018-12-27T11:04:16.772398
2018-12-27T11:04:12.401449, 2018-12-27T11:04:16.790072, 2018-12-27T11:04:16.790713, 2018-12-27T11:04:16.790739
2018-12-27T11:04:12.440154, 2018-12-27T11:04:16.808818, 2018-12-27T11:04:16.809801, 2018-12-27T11:04:16.809832
2018-12-27T11:04:12.449848, 2018-12-27T11:04:16.823663, 2018-12-27T11:04:16.825326, 2018-12-27T11:04:16.825354
2018-12-27T11:04:12.464618, 2018-12-27T11:04:16.842676, 2018-12-27T11:04:16.845007, 2018-12-27T11:04:16.845040
2018-12-27T11:04:12.550307, 2018-12-27T11:04:16.852284, 2018-12-27T11:04:16.854247, 2018-12-27T11:04:16.854276
2018-12-27T11:04:12.561453, 2018-12-27T11:04:16.874356, 2018-12-27T11:04:16.874933, 2018-12-27T11:04:16.874958
