Time,CPU Usage
43468.222947,7.9
43468.222993,3.2
43468.223040,1.4
43468.223086,1.1
43468.223132,1.5
43468.223178,1.2
43468.223225,2.2
43468.223271,1.8
43468.223317,4.2
43468.223364,9.8
43468.223410,26.0
43468.223456,20.5
43468.223502,10.4
43468.223549,9.6
43468.223595,12.0
43468.223641,13.8
43468.223688,14.0
43468.223734,17.6
43468.223780,20.0
43468.223826,25.3
43468.223873,9.6
43468.223919,10.1
43468.223965,8.2
43468.224012,11.3
43468.224058,6.6
43468.224104,7.3
43468.224150,10.2
43468.224197,5.1
43468.224243,5.1
43468.224289,6.1
43468.224336,6.4
43468.224382,6.2
43468.224428,4.5
43468.224475,5.7
43468.224521,5.4
43468.224567,5.0
43468.224613,4.3
43468.224660,4.6
43468.224706,4.2
43468.224752,4.3
43468.224799,4.2
43468.224845,4.4
43468.224891,4.4
43468.224938,4.2
43468.224984,4.3
43468.225030,4.3
43468.225076,4.3
43468.225123,4.3
43468.225169,4.2
43468.225215,4.2
43468.225262,4.2
43468.225308,4.4
43468.225354,4.2
43468.225400,4.4
43468.225447,4.1
43468.225493,4.2
43468.225539,6.8
43468.225586,4.3
43468.225632,4.2
43468.225678,4.3
43468.225725,4.2
43468.225771,4.3
43468.225817,4.2
43468.225863,4.3
43468.225910,4.1
43468.225956,4.5
43468.226002,4.3
43468.226049,4.1
43468.226095,4.2
43468.226141,4.2
43468.226188,4.1
43468.226234,4.2
43468.226280,4.3
43468.226326,4.2
43468.226373,4.2
43468.226419,4.1
43468.226465,4.2
43468.226512,4.1
43468.226558,4.3
43468.226604,4.0
43468.226650,4.3
43468.226697,4.3
43468.226743,4.1
43468.226789,4.2
43468.226836,4.3
43468.226882,4.2
43468.226928,4.5
43468.226975,4.1
43468.227021,4.2
43468.227067,4.3
43468.227114,4.6
43468.227160,4.3
43468.227206,4.2
43468.227252,4.1
43468.227299,4.1
43468.227345,4.2
43468.227391,4.0
43468.227438,6.1
43468.227484,6.1
43468.227530,4.3
43468.227576,4.4
43468.227623,4.2
43468.227669,4.2
43468.227715,4.9
43468.227762,4.8
43468.227808,4.2
43468.227854,4.3
43468.227900,4.1
43468.227947,4.6
43468.227993,4.1
43468.228039,5.2
43468.228086,4.2
43468.228132,4.2
43468.228178,4.1
43468.228225,4.1
43468.228271,4.1
43468.228317,4.1
43468.228363,4.1
43468.228410,4.3
43468.228456,5.3
43468.228502,4.1
43468.228549,4.1
43468.228595,4.1
43468.228641,4.3
43468.228688,4.1
43468.228734,4.3
43468.228780,4.1
43468.228826,4.1
43468.228873,4.2
43468.228919,4.3
43468.228965,4.2
43468.229012,4.1
43468.229058,4.3
43468.229104,4.1
43468.229151,4.1
43468.229197,4.5
43468.229243,4.2
43468.229289,5.1
43468.229336,4.1
43468.229382,4.1
43468.229428,4.3
43468.229475,4.1
43468.229521,4.1
43468.229567,4.1
43468.229613,4.3
43468.229660,4.1
43468.229706,4.1
43468.229752,4.1
43468.229799,4.4
43468.229845,4.1
43468.229891,4.1
43468.229938,4.1
43468.229984,4.1
43468.230030,4.1
43468.230076,4.1
43468.230123,4.1
43468.230169,4.0
43468.230215,4.2
43468.230262,4.1
43468.230308,4.1
43468.230354,4.3
43468.230401,4.2
43468.230447,4.1
43468.230493,4.2
43468.230539,4.2
43468.230586,4.1
43468.230632,4.1
43468.230678,4.1
43468.230725,4.1
43468.230771,4.0
43468.230817,4.1
43468.230864,4.0
43468.230910,4.1
43468.230956,4.1
43468.231002,4.1
43468.231049,4.1
43468.231095,4.0
43468.231141,4.1
43468.231188,4.2
43468.231234,4.0
43468.231280,4.9
43468.231326,4.1
43468.231373,4.3
43468.231419,4.1
43468.231465,5.1
43468.231512,4.6
43468.231558,4.4
43468.231604,4.1
43468.231651,4.2
43468.231697,4.1
43468.231743,4.1
43468.231789,4.1
43468.231836,4.2
43468.231882,4.1
43468.231928,4.1
43468.231975,4.2
43468.232021,4.1
43468.232067,4.1
43468.232114,4.1
43468.232160,4.0
43468.232206,4.2
43468.232252,4.1
43468.232299,4.2
43468.232345,4.1
43468.232391,4.1
43468.232438,4.1
43468.232484,4.3
43468.232530,4.1
43468.232577,4.1
43468.232623,4.1
43468.232669,4.0
43468.232715,4.1
43468.232762,4.1
43468.232808,4.1
43468.232854,4.4
43468.232901,4.0
43468.232947,4.1
43468.232993,4.1
43468.233039,4.0
43468.233086,4.3
43468.233132,4.3
43468.233178,4.1
43468.233225,4.4
43468.233271,4.1
43468.233317,4.1
43468.233364,4.4
43468.233410,4.1
43468.233456,4.1
43468.233502,4.1
43468.233549,4.1
43468.233595,4.2
43468.233641,4.1
43468.233688,4.2
43468.233734,4.4
43468.233780,4.1
43468.233827,4.3
43468.233873,4.1
43468.233919,4.1
43468.233965,4.1
43468.234012,4.1
43468.234058,4.2
43468.234104,4.2
43468.234151,4.4
43468.234197,4.1
43468.234243,4.1
43468.234290,4.1
43468.234336,4.1
43468.234382,4.1
43468.234428,4.1
43468.234475,4.0
43468.234521,4.1
43468.234567,4.1
43468.234614,4.0
43468.234660,4.1
43468.234706,4.1
43468.234752,4.0
43468.234799,4.0
43468.234845,4.1
43468.234891,4.3
43468.234938,4.6
43468.234984,4.1
43468.235030,3.9
43468.235077,4.3
43468.235123,4.2
43468.235169,4.1
43468.235215,4.1
43468.235262,4.8
43468.235308,4.2
43468.235354,4.1
43468.235401,4.2
43468.235447,4.1
43468.235493,4.0
43468.235540,4.1
43468.235586,4.0
43468.235632,4.1
43468.235678,4.1
43468.235725,4.4
43468.235771,4.1
