Time,CPU Usage
43469.096474,16.4
43469.096520,9.2
43469.096566,9.3
43469.096613,14.9
43469.096659,10.4
43469.096705,7.8
43469.096751,20.2
43469.096798,4.6
43469.096844,8.9
43469.096890,8.1
43469.096937,4.2
43469.096983,5.2
43469.097029,4.1
43469.097076,3.9
43469.097122,4.8
43469.097168,4.9
43469.097214,3.8
43469.097261,4.5
43469.097307,3.9
43469.097353,4.5
43469.097400,4.1
43469.097446,3.9
43469.097492,3.8
43469.097538,4.1
43469.097585,3.7
43469.097631,3.9
43469.097677,3.9
43469.097724,3.8
43469.097770,4.1
43469.097816,3.9
43469.097863,6.3
43469.097909,7.8
43469.097955,7.0
43469.098001,9.9
43469.098048,6.1
43469.098094,7.2
43469.098140,6.6
43469.098187,6.0
43469.098233,5.8
43469.098279,6.1
43469.098326,5.6
43469.098372,5.4
43469.098418,5.8
43469.098464,5.5
43469.098511,6.4
43469.098557,5.6
43469.098603,5.1
43469.098650,7.9
43469.098696,6.3
43469.098742,5.2
43469.098788,5.1
43469.098835,5.3
43469.098881,4.9
43469.098927,4.9
43469.098974,5.1
43469.099020,5.0
43469.099066,6.9
43469.099113,4.9
43469.099159,5.0
43469.099205,5.1
43469.099251,7.3
43469.099298,4.9
43469.099344,4.9
43469.099390,4.9
43469.099437,5.0
43469.099483,5.0
43469.099529,5.0
43469.099576,5.4
43469.099622,5.0
43469.099668,4.9
43469.099714,4.9
43469.099761,5.9
43469.099807,6.0
43469.099853,5.8
43469.099900,5.6
43469.099946,5.9
43469.099992,6.1
43469.100039,5.9
43469.100085,5.8
43469.100131,5.9
43469.100177,5.8
43469.100224,6.1
43469.100270,6.1
43469.100316,5.9
43469.100363,5.8
43469.100409,5.8
43469.100455,5.8
43469.100501,5.8
43469.100548,5.9
43469.100594,5.7
43469.100640,5.9
43469.100687,5.8
43469.100733,5.9
43469.100779,6.0
43469.100826,5.8
43469.100872,5.9
43469.100918,5.8
43469.100964,5.7
43469.101011,5.8
43469.101057,5.9
43469.101103,5.9
43469.101150,5.8
43469.101196,5.9
43469.101242,5.9
43469.101289,5.7
43469.101335,5.8
43469.101381,5.8
43469.101427,5.8
43469.101474,5.8
43469.101520,5.8
43469.101566,5.8
43469.101613,5.9
43469.101659,5.8
43469.101705,5.8
43469.101752,5.8
43469.101798,5.8
43469.101844,6.0
43469.101890,5.7
43469.101937,5.8
43469.101983,5.8
43469.102029,5.7
43469.102076,5.7
43469.102122,5.8
43469.102168,5.8
43469.102215,6.0
43469.102261,5.8
43469.102307,5.9
43469.102353,6.1
43469.102400,5.7
43469.102446,6.9
43469.102492,5.7
43469.102539,5.9
43469.102585,5.8
43469.102631,5.9
43469.102677,5.8
43469.102724,5.7
43469.102770,6.3
43469.102816,5.8
43469.102863,5.7
43469.102909,6.1
43469.102955,6.2
43469.103002,6.4
43469.103048,5.7
43469.103094,5.7
43469.103140,6.1
43469.103187,5.9
43469.103233,5.7
43469.103279,6.0
43469.103326,5.7
43469.103372,5.8
43469.103418,5.6
43469.103465,5.7
43469.103511,5.7
43469.103557,7.3
43469.103603,5.8
43469.103650,5.8
43469.103696,5.8
43469.103742,5.7
43469.103789,5.9
43469.103835,5.9
43469.103881,5.8
43469.103928,5.8
43469.103974,5.8
43469.104020,5.8
43469.104066,5.7
43469.104113,5.8
43469.104159,5.7
43469.104205,5.8
43469.104252,5.8
43469.104298,5.7
43469.104344,5.7
43469.104390,5.8
43469.104437,5.8
43469.104483,5.8
43469.104529,5.7
43469.104576,5.6
43469.104622,5.8
43469.104668,6.4
43469.104715,5.8
43469.104761,5.6
43469.104807,5.9
43469.104853,5.8
43469.104900,5.7
43469.104946,5.6
43469.104992,5.6
43469.105039,5.8
43469.105085,5.8
43469.105131,5.8
43469.105178,5.7
43469.105224,5.6
43469.105270,5.8
43469.105316,5.7
43469.105363,5.7
43469.105409,5.8
43469.105455,5.7
43469.105502,5.8
43469.105548,5.8
43469.105594,5.7
43469.105641,5.8
43469.105687,5.8
43469.105733,6.0
43469.105779,5.7
43469.105826,5.8
43469.105872,5.7
43469.105918,5.8
43469.105965,5.8
43469.106011,5.8
43469.106057,5.7
43469.106103,5.8
43469.106150,5.7
43469.106196,5.7
43469.106242,5.7
43469.106289,5.7
43469.106335,5.8
43469.106381,5.9
43469.106428,5.8
43469.106474,5.7
43469.106520,5.8
43469.106566,5.7
43469.106613,5.8
43469.106659,5.7
43469.106705,6.5
43469.106752,5.8
43469.106798,6.0
43469.106844,5.7
43469.106891,5.8
43469.106937,5.8
43469.106983,5.7
43469.107029,5.9
43469.107076,5.7
43469.107122,5.8
43469.107168,5.8
43469.107215,5.7
43469.107261,6.3
43469.107307,5.8
43469.107353,6.1
43469.107400,5.6
43469.107446,5.8
43469.107492,5.7
43469.107539,5.7
43469.107585,5.7
43469.107631,6.0
43469.107678,5.9
43469.107724,5.7
43469.107770,5.7
43469.107816,5.8
43469.107863,5.9
43469.107909,5.8
43469.107955,6.1
43469.108002,5.9
43469.108048,5.8
43469.108094,5.9
43469.108141,5.9
43469.108187,5.9
43469.108233,5.8
43469.108279,5.9
43469.108326,5.9
43469.108372,5.8
43469.108418,5.8
43469.108465,6.1
43469.108511,5.8
43469.108557,5.9
43469.108603,5.8
43469.108650,5.9
43469.108696,5.8
43469.108742,6.0
43469.108789,5.9
43469.108835,5.8
43469.108881,5.8
43469.108928,5.9
43469.108974,5.9
43469.109020,5.9
43469.109066,5.7
43469.109113,5.8
43469.109159,6.2
43469.109205,5.8
43469.109252,5.9
43469.109298,5.8
43469.109344,5.8
43469.109391,5.8
43469.109437,5.8
43469.109483,5.8
43469.109529,5.8
43469.109576,5.9
43469.109622,5.8
43469.109668,5.9
43469.109715,5.8
43469.109761,5.8
43469.109807,5.9
43469.109854,5.8
43469.109900,5.9
43469.109946,5.8
43469.109992,5.7
43469.110039,5.8
43469.110085,5.7
43469.110131,5.8
43469.110178,5.8
43469.110224,5.1
43469.110270,4.4
43469.110316,4.4
43469.110363,4.5
43469.110409,4.6
43469.110455,4.4
43469.110502,5.2
43469.110548,4.6
43469.110594,4.4
43469.110641,4.5
43469.110687,4.4
43469.110733,4.5
43469.110779,5.4
43469.110826,4.4
43469.110872,4.4
43469.110918,4.4
43469.110965,4.4
43469.111011,4.4
43469.111057,4.5
43469.111104,4.4
43469.111150,4.4
43469.111196,4.3
43469.111242,4.3
43469.111289,4.4
43469.111335,4.4
43469.111381,4.5
43469.111428,4.6
43469.111474,4.5
43469.111520,4.3
43469.111567,4.2
43469.111613,4.3
43469.111659,4.3
43469.111705,4.3
43469.111752,4.5
43469.111798,4.3
43469.111844,4.4
43469.111891,4.3
43469.111937,4.5
43469.111983,4.3
43469.112030,4.3
43469.112076,4.3
43469.112122,4.4
43469.112168,4.3
43469.112215,4.4
43469.112261,4.3
43469.112307,4.3
43469.112354,4.3
43469.112400,4.3
43469.112446,4.8
43469.112492,4.3
43469.112539,4.3
43469.112585,4.3
43469.112631,4.4
43469.112678,4.3
43469.112724,4.2
43469.112770,4.3
43469.112817,4.3
43469.112863,4.3
43469.112909,4.3
43469.112955,4.3
43469.113002,4.3
43469.113048,4.3
43469.113094,4.3
43469.113141,4.6
43469.113187,4.3
43469.113233,4.2
43469.113280,4.3
43469.113326,4.3
43469.113372,4.3
43469.113418,4.3
43469.113465,4.3
43469.113511,4.3
43469.113557,5.0
43469.113604,4.3
43469.113650,4.2
43469.113696,4.3
43469.113742,4.4
43469.113789,4.3
43469.113835,4.4
43469.113881,4.3
43469.113928,4.3
43469.113974,4.3
43469.114020,4.3
43469.114067,4.2
43469.114113,4.4
43469.114159,4.3
43469.114205,4.2
43469.114252,4.3
43469.114298,4.4
43469.114344,4.2
43469.114391,4.3
43469.114437,4.2
43469.114483,4.3
43469.114530,4.3
43469.114576,4.3
43469.114622,4.3
43469.114668,4.3
43469.114715,4.4
43469.114761,4.3
43469.114807,4.2
43469.114854,4.4
43469.114900,4.3
43469.114946,4.3
43469.114993,4.3
43469.115039,4.3
43469.115085,4.4
43469.115131,4.3
43469.115178,4.3
43469.115224,4.4
43469.115270,4.3
43469.115317,4.2
43469.115363,4.3
43469.115409,4.4
43469.115456,4.2
43469.115502,4.4
43469.115548,4.2
43469.115594,4.3
43469.115641,4.3
43469.115687,4.3
43469.115733,4.3
43469.115780,4.3
43469.115826,4.3
43469.115872,4.4
43469.115918,4.3
43469.115965,4.3
43469.116011,4.4
43469.116057,4.3
43469.116104,4.4
43469.116150,4.3
43469.116196,4.3
43469.116243,4.4
43469.116289,4.3
43469.116335,4.4
43469.116381,4.3
43469.116428,4.3
43469.116474,4.3
43469.116520,4.3
43469.116567,4.3
43469.116613,4.3
43469.116659,4.3
43469.116706,4.3
43469.116752,4.3
43469.116798,4.3
43469.116844,4.3
43469.116891,4.3
43469.116937,4.3
43469.116983,4.4
43469.117030,4.3
43469.117076,4.3
43469.117122,4.3
43469.117168,4.3
43469.117215,4.4
43469.117261,4.2
43469.117307,4.3
43469.117354,4.4
43469.117400,4.3
43469.117446,4.4
43469.117493,4.3
43469.117539,4.3
43469.117585,4.3
43469.117631,4.3
43469.117678,4.3
43469.117724,4.3
43469.117770,4.0
43469.117817,4.3
43469.117863,4.4
43469.117909,4.3
43469.117956,4.3
43469.118002,4.3
43469.118048,4.2
43469.118094,4.4
43469.118141,4.3
43469.118187,4.4
43469.118233,4.3
43469.118280,4.3
43469.118326,4.3
43469.118372,4.4
43469.118419,4.3
43469.118465,4.3
43469.118511,4.3
43469.118557,4.3
43469.118604,4.4
43469.118650,4.4
43469.118696,4.3
43469.118743,4.2
43469.118789,4.4
43469.118835,4.3
43469.118881,4.3
43469.118928,4.3
43469.118974,4.3
43469.119020,4.3
43469.119067,4.3
43469.119113,4.2
43469.119159,4.4
43469.119206,4.3
43469.119252,4.2
43469.119298,4.3
43469.119344,4.3
43469.119391,4.4
43469.119437,4.3
43469.119483,4.3
43469.119530,4.3
43469.119576,4.4
43469.119622,4.3
43469.119669,4.4
43469.119715,4.2
43469.119761,4.4
43469.119807,4.3
43469.119854,4.3
43469.119900,4.2
43469.119946,4.3
43469.119993,4.3
43469.120039,4.4
43469.120085,4.2
43469.120132,4.4
43469.120178,4.3
43469.120224,4.3
43469.120270,4.3
43469.120317,4.3
43469.120363,4.3
43469.120409,4.1
43469.120456,3.7
43469.120502,3.6
43469.120548,3.4
43469.120595,3.6
43469.120641,3.4
43469.120687,3.6
43469.120733,3.5
43469.120780,3.6
43469.120826,3.6
43469.120872,3.5
43469.120919,3.6
43469.120965,3.5
43469.121011,3.5
43469.121057,3.7
43469.121104,3.6
43469.121150,3.5
43469.121196,3.5
43469.121243,3.6
