Time,Used
43469.096432,38744576
43469.096474,70201856
43469.096520,100610560
43469.096566,128922112
43469.096612,157233664
43469.096659,186593792
43469.096705,213856768
43469.096751,242168320
43469.096798,46443880
43469.096844,75804008
43469.096890,103066984
43469.096937,129281384
43469.096983,157592936
43469.097029,184855912
43469.097075,212118888
43469.097122,240430440
43469.097168,45311712
43469.097214,73623264
43469.097261,99837664
43469.097307,128149216
43469.097353,155412192
43469.097399,182675168
43469.097446,209938144
43469.097492,237201120
43469.097538,40120552
43469.097585,69480680
43469.097631,95695080
43469.097677,124006632
43469.097724,152318184
43469.097770,179581160
43469.097816,207892712
43469.097862,241447144
43469.097909,56891520
43469.097955,96737408
43469.098001,136583296
43469.098048,176429184
43469.098094,216275072
43469.098140,255072384
43469.098187,70470672
43469.098233,110316560
43469.098279,149113872
43469.098325,188959760
43469.098372,228805648
43469.098418,44253032
43469.098464,83050344
43469.098511,122896232
43469.098557,162742120
43469.098603,201539432
43469.098649,242433896
43469.098696,55845184
43469.098742,95691072
43469.098788,135536960
43469.098835,175382848
43469.098881,215228736
43469.098927,254026048
43469.098974,68492400
43469.099020,108338288
43469.099066,148184176
43469.099112,186981488
43469.099159,226827376
43469.099205,42244576
43469.099251,82090464
43469.099298,120887776
43469.099344,160733664
43469.099390,200579552
43469.099437,240425440
43469.099483,53815936
43469.099529,93661824
43469.099575,133507712
43469.099622,173353600
43469.099668,212150912
43469.099714,253045376
43469.099761,66460240
43469.099807,105257552
43469.099853,146152016
43469.099900,184949328
43469.099946,224795216
43469.099992,39172512
43469.100038,79018400
43469.100085,117815712
43469.100131,157661600
43469.100177,197507488
43469.100224,237353376
43469.100270,51813440
43469.100316,90610752
43469.100362,130456640
43469.100409,170302528
43469.100455,211196992
43469.100501,249994304
43469.100548,62305448
43469.100594,102151336
43469.100640,143045800
43469.100687,181843112
43469.100733,221689000
43469.100779,35162224
43469.100825,76056688
43469.100872,115902576
43469.100918,155748464
43469.100964,194545776
43469.101011,234391664
43469.101057,47706896
43469.101103,87552784
43469.101150,127398672
43469.101196,167244560
43469.101242,207090448
43469.101288,246936336
43469.101335,59274024
43469.101381,99119912
43469.101427,138965800
43469.101474,178811688
43469.101520,218657576
43469.101566,257454888
43469.101613,70818744
43469.101659,110664632
43469.101705,149461944
43469.101751,190356408
43469.101798,230202296
43469.101844,43581504
43469.101890,82378816
43469.101937,122224704
43469.101983,162070592
43469.102029,201916480
43469.102076,241762368
43469.102122,54055152
43469.102168,94949616
43469.102214,133746928
43469.102261,173592816
43469.102307,213438704
43469.102353,253284592
43469.102400,65616024
43469.102446,105461912
43469.102492,145307800
43469.102538,185153688
43469.102585,224999576
43469.102631,37323024
43469.102677,77168912
43469.102724,117014800
43469.102770,155812112
43469.102816,195658000
43469.102863,235503888
43469.102909,48861072
43469.102955,88706960
43469.103001,127504272
43469.103048,167350160
43469.103094,207196048
43469.103140,247041936
43469.103187,59368176
43469.103233,99214064
43469.103279,139059952
43469.103326,178905840
43469.103372,217703152
43469.103418,258597616
43469.103464,71960112
43469.103511,111806000
43469.103557,150603312
43469.103603,190449200
43469.103650,230295088
43469.103696,42632896
43469.103742,82478784
43469.103789,122324672
43469.103835,162170560
43469.103881,200967872
43469.103927,241862336
43469.103974,53126688
43469.104020,94021152
43469.104066,132818464
43469.104113,172664352
43469.104159,212510240
43469.104205,252356128
43469.104251,65720368
43469.104298,104517680
43469.104344,144363568
43469.104390,184209456
43469.104437,224055344
43469.104483,37430664
43469.104529,77276552
43469.104576,117122440
43469.104622,156968328
43469.104668,195765640
43469.104714,235611528
43469.104761,48976352
43469.104807,88822240
43469.104853,128668128
43469.104900,168514016
43469.104946,208359904
43469.104992,247157216
43469.105039,60540432
43469.105085,100386320
43469.105131,139183632
43469.105177,180078096
43469.105224,218875408
43469.105270,258721296
43469.105316,72081608
43469.105363,111927496
43469.105409,151773384
43469.105455,190570696
43469.105502,230416584
43469.105548,43795552
43469.105594,82592864
43469.105640,122438752
43469.105687,162284640
43469.105733,202130528
43469.105779,241976416
43469.105826,54298976
43469.105872,94144864
43469.105918,133990752
43469.105964,173836640
43469.106011,212633952
43469.106057,253528416
43469.106103,66893456
43469.106150,105690768
43469.106196,145536656
43469.106242,184333968
43469.106289,224179856
43469.106335,38607784
43469.106381,78453672
43469.106427,117250984
43469.106474,157096872
43469.106520,196942760
43469.106566,236788648
43469.106613,50147984
43469.106659,88945296
43469.106705,128791184
43469.106752,168637072
43469.106798,209531536
43469.106844,248328848
43469.106890,61697520
43469.106937,100494832
43469.106983,140340720
43469.107029,180186608
43469.107076,218983920
43469.107122,34467872
43469.107168,73265184
43469.107215,113111072
43469.107261,151908384
43469.107307,191754272
43469.107353,231600160
43469.107400,44972392
43469.107446,84818280
43469.107492,124664168
43469.107539,164510056
43469.107585,203307368
43469.107631,243153256
43469.107677,56503392
43469.107724,96349280
43469.107770,135146592
43469.107816,174992480
43469.107863,214838368
43469.107909,254684256
43469.107955,68052992
43469.108002,107898880
43469.108048,146696192
43469.108094,186542080
43469.108140,226387968
43469.108187,39773112
43469.108233,79619000
43469.108279,119464888
43469.108326,159310776
43469.108372,198108088
43469.108418,237953976
43469.108465,51304240
43469.108511,92198704
43469.108557,130996016
43469.108603,169793328
43469.108650,209639216
43469.108696,249485104
43469.108742,62854896
43469.108789,102700784
43469.108835,142546672
43469.108881,181343984
43469.108927,221189872
43469.108974,34559184
43469.109020,74405072
43469.109066,114250960
43469.109113,154096848
43469.109159,193942736
43469.109205,232740048
43469.109252,45058384
43469.109298,85952848
43469.109344,125798736
43469.109390,164596048
43469.109437,205490512
43469.109483,244287824
43469.109529,57657136
43469.109576,96454448
