Time,Used,Committed,Max
43469.096432,38744576,383778816,2036334592
43469.096474,70201856,383778816,2036334592
43469.096520,100610560,383778816,2036334592
43469.096566,128922112,383778816,2036334592
43469.096612,157233664,383778816,2036334592
43469.096659,186593792,383778816,2036334592
43469.096705,213856768,383778816,2036334592
43469.096751,242168320,383778816,2036334592
43469.096798,46443880,383778816,2036334592
43469.096844,75804008,383778816,2036334592
43469.096890,103066984,383778816,2036334592
43469.096937,129281384,383778816,2036334592
43469.096983,157592936,383778816,2036334592
43469.097029,184855912,383778816,2036334592
43469.097075,212118888,383778816,2036334592
43469.097122,240430440,383778816,2036334592
43469.097168,45311712,383778816,2036334592
43469.097214,73623264,383778816,2036334592
43469.097261,99837664,383778816,2036334592
43469.097307,128149216,383778816,2036334592
43469.097353,155412192,383778816,2036334592
43469.097399,182675168,383778816,2036334592
43469.097446,209938144,383778816,2036334592
43469.097492,237201120,383778816,2036334592
43469.097538,40120552,383778816,2036334592
43469.097585,69480680,383778816,2036334592
43469.097631,95695080,383778816,2036334592
43469.097677,124006632,383778816,2036334592
43469.097724,152318184,383778816,2036334592
43469.097770,179581160,383778816,2036334592
43469.097816,207892712,383778816,2036334592
43469.097862,241447144,383778816,2036334592
43469.097909,56891520,383778816,2036334592
43469.097955,96737408,383778816,2036334592
43469.098001,136583296,383778816,2036334592
43469.098048,176429184,383778816,2036334592
43469.098094,216275072,383778816,2036334592
43469.098140,255072384,383778816,2036334592
43469.098187,70470672,383778816,2036334592
43469.098233,110316560,383778816,2036334592
43469.098279,149113872,383778816,2036334592
43469.098325,188959760,383778816,2036334592
43469.098372,228805648,383778816,2036334592
43469.098418,44253032,383778816,2036334592
43469.098464,83050344,383778816,2036334592
43469.098511,122896232,383778816,2036334592
43469.098557,162742120,383778816,2036334592
43469.098603,201539432,383778816,2036334592
43469.098649,242433896,383778816,2036334592
43469.098696,55845184,383778816,2036334592
43469.098742,95691072,383778816,2036334592
43469.098788,135536960,383778816,2036334592
43469.098835,175382848,383778816,2036334592
43469.098881,215228736,383778816,2036334592
43469.098927,254026048,383778816,2036334592
43469.098974,68492400,383778816,2036334592
43469.099020,108338288,383778816,2036334592
43469.099066,148184176,383778816,2036334592
43469.099112,186981488,383778816,2036334592
43469.099159,226827376,383778816,2036334592
43469.099205,42244576,383778816,2036334592
43469.099251,82090464,383778816,2036334592
43469.099298,120887776,383778816,2036334592
43469.099344,160733664,383778816,2036334592
43469.099390,200579552,383778816,2036334592
43469.099437,240425440,383778816,2036334592
43469.099483,53815936,383778816,2036334592
43469.099529,93661824,383778816,2036334592
43469.099575,133507712,383778816,2036334592
43469.099622,173353600,383778816,2036334592
43469.099668,212150912,383778816,2036334592
43469.099714,253045376,383778816,2036334592
43469.099761,66460240,383778816,2036334592
43469.099807,105257552,383778816,2036334592
43469.099853,146152016,383778816,2036334592
43469.099900,184949328,383778816,2036334592
43469.099946,224795216,383778816,2036334592
43469.099992,39172512,383778816,2036334592
43469.100038,79018400,383778816,2036334592
43469.100085,117815712,383778816,2036334592
43469.100131,157661600,383778816,2036334592
43469.100177,197507488,383778816,2036334592
43469.100224,237353376,383778816,2036334592
43469.100270,51813440,383778816,2036334592
43469.100316,90610752,383778816,2036334592
43469.100362,130456640,383778816,2036334592
43469.100409,170302528,383778816,2036334592
43469.100455,211196992,383778816,2036334592
43469.100501,249994304,383778816,2036334592
43469.100548,62305448,383778816,2036334592
43469.100594,102151336,383778816,2036334592
43469.100640,143045800,383778816,2036334592
43469.100687,181843112,383778816,2036334592
43469.100733,221689000,383778816,2036334592
43469.100779,35162224,383778816,2036334592
43469.100825,76056688,383778816,2036334592
43469.100872,115902576,383778816,2036334592
43469.100918,155748464,383778816,2036334592
43469.100964,194545776,383778816,2036334592
43469.101011,234391664,383778816,2036334592
43469.101057,47706896,383778816,2036334592
43469.101103,87552784,383778816,2036334592
43469.101150,127398672,383778816,2036334592
43469.101196,167244560,383778816,2036334592
43469.101242,207090448,383778816,2036334592
43469.101288,246936336,383778816,2036334592
43469.101335,59274024,383778816,2036334592
43469.101381,99119912,383778816,2036334592
43469.101427,138965800,383778816,2036334592
43469.101474,178811688,383778816,2036334592
43469.101520,218657576,383778816,2036334592
43469.101566,257454888,383778816,2036334592
43469.101613,70818744,383778816,2036334592
43469.101659,110664632,383778816,2036334592
43469.101705,149461944,383778816,2036334592
43469.101751,190356408,383778816,2036334592
43469.101798,230202296,383778816,2036334592
43469.101844,43581504,383778816,2036334592
43469.101890,82378816,383778816,2036334592
43469.101937,122224704,383778816,2036334592
43469.101983,162070592,383778816,2036334592
43469.102029,201916480,383778816,2036334592
43469.102076,241762368,383778816,2036334592
43469.102122,54055152,383778816,2036334592
43469.102168,94949616,383778816,2036334592
43469.102214,133746928,383778816,2036334592
43469.102261,173592816,383778816,2036334592
43469.102307,213438704,383778816,2036334592
43469.102353,253284592,383778816,2036334592
43469.102400,65616024,383778816,2036334592
43469.102446,105461912,383778816,2036334592
43469.102492,145307800,383778816,2036334592
43469.102538,185153688,383778816,2036334592
43469.102585,224999576,383778816,2036334592
43469.102631,37323024,383778816,2036334592
43469.102677,77168912,383778816,2036334592
43469.102724,117014800,383778816,2036334592
43469.102770,155812112,383778816,2036334592
43469.102816,195658000,383778816,2036334592
43469.102863,235503888,383778816,2036334592
43469.102909,48861072,383778816,2036334592
43469.102955,88706960,383778816,2036334592
43469.103001,127504272,383778816,2036334592
43469.103048,167350160,383778816,2036334592
43469.103094,207196048,383778816,2036334592
43469.103140,247041936,383778816,2036334592
43469.103187,59368176,383778816,2036334592
43469.103233,99214064,383778816,2036334592
43469.103279,139059952,383778816,2036334592
43469.103326,178905840,383778816,2036334592
43469.103372,217703152,383778816,2036334592
43469.103418,258597616,383778816,2036334592
43469.103464,71960112,383778816,2036334592
43469.103511,111806000,383778816,2036334592
43469.103557,150603312,383778816,2036334592
43469.103603,190449200,383778816,2036334592
43469.103650,230295088,383778816,2036334592
43469.103696,42632896,383778816,2036334592
43469.103742,82478784,383778816,2036334592
43469.103789,122324672,383778816,2036334592
43469.103835,162170560,383778816,2036334592
43469.103881,200967872,383778816,2036334592
43469.103927,241862336,383778816,2036334592
43469.103974,53126688,383778816,2036334592
43469.104020,94021152,383778816,2036334592
43469.104066,132818464,383778816,2036334592
43469.104113,172664352,383778816,2036334592
43469.104159,212510240,383778816,2036334592
43469.104205,252356128,383778816,2036334592
43469.104251,65720368,383778816,2036334592
43469.104298,104517680,383778816,2036334592
43469.104344,144363568,383778816,2036334592
43469.104390,184209456,383778816,2036334592
43469.104437,224055344,383778816,2036334592
43469.104483,37430664,383778816,2036334592
43469.104529,77276552,383778816,2036334592
43469.104576,117122440,383778816,2036334592
43469.104622,156968328,383778816,2036334592
43469.104668,195765640,383778816,2036334592
43469.104714,235611528,383778816,2036334592
43469.104761,48976352,383778816,2036334592
43469.104807,88822240,383778816,2036334592
43469.104853,128668128,383778816,2036334592
43469.104900,168514016,383778816,2036334592
43469.104946,208359904,383778816,2036334592
43469.104992,247157216,383778816,2036334592
43469.105039,60540432,383778816,2036334592
43469.105085,100386320,383778816,2036334592
43469.105131,139183632,383778816,2036334592
43469.105177,180078096,383778816,2036334592
43469.105224,218875408,383778816,2036334592
43469.105270,258721296,383778816,2036334592
43469.105316,72081608,383778816,2036334592
43469.105363,111927496,383778816,2036334592
43469.105409,151773384,383778816,2036334592
43469.105455,190570696,383778816,2036334592
43469.105502,230416584,383778816,2036334592
43469.105548,43795552,383778816,2036334592
43469.105594,82592864,383778816,2036334592
43469.105640,122438752,383778816,2036334592
43469.105687,162284640,383778816,2036334592
43469.105733,202130528,383778816,2036334592
43469.105779,241976416,383778816,2036334592
43469.105826,54298976,383778816,2036334592
43469.105872,94144864,383778816,2036334592
43469.105918,133990752,383778816,2036334592
43469.105964,173836640,383778816,2036334592
43469.106011,212633952,383778816,2036334592
43469.106057,253528416,383778816,2036334592
43469.106103,66893456,383778816,2036334592
43469.106150,105690768,383778816,2036334592
43469.106196,145536656,383778816,2036334592
43469.106242,184333968,383778816,2036334592
43469.106289,224179856,383778816,2036334592
43469.106335,38607784,383778816,2036334592
43469.106381,78453672,383778816,2036334592
43469.106427,117250984,383778816,2036334592
43469.106474,157096872,383778816,2036334592
43469.106520,196942760,383778816,2036334592
43469.106566,236788648,383778816,2036334592
43469.106613,50147984,383778816,2036334592
43469.106659,88945296,383778816,2036334592
43469.106705,128791184,383778816,2036334592
43469.106752,168637072,383778816,2036334592
43469.106798,209531536,383778816,2036334592
43469.106844,248328848,383778816,2036334592
43469.106890,61697520,383778816,2036334592
43469.106937,100494832,383778816,2036334592
43469.106983,140340720,383778816,2036334592
43469.107029,180186608,383778816,2036334592
43469.107076,218983920,383778816,2036334592
43469.107122,34467872,383778816,2036334592
43469.107168,73265184,383778816,2036334592
43469.107215,113111072,383778816,2036334592
43469.107261,151908384,383778816,2036334592
43469.107307,191754272,383778816,2036334592
43469.107353,231600160,383778816,2036334592
43469.107400,44972392,383778816,2036334592
43469.107446,84818280,383778816,2036334592
43469.107492,124664168,383778816,2036334592
43469.107539,164510056,383778816,2036334592
43469.107585,203307368,383778816,2036334592
43469.107631,243153256,383778816,2036334592
43469.107677,56503392,383778816,2036334592
43469.107724,96349280,383778816,2036334592
43469.107770,135146592,383778816,2036334592
43469.107816,174992480,383778816,2036334592
43469.107863,214838368,383778816,2036334592
43469.107909,254684256,383778816,2036334592
43469.107955,68052992,383778816,2036334592
43469.108002,107898880,383778816,2036334592
43469.108048,146696192,383778816,2036334592
43469.108094,186542080,383778816,2036334592
43469.108140,226387968,383778816,2036334592
43469.108187,39773112,383778816,2036334592
43469.108233,79619000,383778816,2036334592
43469.108279,119464888,383778816,2036334592
43469.108326,159310776,383778816,2036334592
43469.108372,198108088,383778816,2036334592
43469.108418,237953976,383778816,2036334592
43469.108465,51304240,383778816,2036334592
43469.108511,92198704,383778816,2036334592
43469.108557,130996016,383778816,2036334592
43469.108603,169793328,383778816,2036334592
43469.108650,209639216,383778816,2036334592
43469.108696,249485104,383778816,2036334592
43469.108742,62854896,383778816,2036334592
43469.108789,102700784,383778816,2036334592
43469.108835,142546672,383778816,2036334592
43469.108881,181343984,383778816,2036334592
43469.108927,221189872,383778816,2036334592
43469.108974,34559184,383778816,2036334592
43469.109020,74405072,383778816,2036334592
43469.109066,114250960,383778816,2036334592
43469.109113,154096848,383778816,2036334592
43469.109159,193942736,383778816,2036334592
43469.109205,232740048,383778816,2036334592
43469.109252,45058384,383778816,2036334592
43469.109298,85952848,383778816,2036334592
43469.109344,125798736,383778816,2036334592
43469.109390,164596048,383778816,2036334592
43469.109437,205490512,383778816,2036334592
43469.109483,244287824,383778816,2036334592
43469.109529,57657136,383778816,2036334592
43469.109576,96454448,383778816,2036334592
43469.109622,136300336,383778816,2036334592
43469.109668,176146224,383778816,2036334592
43469.109715,215992112,383778816,2036334592
43469.109761,255838000,383778816,2036334592
43469.109807,68165360,383778816,2036334592
43469.109853,108011248,383778816,2036334592
43469.109900,147857136,383778816,2036334592
43469.109946,187703024,383778816,2036334592
43469.109992,226500336,383778816,2036334592
43469.110039,39864784,383778816,2036334592
43469.110085,79710672,383778816,2036334592
43469.110131,118507984,383778816,2036334592
43469.110178,158353872,383778816,2036334592
43469.110224,192956880,383778816,2036334592
43469.110270,221268432,383778816,2036334592
43469.110316,248531408,383778816,2036334592
43469.110363,49317648,383778816,2036334592
43469.110409,77629200,383778816,2036334592
43469.110455,105940752,383778816,2036334592
43469.110502,133203728,383778816,2036334592
43469.110548,160466704,383778816,2036334592
43469.110594,188778256,383778816,2036334592
43469.110640,216041232,383778816,2036334592
43469.110687,244352784,383778816,2036334592
43469.110733,46179840,383778816,2036334592
43469.110779,73442816,383778816,2036334592
43469.110826,101754368,383778816,2036334592
43469.110872,130065920,383778816,2036334592
43469.110918,157328896,383778816,2036334592
43469.110965,185640448,383778816,2036334592
43469.111011,213952000,383778816,2036334592
43469.111057,241214976,383778816,2036334592
43469.111103,44101584,383778816,2036334592
43469.111150,71364560,383778816,2036334592
43469.111196,98627536,383778816,2036334592
43469.111242,126939088,383778816,2036334592
43469.111289,155250640,383778816,2036334592
43469.111335,183562192,383778816,2036334592
43469.111381,210825168,383778816,2036334592
43469.111428,238088144,383778816,2036334592
43469.111474,39926752,383778816,2036334592
43469.111520,69286880,383778816,2036334592
43469.111566,96549856,383778816,2036334592
43469.111613,124861408,383778816,2036334592
43469.111659,152124384,383778816,2036334592
43469.111705,180435936,383778816,2036334592
43469.111752,207698912,383778816,2036334592
43469.111798,234961888,383778816,2036334592
43469.111844,36796336,383778816,2036334592
43469.111891,65107888,383778816,2036334592
43469.111937,93419440,383778816,2036334592
43469.111983,120682416,383778816,2036334592
43469.112029,148993968,383778816,2036334592
43469.112076,177305520,383778816,2036334592
43469.112122,204568496,383778816,2036334592
43469.112168,232880048,383778816,2036334592
43469.112215,34719184,383778816,2036334592
43469.112261,61982160,383778816,2036334592
43469.112307,90293712,383778816,2036334592
43469.112354,118605264,383778816,2036334592
43469.112400,145868240,383778816,2036334592
43469.112446,173131216,383778816,2036334592
43469.112492,201442768,383778816,2036334592
