Time,Used,Committed,Max
43472.356812,236796928,383778816,2036334592
43472.356855,71519232,383778816,2036334592
43472.356901,112413696,383778816,2036334592
43472.356947,152259584,383778816,2036334592
43472.356994,192105472,383778816,2036334592
43472.357040,231951360,383778816,2036334592
43472.357086,47401984,383778816,2036334592
43472.357133,87247872,383778816,2036334592
43472.357179,127093760,383778816,2036334592
43472.357225,166939648,383778816,2036334592
43472.357272,205736960,383778816,2036334592
43472.357318,245582848,383778816,2036334592
43472.357364,62002744,383778816,2036334592
43472.357410,100800056,383778816,2036334592
43472.357457,139597368,383778816,2036334592
43472.357503,179443256,383778816,2036334592
43472.357549,219289144,383778816,2036334592
43472.357596,257037880,383778816,2036334592
43472.357642,72251584,383778816,2036334592
43472.357688,111048896,383778816,2036334592
43472.357735,149846208,383778816,2036334592
43472.357781,189692096,383778816,2036334592
43472.357827,228489408,383778816,2036334592
43472.357873,42906080,383778816,2036334592
43472.357920,81703392,383778816,2036334592
43472.357966,121549280,383778816,2036334592
43472.358012,161395168,383778816,2036334592
43472.358059,199143904,383778816,2036334592
43472.358105,238989792,383778816,2036334592
43472.358151,52365992,383778816,2036334592
43472.358197,92211880,383778816,2036334592
43472.358244,131009192,383778816,2036334592
43472.358290,170855080,383778816,2036334592
43472.358336,209652392,383778816,2036334592
43472.358383,248449704,383778816,2036334592
43472.358429,62991616,383778816,2036334592
43472.358475,101788928,383778816,2036334592
43472.358522,140586240,383778816,2036334592
43472.358568,179383552,383778816,2036334592
43472.358614,219229440,383778816,2036334592
43472.358660,31553432,383778816,2036334592
43472.358707,71399320,383778816,2036334592
43472.358753,110196632,383778816,2036334592
43472.358799,150042520,383778816,2036334592
43472.358846,189888408,383778816,2036334592
43472.358892,228685720,383778816,2036334592
43472.358938,41880424,383778816,2036334592
43472.358985,80677736,383778816,2036334592
43472.359031,121572200,383778816,2036334592
43472.359077,160369512,383778816,2036334592
43472.359123,199166824,383778816,2036334592
43472.359170,237964136,383778816,2036334592
43472.359216,51397712,383778816,2036334592
43472.359262,91243600,383778816,2036334592
43472.359309,130040912,383778816,2036334592
43472.359355,169886800,383778816,2036334592
43472.359401,208684112,383778816,2036334592
43472.359447,247481424,383778816,2036334592
43472.359494,60914864,383778816,2036334592
43472.359540,100760752,383778816,2036334592
43472.359586,140606640,383778816,2036334592
43472.359633,179403952,383778816,2036334592
43472.359679,218201264,383778816,2036334592
43472.359725,32640600,383778816,2036334592
43472.359772,71437912,383778816,2036334592
43472.359818,110235224,383778816,2036334592
43472.359864,149032536,383778816,2036334592
43472.359910,189927000,383778816,2036334592
43472.359957,227675736,383778816,2036334592
43472.360003,42004352,383778816,2036334592
43472.360049,81850240,383778816,2036334592
43472.360096,119598976,383778816,2036334592
43472.360142,159444864,383778816,2036334592
43472.360188,198242176,383778816,2036334592
43472.360235,238088064,383778816,2036334592
43472.360281,51489312,383778816,2036334592
43472.360327,91335200,383778816,2036334592
43472.360373,130132512,383778816,2036334592
43472.360420,168929824,383778816,2036334592
43472.360466,208775712,383778816,2036334592
43472.360512,247573024,383778816,2036334592
43472.360559,61979560,383778816,2036334592
43472.360605,100776872,383778816,2036334592
43472.360651,139574184,383778816,2036334592
43472.360698,178371496,383778816,2036334592
43472.360744,218217384,383778816,2036334592
43472.360790,257014696,383778816,2036334592
43472.360836,70362744,383778816,2036334592
43472.360883,109160056,383778816,2036334592
43472.360929,149005944,383778816,2036334592
43472.360975,187803256,383778816,2036334592
43472.361022,227649144,383778816,2036334592
43472.361068,39997352,383778816,2036334592
43472.361114,78794664,383778816,2036334592
43472.361160,117591976,383778816,2036334592
43472.361207,157437864,383778816,2036334592
43472.361253,197283752,383778816,2036334592
43472.361299,236081064,383778816,2036334592
43472.361346,48432832,383778816,2036334592
43472.361392,87230144,383778816,2036334592
43472.361438,127076032,383778816,2036334592
43472.361485,165873344,383778816,2036334592
43472.361531,205719232,383778816,2036334592
43472.361577,244516544,383778816,2036334592
43472.361623,57886104,383778816,2036334592
43472.361670,96683416,383778816,2036334592
43472.361716,136529304,383778816,2036334592
43472.361762,175326616,383778816,2036334592
43472.361809,214123928,383778816,2036334592
43472.361855,252921240,383778816,2036334592
43472.361901,66285504,383778816,2036334592
43472.361948,105082816,383778816,2036334592
43472.361994,144928704,383778816,2036334592
43472.362040,183726016,383778816,2036334592
43472.362086,223571904,383778816,2036334592
43472.362133,34844048,383778816,2036334592
43472.362179,74689936,383778816,2036334592
43472.362225,113487248,383778816,2036334592
43472.362272,153333136,383778816,2036334592
43472.362318,193179024,383778816,2036334592
43472.362364,230927760,383778816,2036334592
43472.362410,43248432,383778816,2036334592
43472.362457,84142896,383778816,2036334592
43472.362503,121891632,383778816,2036334592
43472.362549,161737520,383778816,2036334592
43472.362596,200534832,383778816,2036334592
43472.362642,239332144,383778816,2036334592
43472.362688,52701040,383778816,2036334592
43472.362735,92546928,383778816,2036334592
43472.362781,131344240,383778816,2036334592
43472.362827,171190128,383778816,2036334592
43472.362873,209987440,383778816,2036334592
43472.362920,248784752,383778816,2036334592
43472.362966,62136000,383778816,2036334592
43472.363012,101981888,383778816,2036334592
43472.363059,140779200,383778816,2036334592
43472.363105,179576512,383778816,2036334592
43472.363151,219422400,383778816,2036334592
43472.363198,258219712,383778816,2036334592
43472.363244,70535760,383778816,2036334592
43472.363290,110381648,383778816,2036334592
43472.363336,149178960,383778816,2036334592
43472.363383,187976272,383778816,2036334592
43472.363429,227822160,383778816,2036334592
43472.363475,40172064,383778816,2036334592
43472.363522,80017952,383778816,2036334592
43472.363568,118815264,383778816,2036334592
43472.363614,158661152,383778816,2036334592
43472.363660,196409888,383778816,2036334592
43472.363707,237304352,383778816,2036334592
43472.363753,49612976,383778816,2036334592
43472.363799,88410288,383778816,2036334592
43472.363846,128256176,383778816,2036334592
43472.363892,167053488,383778816,2036334592
43472.363938,205850800,383778816,2036334592
43472.363985,245696688,383778816,2036334592
43472.364031,57999616,383778816,2036334592
43472.364077,97845504,383778816,2036334592
43472.364123,136642816,383778816,2036334592
43472.364170,176488704,383778816,2036334592
43472.364216,215286016,383778816,2036334592
43472.364262,254083328,383778816,2036334592
43472.364309,67467056,383778816,2036334592
43472.364355,106264368,383778816,2036334592
43472.364401,145061680,383778816,2036334592
43472.364448,184907568,383778816,2036334592
43472.364494,223704880,383778816,2036334592
43472.364540,34979328,383778816,2036334592
43472.364586,75873792,383778816,2036334592
43472.364633,114671104,383778816,2036334592
43472.364679,154516992,383778816,2036334592
43472.364725,193314304,383778816,2036334592
43472.364772,232111616,383778816,2036334592
43472.364818,44435456,383778816,2036334592
43472.364864,84281344,383778816,2036334592
43472.364910,124127232,383778816,2036334592
43472.364957,162924544,383778816,2036334592
43472.365003,201721856,383778816,2036334592
43472.365049,241567744,383778816,2036334592
43472.365096,53873096,383778816,2036334592
43472.365142,92670408,383778816,2036334592
43472.365188,132516296,383778816,2036334592
43472.365235,171313608,383778816,2036334592
43472.365281,211159496,383778816,2036334592
43472.365327,249956808,383778816,2036334592
43472.365373,62292688,383778816,2036334592
43472.365420,102138576,383778816,2036334592
43472.365466,140935888,383778816,2036334592
43472.365512,179733200,383778816,2036334592
43472.365559,219579088,383778816,2036334592
43472.365605,258376400,383778816,2036334592
43472.365651,70693392,383778816,2036334592
43472.365698,110539280,383778816,2036334592
43472.365744,150385168,383778816,2036334592
43472.365790,188133904,383778816,2036334592
43472.365836,227979792,383778816,2036334592
43472.365883,40311664,383778816,2036334592
43472.365929,79108976,383778816,2036334592
43472.365975,118954864,383778816,2036334592
43472.366022,158800752,383778816,2036334592
43472.366068,197598064,383778816,2036334592
43472.366114,236395376,383778816,2036334592
43472.366161,48721240,383778816,2036334592
43472.366207,88567128,383778816,2036334592
43472.366253,127364440,383778816,2036334592
43472.366299,166161752,383778816,2036334592
43472.366346,206007640,383778816,2036334592
43472.366392,244804952,383778816,2036334592
43472.366438,57092424,383778816,2036334592
43472.366485,96938312,383778816,2036334592
43472.366531,135735624,383778816,2036334592
43472.366577,174532936,383778816,2036334592
43472.366623,214378824,383778816,2036334592
