Time,CPU Usage
43472.356855,27.9
43472.356901,22.6
43472.356948,16.8
43472.356994,20.6
43472.357040,7.8
43472.357087,6.4
43472.357133,8.3
43472.357179,8.1
43472.357225,9.5
43472.357272,11.2
43472.357318,6.6
43472.357364,9.1
43472.357411,6.6
43472.357457,5.5
43472.357503,7.2
43472.357549,5.8
43472.357596,6.2
43472.357642,5.3
43472.357688,5.3
43472.357735,5.1
43472.357781,5.1
43472.357827,5.4
43472.357873,5.3
43472.357920,5.4
43472.357966,5.1
43472.358012,5.1
43472.358059,5.1
43472.358105,5.1
43472.358151,5.2
43472.358198,5.1
43472.358244,5.0
43472.358290,5.3
43472.358336,5.1
43472.358383,5.1
43472.358429,5.2
43472.358475,5.0
43472.358522,5.8
43472.358568,5.1
43472.358614,5.1
43472.358661,6.1
43472.358707,5.0
43472.358753,5.1
43472.358799,5.1
43472.358846,5.2
43472.358892,5.1
43472.358938,5.1
43472.358985,5.1
43472.359031,5.1
43472.359077,5.0
43472.359123,5.0
43472.359170,5.1
43472.359216,5.1
43472.359262,5.0
43472.359309,5.1
43472.359355,5.0
43472.359401,5.0
43472.359448,4.9
43472.359494,5.1
43472.359540,4.9
43472.359586,6.9
43472.359633,5.1
43472.359679,5.2
43472.359725,5.1
43472.359772,5.1
43472.359818,4.9
43472.359864,5.4
43472.359911,4.9
43472.359957,4.9
43472.360003,5.3
43472.360049,4.9
43472.360096,4.9
43472.360142,5.1
43472.360188,5.1
43472.360235,5.1
43472.360281,5.1
43472.360327,5.0
43472.360374,5.1
43472.360420,4.9
43472.360466,5.0
43472.360512,5.1
43472.360559,5.1
43472.360605,5.1
43472.360651,5.3
43472.360698,4.9
43472.360744,4.9
43472.360790,5.0
43472.360836,5.1
43472.360883,5.2
43472.360929,5.0
43472.360975,4.9
43472.361022,5.0
43472.361068,5.0
43472.361114,4.9
43472.361161,5.1
43472.361207,5.0
43472.361253,5.0
43472.361299,5.0
43472.361346,5.1
43472.361392,5.0
43472.361438,4.9
43472.361485,5.9
43472.361531,5.8
43472.361577,5.9
43472.361624,6.0
43472.361670,5.9
43472.361716,6.1
43472.361762,5.8
43472.361809,5.9
43472.361855,5.9
43472.361901,5.9
43472.361948,5.8
43472.361994,5.8
43472.362040,5.7
43472.362086,5.5
43472.362133,4.9
43472.362179,4.9
43472.362225,5.0
43472.362272,4.9
43472.362318,4.9
43472.362364,5.0
43472.362411,4.9
43472.362457,5.0
43472.362503,4.8
43472.362549,5.0
43472.362596,4.9
43472.362642,5.0
43472.362688,5.1
43472.362735,5.2
43472.362781,5.0
43472.362827,4.9
43472.362874,4.9
43472.362920,5.6
43472.362966,5.4
43472.363012,4.9
43472.363059,5.0
43472.363105,4.9
43472.363151,4.9
43472.363198,5.0
43472.363244,4.9
43472.363290,4.9
43472.363337,5.0
43472.363383,4.9
43472.363429,4.9
43472.363475,5.3
43472.363522,5.3
43472.363568,5.8
43472.363614,5.3
43472.363661,5.8
43472.363707,5.6
43472.363753,5.7
43472.363799,5.4
43472.363846,5.1
43472.363892,5.2
43472.363938,5.3
43472.363985,6.7
43472.364031,5.4
43472.364077,5.3
43472.364124,5.3
43472.364170,5.2
43472.364216,5.3
43472.364262,5.4
43472.364309,5.4
43472.364355,5.3
43472.364401,5.2
43472.364448,5.3
43472.364494,5.4
43472.364540,5.3
43472.364586,5.2
43472.364633,5.3
43472.364679,5.4
43472.364725,5.2
43472.364772,5.3
43472.364818,5.4
43472.364864,5.3
43472.364911,5.3
43472.364957,5.2
43472.365003,5.0
43472.365049,4.9
43472.365096,4.9
43472.365142,4.9
43472.365188,4.9
43472.365235,4.9
43472.365281,4.9
43472.365327,5.0
43472.365374,5.0
43472.365420,5.6
43472.365466,4.9
43472.365512,4.9
43472.365559,4.8
43472.365605,4.9
43472.365651,4.9
43472.365698,4.9
