Time,CPU Usage
43458.392428,15.5
43458.392475,6.7
43458.392521,5.1
43458.392567,7.6
43458.392613,5.7
43458.392660,5.3
43458.392706,5.1
43458.392752,5.7
43458.392799,5.1
43458.392845,5.6
43458.392891,4.9
43458.392937,5.0
43458.392984,4.9
43458.393030,4.8
43458.393076,5.7
43458.393123,5.0
43458.393169,4.9
43458.393215,4.7
43458.393262,4.8
43458.393308,5.1
43458.393354,4.7
43458.393400,4.8
43458.393447,4.8
43458.393493,4.9
43458.393539,4.7
43458.393586,4.8
43458.393632,4.7
43458.393678,4.8
43458.393724,5.0
43458.393771,4.9
43458.393817,4.8
43458.393863,4.7
43458.393910,5.9
43458.393956,4.7
43458.394002,4.9
43458.394049,4.9
43458.394095,4.9
43458.394141,4.8
43458.394187,4.8
43458.394234,5.1
43458.394280,4.8
43458.394326,5.3
43458.394373,4.7
43458.394419,4.7
43458.394465,4.9
43458.394512,4.7
43458.394558,4.7
43458.394604,4.7
43458.394650,4.6
43458.394697,4.9
43458.394743,5.0
43458.394789,5.3
43458.394836,4.6
43458.394882,4.7
43458.394928,4.8
43458.394974,4.6
43458.395021,4.7
43458.395067,4.6
43458.395113,4.9
43458.395160,4.8
43458.395206,4.7
43458.395252,5.3
43458.395299,4.6
43458.395345,4.7
43458.395391,4.6
43458.395437,4.6
43458.395484,4.6
43458.395530,4.8
43458.395576,5.1
43458.395623,4.6
43458.395669,4.6
43458.395715,4.5
43458.395762,4.7
43458.395808,4.6
43458.395854,4.5
43458.395900,4.6
43458.395947,4.8
43458.395993,4.7
43458.396039,4.6
43458.396086,4.6
43458.396132,4.6
43458.396178,5.1
43458.396224,5.2
43458.396271,5.1
43458.396317,4.7
43458.396363,4.6
43458.396410,4.6
43458.396456,4.9
43458.396502,6.0
43458.396549,4.6
43458.396595,4.5
43458.396641,4.5
43458.396687,4.6
43458.396734,4.8
43458.396780,4.6
43458.396826,4.4
43458.396873,4.5
43458.396919,4.6
43458.396965,4.6
43458.397012,4.5
43458.397058,4.5
43458.397104,4.6
43458.397150,4.5
43458.397197,5.6
43458.397243,4.5
43458.397289,4.5
43458.397336,4.5
43458.397382,4.5
43458.397428,4.5
43458.397474,4.5
43458.397521,4.5
43458.397567,4.6
43458.397613,4.5
43458.397660,4.5
43458.397706,4.5
43458.397752,4.5
43458.397799,4.6
43458.397845,4.4
43458.397891,4.4
43458.397937,4.5
43458.397984,4.5
43458.398030,4.6
43458.398076,4.6
43458.398123,4.4
43458.398169,4.4
43458.398215,4.6
43458.398262,4.6
43458.398308,5.3
43458.398354,4.4
43458.398400,4.5
43458.398447,4.6
43458.398493,4.4
43458.398539,4.4
43458.398586,4.4
43458.398632,4.6
43458.398678,4.6
43458.398725,4.6
43458.398771,4.5
43458.398817,4.5
43458.398863,4.6
43458.398910,4.5
43458.398956,4.5
43458.399002,4.6
43458.399049,4.6
43458.399095,4.6
43458.399141,4.9
43458.399187,5.0
43458.399234,4.5
43458.399280,4.8
43458.399326,4.6
43458.399373,4.4
43458.399419,4.4
43458.399465,4.5
43458.399512,4.7
43458.399558,4.5
43458.399604,4.7
43458.399650,4.7
43458.399697,4.5
43458.399743,5.1
43458.399789,4.6
43458.399836,4.7
43458.399882,4.6
43458.399928,4.4
43458.399975,4.5
43458.400021,4.6
43458.400067,4.6
43458.400113,4.5
43458.400160,4.6
43458.400206,4.6
43458.400252,4.5
43458.400299,4.5
43458.400345,4.6
43458.400391,4.4
43458.400437,4.4
43458.400484,4.5
43458.400530,4.4
43458.400576,4.4
43458.400623,4.6
43458.400669,4.4
43458.400715,4.6
43458.400762,4.5
43458.400808,5.4
43458.400854,4.4
43458.400900,4.4
43458.400947,4.4
43458.400993,4.4
43458.401039,4.3
43458.401086,4.4
43458.401132,4.7
43458.401178,5.4
43458.401225,4.3
43458.401271,4.5
43458.401317,4.8
43458.401363,4.5
43458.401410,4.4
43458.401456,4.4
43458.401502,4.4
43458.401549,4.4
43458.401595,4.6
43458.401641,4.7
43458.401687,4.4
43458.401734,4.6
43458.401780,4.4
43458.401826,4.4
43458.401873,4.4
43458.401919,4.4
43458.401965,4.6
43458.402012,4.3
43458.402058,4.4
43458.402104,4.4
43458.402150,4.4
43458.402197,4.3
43458.402243,4.4
43458.402289,4.6
43458.402336,4.4
43458.402382,4.4
43458.402428,4.3
43458.402475,4.3
43458.402521,4.4
43458.402567,4.4
43458.402613,4.3
43458.402660,4.4
43458.402706,4.4
43458.402752,4.3
43458.402799,4.4
43458.402845,4.4
43458.402891,4.2
43458.402938,4.3
43458.402984,4.3
43458.403030,4.3
43458.403076,4.3
43458.403123,4.3
43458.403169,4.4
43458.403215,4.3
43458.403262,4.3
43458.403308,4.3
43458.403354,4.4
43458.403400,4.4
43458.403447,4.7
43458.403493,4.3
43458.403539,3.7
43458.403586,3.4
43458.403632,3.3
43458.403678,3.3
43458.403725,3.1
43458.403771,3.1
43458.403817,3.4
43458.403863,3.0
43458.403910,3.1
43458.403956,2.9
43458.404002,3.1
43458.404049,3.1
43458.404095,3.3
43458.404141,3.0
43458.404188,3.2
43458.404234,3.1
43458.404280,3.2
43458.404326,3.1
43458.404373,3.2
43458.404419,2.9
43458.404465,2.9
43458.404512,3.1
43458.404558,3.0
43458.404604,3.4
43458.404651,3.1
43458.404697,3.1
43458.404743,3.0
