Time,Loaded
43458.392383,12275
43458.392428,12353
43458.392474,12359
43458.392521,12359
43458.392567,12360
43458.392613,12360
43458.392660,12361
43458.392706,12365
43458.392752,12368
43458.392798,12369
43458.392845,12372
43458.392891,12373
43458.392937,12377
43458.392984,12380
43458.393030,12389
43458.393076,12395
43458.393123,12399
43458.393169,12399
43458.393215,12399
43458.393261,12399
43458.393308,12399
43458.393354,12399
43458.393400,12399
43458.393447,12399
43458.393493,12399
43458.393539,12399
43458.393586,12399
43458.393632,12399
43458.393678,12399
43458.393724,12399
43458.393771,12399
43458.393817,12399
43458.393863,12399
43458.393910,12399
43458.393956,12399
43458.394002,12399
43458.394048,12399
43458.394095,12399
43458.394141,12399
43458.394187,12399
43458.394234,12399
43458.394280,12399
43458.394326,12399
43458.394373,12399
43458.394419,12399
43458.394465,12399
43458.394511,12399
43458.394558,12399
43458.394604,12399
43458.394650,12399
43458.394697,12399
43458.394743,12399
43458.394789,12399
43458.394836,12399
43458.394882,12399
43458.394928,12399
43458.394974,12399
43458.395021,12399
43458.395067,12399
43458.395113,12399
43458.395160,12399
43458.395206,12399
43458.395252,12399
43458.395299,12399
43458.395345,12399
43458.395391,12399
43458.395437,12399
43458.395484,12399
43458.395530,12399
43458.395576,12399
43458.395623,12399
43458.395669,12399
43458.395715,12399
43458.395761,12399
43458.395808,12399
43458.395854,12399
43458.395900,12399
43458.395947,12399
43458.395993,12399
43458.396039,12399
43458.396086,12399
43458.396132,12399
43458.396178,12399
43458.396224,12399
43458.396271,12399
43458.396317,12399
43458.396363,12399
43458.396410,12399
43458.396456,12399
43458.396502,12399
43458.396549,12399
43458.396595,12399
43458.396641,12399
43458.396687,12399
43458.396734,12399
43458.396780,12399
43458.396826,12399
43458.396873,12399
43458.396919,12399
43458.396965,12399
43458.397011,12399
43458.397058,12399
43458.397104,12399
43458.397150,12400
43458.397197,12400
43458.397243,12400
43458.397289,12400
43458.397336,12400
43458.397382,12400
43458.397428,12400
43458.397474,12400
43458.397521,12400
43458.397567,12400
43458.397613,12400
43458.397660,12400
43458.397706,12400
43458.397752,12400
43458.397799,12400
43458.397845,12400
43458.397891,12400
43458.397937,12400
43458.397984,12400
43458.398030,12400
43458.398076,12400
43458.398123,12400
43458.398169,12400
43458.398215,12400
43458.398261,12400
43458.398308,12439
43458.398354,12439
43458.398400,12439
43458.398447,12439
43458.398493,12439
43458.398539,12439
43458.398586,12439
43458.398632,12439
43458.398678,12439
43458.398724,12439
43458.398771,12439
43458.398817,12439
43458.398863,12439
43458.398910,12439
43458.398956,12439
43458.399002,12439
43458.399049,12439
43458.399095,12439
43458.399141,12439
43458.399187,12439
43458.399234,12439
43458.399280,12439
43458.399326,12439
43458.399373,12439
43458.399419,12439
43458.399465,12439
43458.399511,12440
43458.399558,12440
43458.399604,12440
43458.399650,12440
43458.399697,12440
43458.399743,12440
43458.399789,12440
43458.399836,12440
43458.399882,12440
43458.399928,12440
43458.399974,12440
43458.400021,12440
43458.400067,12440
43458.400113,12440
43458.400160,12440
43458.400206,12440
43458.400252,12440
43458.400299,12440
43458.400345,12440
43458.400391,12440
43458.400437,12440
43458.400484,12440
43458.400530,12440
43458.400576,12440
43458.400623,12440
43458.400669,12440
43458.400715,12440
43458.400762,12440
43458.400808,12440
43458.400854,12440
43458.400900,12440
43458.400947,12441
43458.400993,12441
43458.401039,12441
43458.401086,12441
43458.401132,12441
43458.401178,12441
43458.401224,12441
43458.401271,12441
43458.401317,12441
43458.401363,12441
43458.401410,12441
43458.401456,12441
43458.401502,12441
43458.401549,12441
43458.401595,12441
43458.401641,12441
43458.401687,12441
43458.401734,12441
43458.401780,12441
43458.401826,12441
43458.401873,12441
43458.401919,12441
43458.401965,12441
43458.402011,12441
43458.402058,12441
43458.402104,12441
43458.402150,12442
43458.402197,12442
43458.402243,12442
43458.402289,12442
43458.402336,12442
43458.402382,12442
43458.402428,12442
43458.402474,12442
43458.402521,12442
43458.402567,12442
43458.402613,12442
43458.402660,12442
43458.402706,12442
43458.402752,12442
43458.402799,12442
43458.402845,12442
43458.402891,12442
43458.402937,12442
43458.402984,12442
43458.403030,12442
43458.403076,12442
43458.403123,12442
43458.403169,12442
43458.403215,12442
43458.403262,12442
43458.403308,12442
43458.403354,12442
43458.403400,12442
43458.403447,12442
43458.403493,12442
43458.403539,12442
43458.403586,12442
43458.403632,12442
43458.403678,12442
43458.403725,12442
43458.403771,12442
43458.403817,12442
43458.403863,12442
43458.403910,12442
43458.403956,12442
43458.404002,12442
43458.404049,12442
43458.404095,12442
43458.404141,12442
