Time,Used
43458.392385,210755784
43458.392428,35853728
43458.392474,86185376
43458.392521,136517024
43458.392567,187897248
43458.392613,237180320
43458.392660,64264176
43458.392706,114595824
43458.392752,165976048
43458.392798,216307696
43458.392845,42321344
43458.392891,92652992
43458.392937,142984640
43458.392984,194364864
43458.393030,244696512
43458.393076,69619600
43458.393122,120999824
43458.393169,171331472
43458.393215,221663120
43458.393261,46652784
43458.393308,98033008
43458.393354,149413232
43458.393400,199744880
43458.393447,250076528
43458.393493,76022992
43458.393539,126354640
43458.393585,177734864
43458.393632,228066512
43458.393678,52883712
43458.393724,103215360
43458.393771,154595584
43458.393817,204927232
43458.393863,255258880
43458.393910,81198216
43458.393956,131529864
43458.394002,182910088
43458.394048,233241736
43458.394095,58215520
43458.394141,108547168
43458.394187,158878816
43458.394234,209210464
43458.394280,35071024
43458.394326,85402672
43458.394373,136782896
43458.394419,187114544
43458.394465,237446192
43458.394511,62330576
43458.394558,112662224
43458.394604,162993872
43458.394650,214374096
43458.394697,40322128
43458.394743,90653776
43458.394789,140985424
43458.394835,192365648
43458.394882,242697296
43458.394928,67681584
43458.394974,119061808
43458.395021,169393456
43458.395067,220773680
43458.395113,44523648
43458.395160,95903872
43458.395206,146235520
43458.395252,197615744
43458.395298,247947392
43458.395345,72851200
43458.395391,124231424
43458.395437,175611648
43458.395484,225943296
43458.395530,50922064
43458.395576,101253712
43458.395623,152633936
43458.395669,204014160
43458.395715,254345808
43458.395761,78229184
43458.395808,129609408
43458.395854,179941056
43458.395900,230272704
43458.395947,55176296
43458.395993,106556520
43458.396039,156888168
43458.396086,208268392
43458.396132,258600040
43458.396178,83496848
43458.396224,132779920
43458.396271,184160144
43458.396317,234491792
43458.396363,58359560
43458.396410,109739784
43458.396456,160071432
43458.396502,211451656
43458.396548,35313920
43458.396595,85645568
43458.396641,135977216
43458.396687,187357440
43458.396734,237689088
43458.396780,61542696
43458.396826,112922920
43458.396873,163254568
43458.396919,214634792
43458.396965,38474072
43458.397011,88805720
43458.397058,140185944
43458.397104,190517592
43458.397150,241897816
43458.397197,65754560
43458.397243,117134784
43458.397289,167466432
43458.397336,217798080
43458.397382,41643232
43458.397428,91974880
43458.397474,143355104
43458.397521,194735328
43458.397567,245066976
43458.397613,69976568
43458.397660,120308216
43458.397706,170639864
43458.397752,222020088
43458.397799,45887208
43458.397845,96218856
43458.397891,147599080
43458.397937,198979304
43458.397984,249310952
43458.398030,73151456
43458.398076,123483104
43458.398123,174863328
43458.398169,225194976
43458.398215,49063248
43458.398261,100443472
43458.398308,152872272
43458.398354,204252496
43458.398400,254584144
43458.398447,78533000
43458.398493,129913224
43458.398539,180244872
43458.398586,230576520
43458.398632,54337520
43458.398678,105717744
43458.398724,156049392
43458.398771,206381040
43458.398817,256712688
43458.398863,80597040
43458.398910,131977264
43458.398956,182308912
43458.399002,233689136
43458.399049,57518152
43458.399095,107849800
43458.399141,158181448
43458.399187,209561672
43458.399234,259893320
43458.399280,83747432
43458.399326,134079080
43458.399373,184410728
43458.399419,235790952
43458.399465,59652400
43458.399511,109984048
43458.399558,160315696
43458.399604,210647344
43458.399650,35582064
43458.399697,85913712
43458.399743,136245360
43458.399789,186577008
43458.399836,237957232
43458.399882,61792128
43458.399928,112123776
43458.399974,163504000
43458.400021,213835648
43458.400067,36630352
43458.400113,89059152
43458.400160,139390800
43458.400206,189722448
43458.400252,241102672
43458.400299,64989016
43458.400345,115320664
43458.400391,165652312
43458.400437,217032536
43458.400484,39827360
43458.400530,91207584
43458.400576,141539232
43458.400623,192919456
43458.400669,243251104
43458.400715,67085296
43458.400761,117416944
43458.400808,167748592
43458.400854,219128816
43458.400900,42993280
43458.400947,94373504
43458.400993,144705152
43458.401039,195036800
43458.401086,245368448
43458.401132,70253432
43458.401178,120585080
43458.401224,171965304
43458.401271,222296952
43458.401317,46169072
43458.401363,97549296
43458.401410,147880944
43458.401456,198212592
43458.401502,248544240
43458.401549,72383024
43458.401595,122714672
43458.401641,174094896
43458.401687,224426544
43458.401734,49330408
43458.401780,100710632
43458.401826,149993704
43458.401873,201373928
43458.401919,251705576
43458.401965,75568944
43458.402011,125900592
43458.402058,176232240
43458.402104,227612464
43458.402150,51454064
43458.402197,101785712
43458.402243,153165936
43458.402289,202449008
43458.402336,253829232
43458.402382,77694384
43458.402428,129074608
43458.402474,179406256
43458.402521,229737904
43458.402567,53598080
43458.402613,103929728
43458.402660,154261376
43458.402706,205641600
43458.402752,255973248
43458.402799,79826912
43458.402845,130158560
43458.402891,180490208
43458.402937,230821856
43458.402984,55715600
43458.403030,107095824
43458.403076,156378896
43458.403123,207759120
43458.403169,258090768
43458.403215,81958736
43458.403261,132290384
43458.403308,182622032
43458.403354,232953680
43458.403400,56807232
43458.403447,108187456
43458.403493,158519104
43458.403539,189976384
43458.403586,210947904
43458.403632,231919424
43458.403678,252890944
43458.403724,47383376
43458.403771,68354896
43458.403817,89326416
43458.403863,111346512
