Time,Live threads
43458.392390,89
43458.392428,90
43458.392475,90
43458.392521,90
43458.392567,90
43458.392613,90
43458.392660,90
43458.392706,90
43458.392752,90
43458.392798,90
43458.392845,90
43458.392891,90
43458.392937,90
43458.392984,90
43458.393030,90
43458.393076,90
43458.393123,90
43458.393169,90
43458.393215,90
43458.393261,90
43458.393308,90
43458.393354,90
43458.393400,88
43458.393447,88
43458.393493,88
43458.393539,88
43458.393586,88
43458.393632,88
43458.393678,88
43458.393724,88
43458.393771,88
43458.393817,88
43458.393863,88
43458.393910,88
43458.393956,88
43458.394002,88
43458.394048,88
43458.394095,88
43458.394141,88
43458.394187,88
43458.394234,88
43458.394280,88
43458.394326,88
43458.394373,88
43458.394419,88
43458.394465,88
43458.394511,88
43458.394558,88
43458.394604,88
43458.394650,88
43458.394697,88
43458.394743,88
43458.394789,88
43458.394836,88
43458.394882,88
43458.394928,88
43458.394974,88
43458.395021,88
43458.395067,88
43458.395113,88
43458.395160,88
43458.395206,88
43458.395252,88
43458.395299,88
43458.395345,88
43458.395391,88
43458.395437,88
43458.395484,88
43458.395530,88
43458.395576,88
43458.395623,88
43458.395669,88
43458.395715,88
43458.395761,88
43458.395808,88
43458.395854,88
43458.395900,88
43458.395947,88
43458.395993,88
43458.396039,88
43458.396086,88
43458.396132,88
43458.396178,88
43458.396224,88
43458.396271,88
43458.396317,88
43458.396363,88
43458.396410,88
43458.396456,88
43458.396502,88
43458.396549,88
43458.396595,88
43458.396641,88
43458.396687,88
43458.396734,88
43458.396780,88
43458.396826,88
43458.396873,88
43458.396919,88
43458.396965,88
43458.397011,88
43458.397058,88
43458.397104,88
43458.397150,88
43458.397197,88
43458.397243,88
43458.397289,88
43458.397336,88
43458.397382,88
43458.397428,88
43458.397474,88
43458.397521,88
43458.397567,88
43458.397613,88
43458.397660,88
43458.397706,88
43458.397752,88
43458.397799,88
43458.397845,88
43458.397891,88
43458.397937,88
43458.397984,88
43458.398030,88
43458.398076,88
43458.398123,88
43458.398169,88
43458.398215,88
43458.398262,88
43458.398308,88
43458.398354,88
43458.398400,88
43458.398447,88
43458.398493,88
43458.398539,88
43458.398586,88
43458.398632,88
43458.398678,88
43458.398724,88
43458.398771,88
43458.398817,88
43458.398863,88
43458.398910,88
43458.398956,88
43458.399002,88
43458.399049,88
43458.399095,88
43458.399141,88
43458.399187,88
43458.399234,88
43458.399280,88
43458.399326,88
43458.399373,88
43458.399419,88
43458.399465,88
43458.399511,88
43458.399558,88
43458.399604,88
43458.399650,88
43458.399697,88
43458.399743,88
43458.399789,88
43458.399836,88
43458.399882,88
43458.399928,88
43458.399974,88
43458.400021,88
43458.400067,88
43458.400113,88
43458.400160,88
43458.400206,88
43458.400252,88
43458.400299,88
43458.400345,88
43458.400391,88
43458.400437,88
43458.400484,88
43458.400530,88
43458.400576,88
43458.400623,88
43458.400669,88
43458.400715,88
43458.400762,88
43458.400808,88
43458.400854,88
43458.400900,88
43458.400947,88
43458.400993,88
43458.401039,88
43458.401086,88
43458.401132,88
43458.401178,88
43458.401224,88
43458.401271,88
43458.401317,88
43458.401363,88
43458.401410,88
43458.401456,88
43458.401502,88
43458.401549,88
43458.401595,88
43458.401641,88
43458.401687,88
43458.401734,88
43458.401780,88
43458.401826,88
43458.401873,88
43458.401919,88
43458.401965,88
43458.402012,88
43458.402058,88
43458.402104,88
43458.402150,88
43458.402197,88
43458.402243,88
43458.402289,88
43458.402336,88
43458.402382,88
43458.402428,88
43458.402474,88
43458.402521,88
43458.402567,88
43458.402613,88
43458.402660,88
43458.402706,88
43458.402752,88
43458.402799,88
43458.402845,88
43458.402891,88
43458.402937,88
43458.402984,88
43458.403030,88
43458.403076,88
43458.403123,88
43458.403169,88
43458.403215,88
43458.403262,88
43458.403308,88
43458.403354,88
43458.403400,88
43458.403447,88
43458.403493,88
43458.403539,88
43458.403586,88
43458.403632,88
43458.403678,88
43458.403725,88
43458.403771,88
43458.403817,88
43458.403863,88
43458.403910,88
43458.403956,88
43458.404002,88
43458.404049,88
