Time,CPU Usage
43458.216200,31.5
43458.216246,16.7
43458.216293,14.3
43458.216339,7.7
43458.216385,10.3
43458.216431,7.5
43458.216478,9.6
43458.216524,6.3
43458.216570,8.4
43458.216617,6.7
43458.216663,6.4
43458.216709,6.9
43458.216755,6.1
43458.216802,5.4
43458.216848,6.3
43458.216894,5.6
43458.216941,5.4
43458.216987,5.3
43458.217033,5.4
43458.217080,5.6
43458.217126,5.4
43458.217172,5.3
43458.217218,5.3
43458.217265,5.3
43458.217311,5.8
43458.217357,5.2
43458.217404,5.2
43458.217450,5.1
43458.217496,5.2
43458.217543,5.1
43458.217589,5.3
43458.217635,5.3
43458.217681,5.0
43458.217728,5.1
43458.217774,5.2
43458.217820,5.8
43458.217867,5.8
43458.217913,5.2
43458.217959,5.1
43458.218005,5.1
43458.218052,5.1
43458.218098,5.1
43458.218144,5.1
43458.218191,5.1
43458.218237,5.2
43458.218283,5.2
43458.218330,5.8
43458.218376,5.1
43458.218422,4.9
43458.218468,5.0
43458.218515,5.1
43458.218561,5.1
43458.218607,5.0
43458.218654,5.1
43458.218700,7.6
43458.218746,4.9
43458.218792,5.3
43458.218839,5.6
43458.218885,5.1
43458.218931,4.9
43458.218978,5.1
43458.219024,5.2
43458.219070,4.9
43458.219117,4.8
43458.219163,5.0
43458.219209,4.9
43458.219255,5.2
43458.219302,4.9
43458.219348,4.9
43458.219394,5.1
43458.219441,5.0
43458.219487,4.9
43458.219533,5.0
43458.219580,5.0
43458.219626,4.9
43458.219672,4.9
43458.219718,4.9
43458.219765,5.3
43458.219811,4.9
43458.219857,4.9
43458.219904,5.1
43458.219950,4.9
43458.219996,6.1
43458.220043,5.4
43458.220089,4.9
43458.220135,4.9
43458.220181,5.1
43458.220228,5.0
43458.220274,4.9
43458.220320,5.1
43458.220367,5.1
43458.220413,4.9
43458.220459,5.1
43458.220505,5.3
43458.220552,4.9
43458.220598,5.0
43458.220644,4.9
43458.220691,5.0
43458.220737,5.0
43458.220783,5.2
43458.220830,5.3
43458.220876,5.0
43458.220922,5.1
43458.220968,5.1
43458.221015,4.9
43458.221061,5.0
43458.221107,5.1
43458.221154,5.4
43458.221200,5.2
43458.221246,5.1
43458.221293,5.0
43458.221339,5.0
43458.221385,4.9
43458.221431,5.4
43458.221478,4.9
43458.221524,5.0
43458.221570,5.0
43458.221617,5.0
43458.221663,5.0
43458.221709,5.0
43458.221756,4.9
43458.221802,4.9
43458.221848,5.0
43458.221894,5.0
43458.221941,4.9
43458.221987,5.0
43458.222033,5.1
43458.222080,4.9
43458.222126,5.0
43458.222172,5.1
43458.222218,7.9
43458.222265,5.8
43458.222311,5.1
43458.222357,5.7
43458.222404,5.0
43458.222450,5.2
43458.222496,5.2
43458.222543,5.4
43458.222589,5.1
43458.222635,5.7
43458.222681,5.8
43458.222728,5.0
43458.222774,5.1
43458.222820,4.9
43458.222867,5.1
43458.222913,5.0
43458.222959,5.0
43458.223006,5.6
43458.223052,5.8
43458.223098,5.8
43458.223144,5.1
43458.223191,5.0
43458.223237,4.9
43458.223283,5.0
43458.223330,4.9
43458.223376,4.9
43458.223422,5.1
43458.223468,4.9
43458.223515,4.9
43458.223561,5.0
43458.223607,4.9
43458.223654,4.9
43458.223700,4.9
43458.223746,4.9
43458.223793,4.9
43458.223839,4.8
43458.223885,4.9
43458.223931,4.9
43458.223978,4.7
43458.224024,4.9
43458.224070,4.7
43458.224117,4.7
43458.224163,4.9
43458.224209,4.8
43458.224256,4.9
43458.224302,4.8
43458.224348,4.7
43458.224394,4.9
43458.224441,4.9
43458.224487,5.5
43458.224533,5.1
43458.224580,4.9
43458.224626,5.1
43458.224672,4.8
43458.224719,5.0
43458.224765,4.8
43458.224811,4.8
43458.224857,4.7
43458.224904,5.0
43458.224950,4.8
43458.224996,4.8
43458.225043,4.8
43458.225089,4.9
43458.225135,4.8
43458.225181,4.8
43458.225228,5.9
43458.225274,4.9
43458.225320,5.0
43458.225367,4.9
43458.225413,4.8
43458.225459,5.1
43458.225506,4.8
43458.225552,4.8
43458.225598,4.8
43458.225645,4.8
43458.225691,5.0
43458.225737,4.9
43458.225783,4.8
43458.225830,5.4
43458.225876,4.8
43458.225922,4.7
43458.225969,4.8
43458.226015,4.7
43458.226061,4.8
43458.226107,4.7
43458.226154,4.9
43458.226200,4.8
43458.226246,4.7
43458.226293,4.8
43458.226339,4.8
