Time,Used
43458.216155,89875456
43458.216200,158032896
43458.216246,226190336
43458.216292,71877136
43458.216339,141083152
43458.216385,209240592
43458.216431,55305232
43458.216478,124511248
43458.216524,193717264
43458.216570,39457920
43458.216616,107615360
43458.216663,176821376
43458.216709,246027392
43458.216755,89849152
43458.216802,159055168
43458.216848,228261184
43458.216894,71967664
43458.216941,142222256
43458.216987,210379696
43458.217033,54223872
43458.217079,123429888
43458.217126,192635904
43458.217172,36486600
43458.217218,105692616
43458.217265,174898632
43458.217311,243056072
43458.217357,87734080
43458.217403,156940096
43458.217450,227194688
43458.217496,69952512
43458.217542,139158528
43458.217589,208364544
43458.217635,52126720
43458.217681,122381312
43458.217728,190538752
43458.217774,34397256
43458.217820,103603272
43458.217866,172809288
43458.217913,242015304
43458.217959,85776768
43458.218005,156031360
43458.218052,224188800
43458.218098,68997528
43458.218144,138203544
43458.218191,207409560
43458.218237,52220312
43458.218283,121426328
43458.218329,190632344
43458.218376,35540400
43458.218422,105794992
43458.218468,173952432
43458.218515,243158448
43458.218561,87876704
43458.218607,157082720
43458.218654,226288736
43458.218700,69089456
43458.218746,138295472
43458.218792,207501488
43458.218839,49142968
43458.218885,119397560
43458.218931,188603576
43458.218978,257809592
43458.219024,100541624
43458.219070,168699064
43458.219117,238953656
43458.219163,81676056
43458.219209,150882072
43458.219255,220088088
43458.219302,62815536
43458.219348,132021552
43458.219394,201227568
43458.219441,43966896
43458.219487,113172912
43458.219533,182378928
43458.219579,251584944
43458.219626,94323008
43458.219672,163529024
43458.219718,232735040
43458.219765,75497200
43458.219811,144703216
43458.219857,213909232
43458.219904,56623400
43458.219950,125829416
43458.219996,197132584
43458.220042,38951400
43458.220089,109205992
43458.220135,178412008
43458.220181,246569448
43458.220228,89202368
43458.220274,158408384
43458.220320,227614400
43458.220367,70339560
43458.220413,139545576
43458.220459,208751592
43458.220505,51485760
43458.220552,119643200
43458.220598,188849216
43458.220644,258055232
43458.220691,100779280
43458.220737,169985296
43458.220783,239191312
43458.220829,81907080
43458.220876,151113096
43458.220922,219270536
43458.220968,62015936
43458.221015,131221952
43458.221061,200427968
43458.221107,42113520
43458.221154,111319536
43458.221200,180525552
43458.221246,249731568
43458.221292,92460656
43458.221339,161666672
43458.221385,230872688
43458.221431,72538688
43458.221478,141744704
43458.221524,210950720
43458.221570,53695904
43458.221617,122901920
43458.221663,192107936
43458.221709,34853624
43458.221755,103011064
43458.221802,172217080
43458.221848,241423096
43458.221894,84135824
43458.221941,154390416
43458.221987,222547856
43458.222033,65278160
43458.222080,134484176
43458.222126,203690192
43458.222172,45359640
43458.222218,114565656
43458.222265,183771672
43458.222311,252977688
43458.222357,95724536
43458.222404,164930552
43458.222450,234136568
43458.222496,76852784
43458.222542,146058800
43458.222589,214216240
43458.222635,58003856
43458.222681,125112720
43458.222728,194318736
43458.222774,37063128
43458.222820,106269144
43458.222867,175475160
43458.222913,244681176
43458.222959,86346848
43458.223005,155552864
43458.223052,224758880
43458.223098,67474280
43458.223144,136680296
43458.223191,205886312
43458.223237,49713328
43458.223283,118919344
43458.223330,188125360
43458.223376,257331376
43458.223422,99011248
43458.223468,168217264
43458.223515,237423280
43458.223561,80142176
43458.223607,149348192
43458.223654,218554208
43458.223700,60232264
43458.223746,129438280
43458.223793,198644296
43458.223839,41376808
43458.223885,109534248
43458.223931,179788840
43458.223978,247946280
43458.224024,90677112
43458.224070,159883128
43458.224117,229089144
43458.224163,70784640
43458.224209,139990656
43458.224255,208148096
43458.224302,51915944
43458.224348,120073384
43458.224394,189279400
43458.224441,258485416
43458.224487,100177152
43458.224533,169383168
43458.224580,238589184
43458.224626,80269872
43458.224672,149475888
43458.224718,217633328
43458.224765,60362656
43458.224811,129568672
43458.224857,198774688
43458.224904,40458080
43458.224950,109664096
43458.224996,178870112
43458.225043,248076128
43458.225089,89741200
43458.225135,159995792
43458.225181,229201808
43458.225228,70892784
43458.225274,139050224
43458.225320,209304816
43458.225367,50973448
43458.225413,120179464
43458.225459,189385480
43458.225506,258591496
43458.225552,100298272
43458.225598,170552864
43458.225644,238710304
43458.225691,82494368
43458.225737,151700384
43458.225783,219857824
43458.225830,63646544
43458.225876,131803984
43458.225922,201010000
43458.225968,43726248
43458.226015,111883688
43458.226061,181089704
43458.226107,250295720
43458.226154,93052280
43458.226200,162258296
43458.226246,231464312
43458.226293,73117616
43458.226339,142323632
43458.226385,210481072
43458.226431,53220640
43458.226478,122426656
43458.226524,191632672
43458.226570,34373808
43458.226617,103579824
43458.226663,172785840
43458.226709,240943280
43458.226756,83659568
43458.226802,152865584
43458.226848,221023024
43458.226894,64806960
43458.226941,134012976
43458.226987,202170416
43458.227033,44887120
43458.227080,113044560
43458.227126,182250576
43458.227172,251456592
43458.227219,93162360
43458.227265,161319800
43458.227311,231574392
43458.227357,73240752
43458.227404,143495344
43458.227450,211652784
43458.227496,54383808
43458.227543,124638400
43458.227589,193844416
43458.227635,35522592
43458.227681,104728608
43458.227728,173934624
43458.227774,243140640
43458.227820,84822384
43458.227867,154028400
43458.227913,223234416
43458.227959,64901152
43458.228006,134107168
43458.228052,203313184
43458.228098,46057040
43458.228144,114214480
43458.228191,183420496
43458.228237,252626512
43458.228283,78567440
43458.228330,112121872
43458.228376,145676304
43458.228422,179230736
43458.228469,212785168
43458.228515,246339600
43458.228561,53425184
43458.228607,86979616
43458.228654,120534048
43458.228700,154088480
43458.228746,187642912
43458.228793,221197344
43458.228839,254751776
43458.228885,60765904
43458.228931,94320336
43458.228978,128923344
43458.229024,161429200
