Time,CPU Usage
43458.320097,13.4
43458.320144,6.5
43458.320190,9.8
43458.320236,9.0
43458.320282,6.1
43458.320329,6.0
43458.320375,6.3
43458.320421,5.4
43458.320468,8.4
43458.320514,8.2
43458.320560,6.4
43458.320607,6.5
43458.320653,5.2
43458.320699,5.3
43458.320745,5.6
43458.320792,5.8
43458.320838,5.3
43458.320884,5.2
43458.320931,5.5
43458.320977,5.2
43458.321023,5.4
43458.321069,5.7
43458.321116,5.4
43458.321162,5.3
43458.321208,5.3
43458.321255,5.2
43458.321301,5.3
43458.321347,5.1
43458.321394,5.1
43458.321440,5.1
43458.321486,5.1
43458.321532,5.3
43458.321579,5.8
43458.321625,5.1
43458.321671,5.3
43458.321718,5.2
43458.321764,5.2
43458.321810,5.1
43458.321857,5.2
43458.321903,5.1
43458.321949,5.3
43458.321995,5.2
43458.322042,5.1
43458.322088,5.4
43458.322134,5.6
43458.322181,5.4
43458.322227,5.1
43458.322273,5.1
43458.322320,5.1
43458.322366,5.4
43458.322412,5.0
43458.322458,5.0
43458.322505,5.0
43458.322551,4.9
43458.322597,5.2
43458.322644,5.1
43458.322690,5.1
43458.322736,5.3
43458.322782,5.2
43458.322829,7.6
43458.322875,5.1
43458.322921,5.2
43458.322968,5.2
43458.323014,5.1
43458.323060,5.2
43458.323107,5.1
43458.323153,5.2
43458.323199,5.1
43458.323245,5.2
43458.323292,5.2
43458.323338,5.2
43458.323384,5.1
43458.323431,5.2
43458.323477,5.1
43458.323523,5.4
43458.323570,5.3
43458.323616,5.1
43458.323662,5.1
43458.323708,5.2
43458.323755,5.6
43458.323801,5.2
43458.323847,5.2
43458.323894,5.2
43458.323940,5.1
43458.323986,5.1
43458.324033,5.4
43458.324079,5.4
43458.324125,5.4
43458.324171,5.1
43458.324218,5.1
43458.324264,5.2
43458.324310,5.1
43458.324357,5.2
43458.324403,6.1
43458.324449,5.3
43458.324495,5.2
43458.324542,5.2
43458.324588,5.3
43458.324634,5.2
43458.324681,5.3
43458.324727,5.1
43458.324773,5.4
43458.324820,5.2
43458.324866,5.3
43458.324912,5.3
43458.324958,5.2
43458.325005,5.2
43458.325051,5.1
43458.325097,5.2
43458.325144,5.1
43458.325190,5.1
43458.325236,5.1
43458.325282,5.1
43458.325329,5.2
43458.325375,5.1
43458.325421,5.2
43458.325468,5.1
43458.325514,5.1
43458.325560,5.1
43458.325607,4.9
43458.325653,4.9
43458.325699,4.9
43458.325745,5.0
43458.325792,5.1
43458.325838,5.1
43458.325884,5.1
43458.325931,5.1
43458.325977,5.1
43458.326023,5.1
43458.326070,5.1
43458.326116,5.1
43458.326162,5.1
43458.326208,5.2
43458.326255,5.1
43458.326301,5.1
43458.326347,5.1
43458.326394,5.1
43458.326440,5.1
43458.326486,5.0
43458.326533,4.9
43458.326579,5.0
43458.326625,4.9
43458.326671,5.9
43458.326718,5.0
43458.326764,5.1
43458.326810,5.6
43458.326857,5.2
43458.326903,5.3
43458.326949,5.1
43458.326995,5.3
43458.327042,5.1
43458.327088,5.1
43458.327134,5.1
43458.327181,6.5
43458.327227,5.1
43458.327273,5.1
43458.327320,5.0
43458.327366,5.1
43458.327412,5.1
43458.327458,5.1
43458.327505,5.0
43458.327551,5.5
43458.327597,5.0
43458.327644,5.0
43458.327690,5.1
43458.327736,5.0
43458.327783,5.1
43458.327829,5.0
43458.327875,5.1
43458.327921,5.6
43458.327968,5.1
43458.328014,5.0
43458.328060,5.1
43458.328107,5.1
43458.328153,5.2
43458.328199,5.1
43458.328246,5.1
43458.328292,5.1
43458.328338,5.2
43458.328384,5.1
43458.328431,5.1
43458.328477,5.1
43458.328523,5.2
43458.328570,5.0
43458.328616,5.2
43458.328662,5.1
43458.328708,5.1
43458.328755,5.7
43458.328801,5.2
43458.328847,5.1
43458.328894,5.1
43458.328940,5.1
43458.328986,5.1
43458.329033,5.1
43458.329079,5.2
43458.329125,5.4
43458.329171,5.3
43458.329218,5.1
43458.329264,5.2
43458.329310,5.1
43458.329357,5.1
43458.329403,5.3
43458.329449,5.1
43458.329496,5.1
43458.329542,5.3
43458.329588,5.1
43458.329634,5.4
43458.329681,5.1
43458.329727,5.3
43458.329773,5.1
43458.329820,5.0
43458.329866,5.1
43458.329912,5.1
43458.329959,5.4
43458.330005,5.2
43458.330051,5.1
43458.330097,5.1
43458.330144,5.1
43458.330190,5.2
43458.330236,5.2
43458.330283,5.1
43458.330329,5.1
43458.330375,5.2
43458.330421,5.3
43458.330468,5.1
43458.330514,5.1
43458.330560,5.1
43458.330607,5.0
43458.330653,5.3
43458.330699,5.1
43458.330746,5.1
43458.330792,5.2
43458.330838,5.1
43458.330884,5.2
43458.330931,5.1
43458.330977,5.2
43458.331023,5.4
43458.331070,5.1
43458.331116,5.1
43458.331162,5.2
43458.331209,5.1
43458.331255,5.1
43458.331301,5.2
43458.331347,5.2
43458.331394,5.3
43458.331440,5.1
43458.331486,5.4
43458.331533,5.1
43458.331579,5.1
43458.331625,5.2
43458.331672,3.7
43458.331718,3.5
43458.331764,3.4
43458.331810,3.6
43458.331857,3.4
43458.331903,3.4
43458.331949,3.6
43458.331996,3.6
43458.332042,3.8
43458.332088,3.6
43458.332134,3.3
43458.332181,3.4
43458.332227,3.4
43458.332273,3.3
43458.332320,3.3
43458.332366,3.4
43458.332412,3.4
43458.332459,3.4
43458.332505,3.4
43458.332551,3.4
43458.332597,3.8
43458.332644,3.4
43458.332690,3.3
43458.332736,3.4
43458.332783,3.4
43458.332829,3.3
43458.332875,3.4
43458.332922,3.3
43458.332968,3.2
43458.333014,3.4
43458.333060,3.3
43458.333107,3.4
43458.333153,3.4
43458.333199,3.4
43458.333246,3.3
43458.333292,3.4
43458.333338,3.4
