Time,Used
43458.320055,71122464
43458.320097,64344000
43458.320143,60234816
43458.320190,55016744
43458.320236,49872208
43458.320282,44651768
43458.320329,39352056
43458.320375,107509496
43458.320421,102273384
43458.320468,97017248
43458.320514,90828960
43458.320560,85538896
43458.320606,80312896
43458.320653,75091688
43458.320699,69856360
43458.320745,64703520
43458.320792,59402672
43458.320838,53152800
43458.320884,47898576
43458.320930,41625704
43458.320977,36374496
43458.321023,104531936
43458.321069,99313016
43458.321116,93034288
43458.321162,86763184
43458.321208,80500336
43458.321255,74209792
43458.321301,67951488
43458.321347,61679264
43458.321393,55405984
43458.321440,49131408
43458.321486,42859936
43458.321532,36583248
43458.321579,104740688
43458.321625,98446128
43458.321671,92153760
43458.321718,85889432
43458.321764,79613664
43458.321810,74384656
43458.321856,67075344
43458.321903,61842672
43458.321949,54517728
43458.321995,48247216
43458.322042,41966624
43458.322088,35690368
43458.322134,104896384
43458.322181,97572032
43458.322227,91311088
43458.322273,85009088
43458.322319,78728616
43458.322366,72449136
43458.322412,66192432
43458.322458,59901696
43458.322505,53643600
43458.322551,47364176
43458.322597,41090608
43458.322643,109248048
43458.322690,102970736
43458.322736,96696880
43458.322782,90406704
43458.322829,84146080
43458.322875,78902096
43458.322921,72626328
43458.322968,65322976
43458.323014,59043776
43458.323060,52758448
43458.323106,46493424
43458.323153,39169056
43458.323199,108375072
43458.323245,101059984
43458.323292,95809152
43458.323338,89545952
43458.323384,83271984
43458.323431,76997600
43458.323477,70725328
43458.323523,64447840
43458.323569,58176096
43458.323616,51881056
43458.323662,45633568
43458.323708,39337664
43458.323755,107495104
43458.323801,101228848
43458.323847,94958864
43458.323894,88680960
43458.323940,82409040
43458.323986,76119936
43458.324032,69879072
43458.324079,63593328
43458.324125,57316480
43458.324171,51040160
43458.324218,44764832
43458.324264,38508736
43458.324310,106666176
43458.324356,100378016
43458.324403,94098592
43458.324449,87809928
43458.324495,81544672
43458.324542,75252680
43458.324588,68996144
43458.324634,62721872
43458.324681,56448128
43458.324727,50162064
43458.324773,43884816
43458.324819,36566384
43458.324866,104723824
43458.324912,99509088
43458.324958,93223816
43458.325005,86962304
43458.325051,79641984
43458.325097,73350888
43458.325144,67076328
43458.325190,60813616
43458.325236,54535776
43458.325282,48261216
43458.325329,41993984
43458.325375,111200000
43458.325421,104917232
43458.325468,97610400
43458.325514,91308624
43458.325560,85046032
43458.325607,78769536
43458.325653,72511400
43458.325699,66224112
43458.325745,59934816
43458.325792,53671120
43458.325838,47396912
43458.325884,41122176
43458.325931,109279616
43458.325977,103021088
43458.326023,96717040
43458.326069,90458528
43458.326116,84178864
43458.326162,77891176
43458.326208,71614944
43458.326255,66402752
43458.326301,61174720
43458.326347,55948096
43458.326394,50733520
43458.326440,45510848
43458.326486,39222160
43458.326532,108428176
43458.326579,103183784
43458.326625,97954744
43458.326671,92743728
43458.326718,87498712
43458.326764,82286128
43458.326810,77058800
43458.326857,71831408
43458.326903,66608064
43458.326949,60333040
43458.326995,55104592
43458.327042,49879552
43458.327088,44651104
43458.327134,39410944
43458.327181,107568384
43458.327227,102351952
43458.327273,97109128
43458.327320,91896944
43458.327366,86687096
43458.327412,81444224
43458.327458,76228456
43458.327505,70985872
43458.327551,65745168
43458.327597,60535616
43458.327644,55313984
43458.327690,50061104
43458.327736,44850976
43458.327782,39624816
43458.327829,107782256
43458.327875,102535992
43458.327921,97321152
43458.327968,92095168
43458.328014,86856176
43458.328060,81652944
43458.328107,76402448
43458.328153,71177304
43458.328199,65949976
43458.328245,60736048
43458.328292,55511360
43458.328338,50270312
43458.328384,45041640
43458.328431,39832528
43458.328477,107989968
43458.328523,102748760
43458.328570,97521264
43458.328616,92307504
43458.328662,87078944
43458.328708,81856416
43458.328755,76643592
43458.328801,71387112
43458.328847,66160960
43458.328894,60950432
43458.328940,55725744
43458.328986,50486504
43458.329032,45273072
43458.329079,39000928
43458.329125,108206944
43458.329171,102958736
43458.329218,97731040
43458.329264,92517376
43458.329310,87291456
43458.329357,82049832
43458.329403,76824200
43458.329449,71606768
43458.329495,66381344
43458.329542,62200656
43458.329588,58036080
43458.329634,53835224
43458.329681,49664160
43458.329727,45479064
43458.329773,40260128
43458.329820,109466144
43458.329866,105287744
43458.329912,101091808
43458.329958,96912904
43458.330005,92730376
43458.330051,88552600
43458.330097,84391936
43458.330144,80196040
43458.330190,76017624
43458.330236,71841072
43458.330283,67671584
43458.330329,63510696
43458.330375,59347504
43458.330421,55170864
43458.330468,51000032
43458.330514,46832832
43458.330560,42648920
43458.330607,110806360
43458.330653,106602616
43458.330699,102441328
43458.330745,98260928
43458.330792,94096336
43458.330838,89912688
43458.330884,85732864
43458.330931,81539712
43458.330977,77372480
43458.331023,72143216
43458.331070,67981448
43458.331116,63788448
43458.331162,59595552
43458.331208,55430352
43458.331255,51249312
43458.331301,47055872
43458.331347,42898208
43458.331394,111055648
43458.331440,106868384
43458.331486,102678304
43458.331533,98513280
43458.331579,94336752
43458.331625,90161280
43458.331671,48233200
43458.331718,73399024
43458.331764,98564848
43458.331810,51359904
43458.331857,76525728
43458.331903,101691552
43458.331949,53477288
43458.331996,78643112
43458.332042,103808936
43458.332088,56648912
43458.332134,81814736
43458.332181,106980560
43458.332227,58763840
43458.332273,83929664
43458.332320,109095488
43458.332366,60890376
43458.332412,86056200
43458.332458,111222024
43458.332505,64040512
43458.332551,89206336
43458.332597,41001592
43458.332644,66167416
43458.332690,91333240
43458.332736,44154528
43458.332783,69320352
43458.332829,93437600
43458.332875,46252672
