Time,Live threads
43458.320061,90
43458.320097,90
43458.320144,90
43458.320190,90
43458.320236,90
43458.320282,90
43458.320329,90
43458.320375,90
43458.320421,90
43458.320468,90
43458.320514,90
43458.320560,90
43458.320607,90
43458.320653,90
43458.320699,90
43458.320745,90
43458.320792,90
43458.320838,90
43458.320884,90
43458.320931,90
43458.320977,90
43458.321023,90
43458.321069,89
43458.321116,88
43458.321162,88
43458.321208,88
43458.321255,88
43458.321301,88
43458.321347,88
43458.321393,88
43458.321440,88
43458.321486,88
43458.321532,88
43458.321579,88
43458.321625,88
43458.321671,88
43458.321718,88
43458.321764,88
43458.321810,88
43458.321856,88
43458.321903,88
43458.321949,88
43458.321995,88
43458.322042,88
43458.322088,88
43458.322134,88
43458.322181,88
43458.322227,88
43458.322273,88
43458.322319,88
43458.322366,88
43458.322412,88
43458.322458,88
43458.322505,88
43458.322551,88
43458.322597,88
43458.322644,88
43458.322690,88
43458.322736,88
43458.322782,88
43458.322829,88
43458.322875,88
43458.322921,88
43458.322968,88
43458.323014,88
43458.323060,88
43458.323106,88
43458.323153,88
43458.323199,88
43458.323245,88
43458.323292,88
43458.323338,88
43458.323384,88
43458.323431,88
43458.323477,88
43458.323523,88
43458.323569,88
43458.323616,88
43458.323662,88
43458.323708,88
43458.323755,88
43458.323801,88
43458.323847,88
43458.323894,88
43458.323940,88
43458.323986,88
43458.324032,88
43458.324079,88
43458.324125,88
43458.324171,88
43458.324218,88
43458.324264,88
43458.324310,88
43458.324357,88
43458.324403,88
43458.324449,88
43458.324495,88
43458.324542,88
43458.324588,88
43458.324634,88
43458.324681,88
43458.324727,88
43458.324773,88
43458.324819,88
43458.324866,88
43458.324912,88
43458.324958,88
43458.325005,88
43458.325051,88
43458.325097,88
43458.325144,88
43458.325190,88
43458.325236,88
43458.325282,88
43458.325329,88
43458.325375,88
43458.325421,88
43458.325468,88
43458.325514,88
43458.325560,88
43458.325607,88
43458.325653,88
43458.325699,88
43458.325745,88
43458.325792,88
43458.325838,88
43458.325884,88
43458.325931,88
43458.325977,88
43458.326023,88
43458.326069,88
43458.326116,88
43458.326162,88
43458.326208,88
43458.326255,88
43458.326301,88
43458.326347,88
43458.326394,88
43458.326440,88
43458.326486,88
43458.326532,88
43458.326579,88
43458.326625,88
43458.326671,88
43458.326718,88
43458.326764,88
43458.326810,88
43458.326857,88
43458.326903,88
43458.326949,88
43458.326995,88
43458.327042,88
43458.327088,88
43458.327134,88
43458.327181,88
43458.327227,88
43458.327273,88
43458.327320,88
43458.327366,88
43458.327412,88
43458.327458,88
43458.327505,88
43458.327551,88
43458.327597,88
43458.327644,88
43458.327690,88
43458.327736,88
43458.327782,88
43458.327829,88
43458.327875,88
43458.327921,88
43458.327968,88
43458.328014,88
43458.328060,88
43458.328107,88
43458.328153,88
43458.328199,88
43458.328245,88
43458.328292,88
43458.328338,88
43458.328384,88
43458.328431,88
43458.328477,88
43458.328523,88
43458.328570,88
43458.328616,88
43458.328662,88
43458.328708,88
43458.328755,88
43458.328801,88
43458.328847,88
43458.328894,88
43458.328940,88
43458.328986,88
43458.329033,88
43458.329079,88
43458.329125,88
43458.329171,88
43458.329218,88
43458.329264,88
43458.329310,88
43458.329357,88
43458.329403,88
43458.329449,88
43458.329495,88
43458.329542,88
43458.329588,88
43458.329634,88
43458.329681,88
43458.329727,88
43458.329773,88
43458.329820,88
43458.329866,88
43458.329912,88
43458.329958,88
43458.330005,88
43458.330051,88
43458.330097,88
43458.330144,88
43458.330190,88
43458.330236,88
43458.330283,88
43458.330329,88
43458.330375,88
43458.330421,88
43458.330468,88
43458.330514,88
43458.330560,88
43458.330607,88
43458.330653,88
43458.330699,88
43458.330746,88
43458.330792,88
43458.330838,88
43458.330884,88
43458.330931,88
43458.330977,88
43458.331023,88
43458.331070,88
43458.331116,88
43458.331162,88
43458.331208,88
43458.331255,88
43458.331301,88
43458.331347,88
43458.331394,88
43458.331440,88
43458.331486,88
43458.331533,88
43458.331579,88
43458.331625,88
43458.331671,88
43458.331718,88
43458.331764,88
43458.331810,88
43458.331857,88
43458.331903,88
43458.331949,88
43458.331996,88
43458.332042,88
43458.332088,88
43458.332134,88
43458.332181,88
43458.332227,88
43458.332273,88
43458.332320,88
43458.332366,88
43458.332412,88
43458.332459,88
43458.332505,88
43458.332551,88
43458.332597,88
43458.332644,88
43458.332690,88
43458.332736,88
43458.332783,88
43458.332829,88
43458.332875,88
43458.332921,88
43458.332968,88
43458.333014,88
43458.333060,88
43458.333107,88
43458.333153,88
43458.333199,88
43458.333246,88
43458.333292,88
43458.333338,88
43458.333384,88
43458.333431,88
43458.333477,88
43458.333523,88
43458.333570,88
