Time,Loaded
43458.320053,12312
43458.320097,12406
43458.320144,12412
43458.320190,12412
43458.320236,12413
43458.320282,12413
43458.320329,12414
43458.320375,12419
43458.320421,12421
43458.320468,12425
43458.320514,12426
43458.320560,12427
43458.320606,12433
43458.320653,12437
43458.320699,12442
43458.320745,12450
43458.320792,12454
43458.320838,12454
43458.320884,12454
43458.320930,12454
43458.320977,12454
43458.321023,12454
43458.321069,12454
43458.321116,12454
43458.321162,12454
43458.321208,12454
43458.321255,12454
43458.321301,12454
43458.321347,12454
43458.321393,12454
43458.321440,12454
43458.321486,12454
43458.321532,12454
43458.321579,12454
43458.321625,12454
43458.321671,12454
43458.321718,12454
43458.321764,12454
43458.321810,12454
43458.321856,12454
43458.321903,12454
43458.321949,12454
43458.321995,12454
43458.322042,12454
43458.322088,12454
43458.322134,12454
43458.322181,12454
43458.322227,12454
43458.322273,12454
43458.322319,12454
43458.322366,12454
43458.322412,12454
43458.322458,12454
43458.322505,12454
43458.322551,12454
43458.322597,12454
43458.322644,12454
43458.322690,12454
43458.322736,12454
43458.322782,12454
43458.322829,12454
43458.322875,12454
43458.322921,12454
43458.322968,12454
43458.323014,12454
43458.323060,12454
43458.323107,12454
43458.323153,12454
43458.323199,12454
43458.323245,12454
43458.323292,12454
43458.323338,12454
43458.323384,12454
43458.323431,12454
43458.323477,12454
43458.323523,12455
43458.323569,12455
43458.323616,12455
43458.323662,12455
43458.323708,12455
43458.323755,12455
43458.323801,12455
43458.323847,12455
43458.323894,12455
43458.323940,12455
43458.323986,12455
43458.324032,12455
43458.324079,12455
43458.324125,12455
43458.324171,12455
43458.324218,12455
43458.324264,12455
43458.324310,12455
43458.324356,12455
43458.324403,12455
43458.324449,12455
43458.324495,12455
43458.324542,12455
43458.324588,12455
43458.324634,12455
43458.324681,12455
43458.324727,12455
43458.324773,12455
43458.324819,12455
43458.324866,12455
43458.324912,12455
43458.324958,12455
43458.325005,12455
43458.325051,12455
43458.325097,12455
43458.325144,12455
43458.325190,12455
43458.325236,12455
43458.325282,12456
43458.325329,12456
43458.325375,12456
43458.325421,12456
43458.325468,12456
43458.325514,12456
43458.325560,12456
43458.325607,12456
43458.325653,12456
43458.325699,12456
43458.325745,12456
43458.325792,12456
43458.325838,12456
43458.325884,12456
43458.325931,12456
43458.325977,12456
43458.326023,12456
43458.326070,12456
43458.326116,12456
43458.326162,12456
43458.326208,12456
43458.326255,12456
43458.326301,12456
43458.326347,12456
43458.326394,12456
43458.326440,12456
43458.326486,12456
43458.326532,12456
43458.326579,12456
43458.326625,12456
43458.326671,12456
43458.326718,12456
43458.326764,12456
43458.326810,12456
43458.326857,12456
43458.326903,12456
43458.326949,12456
43458.326995,12456
43458.327042,12456
43458.327088,12456
43458.327134,12456
43458.327181,12456
43458.327227,12456
43458.327273,12456
43458.327320,12456
43458.327366,12456
43458.327412,12456
43458.327458,12456
43458.327505,12456
43458.327551,12456
43458.327597,12456
43458.327644,12456
43458.327690,12456
43458.327736,12456
43458.327782,12456
43458.327829,12456
43458.327875,12456
43458.327921,12456
43458.327968,12456
43458.328014,12456
43458.328060,12456
43458.328107,12456
43458.328153,12456
43458.328199,12456
43458.328245,12456
43458.328292,12456
43458.328338,12456
43458.328384,12456
43458.328431,12456
43458.328477,12456
43458.328523,12456
43458.328570,12456
43458.328616,12456
43458.328662,12456
43458.328708,12456
43458.328755,12456
43458.328801,12456
43458.328847,12456
43458.328894,12456
43458.328940,12456
43458.328986,12456
43458.329033,12456
43458.329079,12456
43458.329125,12456
43458.329171,12456
43458.329218,12456
43458.329264,12456
43458.329310,12456
43458.329357,12456
43458.329403,12456
43458.329449,12456
43458.329495,12456
43458.329542,12456
43458.329588,12456
43458.329634,12456
43458.329681,12456
43458.329727,12456
43458.329773,12456
43458.329820,12457
43458.329866,12457
43458.329912,12457
43458.329958,12457
43458.330005,12457
43458.330051,12457
43458.330097,12457
43458.330144,12457
43458.330190,12457
43458.330236,12457
43458.330283,12457
43458.330329,12457
43458.330375,12457
43458.330421,12457
43458.330468,12457
43458.330514,12457
43458.330560,12457
43458.330607,12457
43458.330653,12457
43458.330699,12457
43458.330745,12457
43458.330792,12457
43458.330838,12457
43458.330884,12457
43458.330931,12457
43458.330977,12457
43458.331023,12457
43458.331070,12457
43458.331116,12457
43458.331162,12457
43458.331208,12457
43458.331255,12457
43458.331301,12457
43458.331347,12457
43458.331394,12457
43458.331440,12457
43458.331486,12457
43458.331533,12457
43458.331579,12457
43458.331625,12457
43458.331672,12457
43458.331718,12457
43458.331764,12457
43458.331810,12457
43458.331857,12457
43458.331903,12457
43458.331949,12457
43458.331996,12457
43458.332042,12457
43458.332088,12457
43458.332134,12457
43458.332181,12457
43458.332227,12457
43458.332273,12457
43458.332320,12457
43458.332366,12457
43458.332412,12457
43458.332458,12457
43458.332505,12457
43458.332551,12457
43458.332597,12457
43458.332644,12457
43458.332690,12457
43458.332736,12457
43458.332783,12457
43458.332829,12457
43458.332875,12457
43458.332921,12457
43458.332968,12457
43458.333014,12457
43458.333060,12457
43458.333107,12457
43458.333153,12457
43458.333199,12457
43458.333246,12457
43458.333292,12457
43458.333338,12457
43458.333384,12457
43458.333431,12457
43458.333477,12457
43458.333523,12457
43458.333570,12457
43458.333616,12457
43458.333662,12457
43458.333709,12457
43458.333755,12457
43458.333801,12457
