10:25:36.026Z, Subsystem Time =2018-10-23T10:25:36.026Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.031Z, Assembly Time=2018-10-23T10:25:36.031Z, HCD Time=2018-10-23T10:25:36.031Z, Subsystem Time =2018-10-23T10:25:36.031Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.036Z, Assembly Time=2018-10-23T10:25:36.036Z, HCD Time=2018-10-23T10:25:36.037Z, Subsystem Time =2018-10-23T10:25:36.037Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.042Z, Assembly Time=2018-10-23T10:25:36.042Z, HCD Time=2018-10-23T10:25:36.042Z, Subsystem Time =2018-10-23T10:25:36.042Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.047Z, Assembly Time=2018-10-23T10:25:36.047Z, HCD Time=2018-10-23T10:25:36.047Z, Subsystem Time =2018-10-23T10:25:36.047Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.052Z, Assembly Time=2018-10-23T10:25:36.052Z, HCD Time=2018-10-23T10:25:36.053Z, Subsystem Time =2018-10-23T10:25:36.053Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.058Z, Assembly Time=2018-10-23T10:25:36.058Z, HCD Time=2018-10-23T10:25:36.058Z, Subsystem Time =2018-10-23T10:25:36.058Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.063Z, Assembly Time=2018-10-23T10:25:36.063Z, HCD Time=2018-10-23T10:25:36.063Z, Subsystem Time =2018-10-23T10:25:36.063Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.068Z, Assembly Time=2018-10-23T10:25:36.068Z, HCD Time=2018-10-23T10:25:36.069Z, Subsystem Time =2018-10-23T10:25:36.069Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.074Z, Assembly Time=2018-10-23T10:25:36.074Z, HCD Time=2018-10-23T10:25:36.074Z, Subsystem Time =2018-10-23T10:25:36.074Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.079Z, Assembly Time=2018-10-23T10:25:36.079Z, HCD Time=2018-10-23T10:25:36.079Z, Subsystem Time =2018-10-23T10:25:36.079Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.084Z, Assembly Time=2018-10-23T10:25:36.084Z, HCD Time=2018-10-23T10:25:36.085Z, Subsystem Time =2018-10-23T10:25:36.085Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.090Z, Assembly Time=2018-10-23T10:25:36.090Z, HCD Time=2018-10-23T10:25:36.090Z, Subsystem Time =2018-10-23T10:25:36.090Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.095Z, Assembly Time=2018-10-23T10:25:36.095Z, HCD Time=2018-10-23T10:25:36.095Z, Subsystem Time =2018-10-23T10:25:36.095Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.100Z, Assembly Time=2018-10-23T10:25:36.100Z, HCD Time=2018-10-23T10:25:36.100Z, Subsystem Time =2018-10-23T10:25:36.100Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.106Z, Assembly Time=2018-10-23T10:25:36.106Z, HCD Time=2018-10-23T10:25:36.106Z, Subsystem Time =2018-10-23T10:25:36.106Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.111Z, Assembly Time=2018-10-23T10:25:36.111Z, HCD Time=2018-10-23T10:25:36.111Z, Subsystem Time =2018-10-23T10:25:36.111Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.116Z, Assembly Time=2018-10-23T10:25:36.116Z, HCD Time=2018-10-23T10:25:36.117Z, Subsystem Time =2018-10-23T10:25:36.117Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.122Z, Assembly Time=2018-10-23T10:25:36.122Z, HCD Time=2018-10-23T10:25:36.123Z, Subsystem Time =2018-10-23T10:25:36.123Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.127Z, Assembly Time=2018-10-23T10:25:36.127Z, HCD Time=2018-10-23T10:25:36.127Z, Subsystem Time =2018-10-23T10:25:36.127Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.132Z, Assembly Time=2018-10-23T10:25:36.132Z, HCD Time=2018-10-23T10:25:36.132Z, Subsystem Time =2018-10-23T10:25:36.132Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.137Z, Assembly Time=2018-10-23T10:25:36.137Z, HCD Time=2018-10-23T10:25:36.138Z, Subsystem Time =2018-10-23T10:25:36.138Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.143Z, Assembly Time=2018-10-23T10:25:36.143Z, HCD Time=2018-10-23T10:25:36.143Z, Subsystem Time =2018-10-23T10:25:36.143Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.148Z, Assembly Time=2018-10-23T10:25:36.148Z, HCD Time=2018-10-23T10:25:36.149Z, Subsystem Time =2018-10-23T10:25:36.149Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.154Z, Assembly Time=2018-10-23T10:25:36.154Z, HCD Time=2018-10-23T10:25:36.154Z, Subsystem Time =2018-10-23T10:25:36.154Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.159Z, Assembly Time=2018-10-23T10:25:36.159Z, HCD Time=2018-10-23T10:25:36.159Z, Subsystem Time =2018-10-23T10:25:36.159Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.164Z, Assembly Time=2018-10-23T10:25:36.164Z, HCD Time=2018-10-23T10:25:36.165Z, Subsystem Time =2018-10-23T10:25:36.165Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
