2018-11-23T06:08:40.704Z INFO   - Saw 1 messages before logger start
[33m2018-11-23T06:08:40.421Z WARN :akka  - Don't use auto-down feature of Akka Cluster in production. See 'Auto-downing (DO NOT USE)' section of Akka Cluster documentation.[0m
2018-11-23T06:08:44.452Z INFO  mcs-container-cmd-app (ContainerCmd.scala 82) - Component is successfully created with actor actorRef Actor[akka://csw-cluster/user/system/McsContainer#-164610848]
2018-11-23T06:08:44.454Z INFO  mcs-container-cmd-app (ContainerCmd.scala 61) - Component is successfully created with actor actorRef Actor[akka://csw-cluster/user/system/McsContainer#-164610848]
2018-11-23T06:08:44.461Z INFO  location-service-lib (LocationServiceImpl.scala 45) - Registering connection: [McsContainer-container-akka] with location: [akka.tcp://csw-cluster@192.168.122.1:41464/user/system/McsContainer]
2018-11-23T06:08:44.461Z INFO  McsContainer (ContainerBehavior.scala 164) - Container is creating following components :[McsAssembly, McsHcd]
2018-11-23T06:08:44.467Z INFO  location-service-lib (ActorSystemFactory.scala 34) - Creating remote actor system with name McsAssembly-system
2018-11-23T06:08:44.549Z INFO  location-service-lib (LocationServiceImpl.scala 79) - Successfully registered connection: [McsContainer-container-akka] with location [akka.tcp://csw-cluster@192.168.122.1:41464/user/system/McsContainer]
2018-11-23T06:08:44.550Z INFO  McsContainer (ContainerBehavior.scala 189) - Container Registration successful with connection: [AkkaConnection(ComponentId(McsContainer,Container))]
2018-11-23T06:08:44.557Z INFO  location-service-lib (ActorSystemFactory.scala 34) - Creating remote actor system with name McsHcd-system
2018-11-23T06:08:44.608Z INFO  McsAssembly (SupervisorBehavior.scala 313) - Starting InitializeTimer for 40 seconds
2018-11-23T06:08:44.609Z INFO  McsHcd (SupervisorBehavior.scala 313) - Starting InitializeTimer for 40 seconds
2018-11-23T06:08:44.615Z INFO  McsContainer (ContainerBehavior.scala 147) - Container created following supervisors :[Actor[akka://McsAssembly-system/user/system/McsAssembly#1889595026],Actor[akka://McsHcd-system/user/system/McsHcd#-94783883]]
2018-11-23T06:08:44.623Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [EventServer-service-tcp] within 5 seconds
2018-11-23T06:08:44.624Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [EventServer-service-tcp]
2018-11-23T06:08:44.627Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [EventServer-service-tcp] within 5 seconds
2018-11-23T06:08:44.628Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [EventServer-service-tcp]
2018-11-23T06:08:44.639Z INFO  McsAssembly (ComponentBehavior.scala 115) - Invoking lifecycle handler's initialize hook
2018-11-23T06:08:44.640Z INFO  McsAssembly (McsAssemblyHandlers.scala 99) - Initializing MCS Assembly
2018-11-23T06:08:44.642Z INFO  McsAssembly (EventHandlerActor.scala 102) - Started subscribing events Received from tpkAssembly.
2018-11-23T06:08:44.642Z INFO  McsAssembly (MonitorActor.scala 95) - Successfully changed monitor assembly lifecycle state to Initalized
2018-11-23T06:08:44.648Z INFO  location-service-lib (LocationServiceImpl.scala 227) - Subscribing to connection: [McsHcd-hcd-akka]
2018-11-23T06:08:44.799Z INFO  McsHcd (ComponentBehavior.scala 115) - Invoking lifecycle handler's initialize hook
